strategy,pair,func,dim,n,improve_pct,wilcoxon_p,significant_005,significant_001,cohens_d,effect_size
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,15,0.7703,6.1e-05,1,1,9.8121,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,5,1.1471,0.0625,0,0,23.933,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,10,1.0249,0.001953,1,1,9.5497,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,3,1.2163,0.25,0,0,92.9689,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,2,1.2228,NaN,0,0,143.1147,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,2,1.2396,NaN,0,0,24.0783,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,20,0.6422,2e-06,1,1,6.8487,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,5,1.077,0.0625,0,0,17.3262,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,2,1.2427,NaN,0,0,80.8358,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,15,0.0344,0.488708,0,0,0.1091,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,10,-0.0203,1.0,0,0,-0.0695,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,20,-0.0347,0.261099,0,0,-0.0857,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,15,0.0673,0.846924,0,0,0.0514,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,5,-0.0,1.0,0,0,-0.0001,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,10,0.01,1.0,0,0,0.0097,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,3,0.005,1.0,0,0,0.0135,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,2,0.0036,NaN,0,0,0.1293,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,2,0.0008,NaN,0,0,0.0047,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,20,-0.0319,0.701181,0,0,-0.0171,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,5,-0.0015,1.0,0,0,-0.0034,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,2,-0.0011,NaN,0,0,-0.0079,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,15,0.3379,0.599487,0,0,0.1115,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,5,5.6153,0.0625,0,0,2.0263,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,10,0.3667,0.695312,0,0,0.2091,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,3,10.2703,0.25,0,0,6.3385,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,2,14.4554,NaN,0,0,12.5692,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,2,17.6554,NaN,0,0,16.5761,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,20,1.6217,0.053169,0,0,0.3513,small
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,5,3.8084,0.3125,0,0,1.2502,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,2,19.2001,NaN,0,0,23.2591,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,15,0.6181,0.002014,1,1,0.5781,medium
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,10,0.8802,0.083984,0,0,0.8298,large
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,20,1.4118,0.000134,1,1,0.7756,medium
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,5,0.499,0.3125,0,0,0.3027,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,100,15,2.688,6.1e-05,1,1,16.2673,large
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,5,3.4209,0.0625,0,0,69.1434,large
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,200,10,3.1809,0.001953,1,1,28.9139,large
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3,3.1582,0.25,0,0,39.4011,large
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2,2.3226,NaN,0,0,68.1801,large
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,2,1.8447,NaN,0,0,129.6718,large
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,50,20,2.3738,2e-06,1,1,16.0509,large
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,500,5,3.3494,0.0625,0,0,49.0552,large
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,2,1.6772,NaN,0,0,55.0349,large
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,100,15,0.0112,0.488708,0,0,0.1369,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,200,10,-0.0137,0.492188,0,0,-0.1777,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,50,20,-0.0144,0.277355,0,0,-0.1077,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,15,-0.2127,0.106995,0,0,-0.1608,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,5,-0.0015,0.625,0,0,-0.003,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,10,-0.0007,0.845703,0,0,-0.0007,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,3,0.0034,1.0,0,0,0.0089,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,2,0.0081,NaN,0,0,0.3264,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,2,0.0039,NaN,0,0,0.0189,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,20,0.1068,0.647655,0,0,0.0593,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,5,-0.0011,1.0,0,0,-0.0025,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,2,-0.0183,NaN,0,0,-0.1249,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,15,-0.0001,0.846924,0,0,-0.0,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,5,0.0118,0.625,0,0,0.0204,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,10,0.0152,0.921875,0,0,0.0088,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,3,-0.0242,0.25,0,0,-0.0341,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,2,-0.0272,NaN,0,0,-0.2768,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,2,0.0135,NaN,0,0,0.0443,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,20,-0.0358,0.674223,0,0,-0.0089,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,5,-0.0034,0.8125,0,0,-0.0031,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,2,-0.0028,NaN,0,0,-0.0132,small
