strategy,func,algo,spearman_rho,spearman_p,correlation,significant,n_dims,fopt_50D,fopt_maxD
current-to-best1bin,Griewank,PSO,1.0,0.0,increasing,1,3,4501.0,18001.0
current-to-best1bin,Zakharov,SMCO,1.0,0.0,increasing,1,4,1544460382804846.5,1.2530257290868337e+23
current-to-best1bin,Zakharov,SMCO_R,1.0,0.0,increasing,1,4,1472185536847872.8,1.0966824087560668e+23
current-to-best1bin,Zakharov,SMCO_BR,1.0,0.0,increasing,1,4,1302651618260598.5,7.947977905345289e+22
current-to-best1bin,Zakharov,SMCO_EVO,1.0,0.0,increasing,1,4,1547233201559311.5,1.2564853484884616e+23
current-to-best1bin,Zakharov,SMCO_R_EVO,1.0,0.0,increasing,1,4,1481998819953021.5,1.098959045083418e+23
current-to-best1bin,Zakharov,SMCO_BR_EVO,1.0,0.0,increasing,1,4,1321579327789853.5,8.054490557151366e+22
current-to-best1bin,Zakharov,GenSA,1.0,0.0,increasing,1,4,1651660441036249.5,1.538122607450211e+23
current-to-best1bin,Zakharov,SA,1.0,0.0,increasing,1,4,1651660441036249.5,1.538122607450211e+23
current-to-best1bin,Zakharov,DEoptim,1.0,0.0,increasing,1,4,1104786159318461.6,1.2943695526983188e+22
current-to-best1bin,Zakharov,GA,1.0,0.0,increasing,1,4,1512953031732195.5,6.343866956064009e+22
current-to-best1bin,Zakharov,PSO,1.0,0.0,increasing,1,4,853915058111520.0,1.2531567661324549e+22
best1bin,Rastrigin,SMCO,1.0,0.0,increasing,1,9,1711.62747192,142458.32504619
best1bin,Rastrigin,SMCO_R,1.0,0.0,increasing,1,9,1711.40074284,142512.25069086
best1bin,Rastrigin,SMCO_BR,1.0,0.0,increasing,1,9,1713.6892573,142460.14573843
best1bin,Rastrigin,SMCO_EVO,1.0,0.0,increasing,1,9,1713.53951531,142432.29777746
best1bin,Rastrigin,SMCO_R_EVO,1.0,0.0,increasing,1,9,1712.20786165,142540.8363879
best1bin,Rastrigin,SMCO_BR_EVO,1.0,0.0,increasing,1,9,1713.20146775,142458.48954384
best1bin,Rastrigin,GenSA,1.0,0.0,increasing,1,9,2017.66450969,201766.21261094
best1bin,Rastrigin,SA,1.0,0.0,increasing,1,9,2016.65940883,144455.59698672
best1bin,Rastrigin,DEoptim,1.0,0.0,increasing,1,9,1319.76307953,95772.36984368
best1bin,Rastrigin,GA,1.0,0.0,increasing,1,9,1677.50704804,94743.88053802
best1bin,Rastrigin,PSO,1.0,0.0,increasing,1,9,1513.66428745,144957.97011654
best1bin,Ackley,SMCO,0.2833,0.46003,increasing,0,9,21.63699628,21.69704496
best1bin,Ackley,SMCO_R,-0.9167,0.000507,decreasing,1,9,22.07309395,21.7257027
best1bin,Ackley,SMCO_BR,-0.95,8.8e-05,decreasing,1,9,22.06999457,21.91259762
best1bin,Ackley,SMCO_EVO,-0.7833,0.01252,decreasing,1,9,22.1626112,22.09918797
best1bin,Ackley,SMCO_R_EVO,-0.9167,0.000507,decreasing,1,9,22.19863324,22.13135628
best1bin,Ackley,SMCO_BR_EVO,-0.9167,0.000507,decreasing,1,9,22.21012927,22.17089622
best1bin,Ackley,GenSA,-1.0,0.0,decreasing,1,9,22.29973317,21.7314873
best1bin,Ackley,SA,-1.0,0.0,decreasing,1,9,22.06548527,21.66547433
best1bin,Ackley,DEoptim,-1.0,0.0,decreasing,1,9,21.83010022,21.32833238
best1bin,Ackley,GA,-1.0,0.0,decreasing,1,9,21.87333817,21.38560647
best1bin,Ackley,PSO,-0.9833,2e-06,decreasing,1,9,22.08361389,21.7214349
best1bin,Rosenbrock,SMCO,1.0,0.0,increasing,1,9,28590556.0892473,1953961917.8469484
best1bin,Rosenbrock,SMCO_R,1.0,0.0,increasing,1,9,27764812.00991679,1699574361.5793364
best1bin,Rosenbrock,SMCO_BR,1.0,0.0,increasing,1,9,25826421.53841371,1318276891.8457017
best1bin,Rosenbrock,SMCO_EVO,1.0,0.0,increasing,1,9,28787769.69336406,2043895340.4396203
best1bin,Rosenbrock,SMCO_R_EVO,1.0,0.0,increasing,1,9,28090671.57904389,1768504356.366383
best1bin,Rosenbrock,SMCO_BR_EVO,1.0,0.0,increasing,1,9,26589262.67881824,1530155403.464967
best1bin,Rosenbrock,GenSA,1.0,0.0,increasing,1,9,39986469.0,4049887419.0
best1bin,Rosenbrock,SA,1.0,0.0,increasing,1,9,27331490.25,2720911801.5
best1bin,Rosenbrock,DEoptim,1.0,0.0,increasing,1,9,19070985.76680293,703836218.4663241
best1bin,Rosenbrock,GA,1.0,0.0,increasing,1,9,26248513.5119487,863871393.4097356
best1bin,Rosenbrock,PSO,1.0,0.0,increasing,1,9,30841751.25,2607259441.5
best1bin,Griewank,SMCO,1.0,0.0,increasing,1,3,4400.89200506,17226.59242376
best1bin,Griewank,SMCO_R,1.0,0.0,increasing,1,3,4332.10767341,16732.05754061
best1bin,Griewank,SMCO_BR,1.0,0.0,increasing,1,3,4161.670566,15582.82164854
best1bin,Griewank,SMCO_EVO,1.0,0.0,increasing,1,3,4400.5449855,17224.22871924
best1bin,Griewank,SMCO_R_EVO,1.0,0.0,increasing,1,3,4331.01526578,16723.82607777
best1bin,Griewank,SMCO_BR_EVO,1.0,0.0,increasing,1,3,4160.60751926,15606.13133528
best1bin,Griewank,GenSA,1.0,0.0,increasing,1,3,4501.0,18001.0
best1bin,Griewank,SA,1.0,0.0,increasing,1,3,4501.0,18001.0
best1bin,Griewank,DEoptim,1.0,0.0,increasing,1,3,2632.15324533,7992.15823964
best1bin,Griewank,GA,1.0,0.0,increasing,1,3,4252.25924766,13845.08661474
best1bin,Griewank,PSO,1.0,0.0,increasing,1,3,4501.0,18001.0
best1bin,Zakharov,SMCO,1.0,0.0,increasing,1,4,1544460382804846.5,1.2530257290868337e+23
best1bin,Zakharov,SMCO_R,1.0,0.0,increasing,1,4,1472185536847872.8,1.0966824087560668e+23
best1bin,Zakharov,SMCO_BR,1.0,0.0,increasing,1,4,1302651618260598.5,7.947977905345289e+22
best1bin,Zakharov,SMCO_EVO,1.0,0.0,increasing,1,4,1552340893079980.0,1.2552496853334792e+23
best1bin,Zakharov,SMCO_R_EVO,1.0,0.0,increasing,1,4,1481389278501526.8,1.0992078040645922e+23
best1bin,Zakharov,SMCO_BR_EVO,1.0,0.0,increasing,1,4,1326654041450707.0,7.997779138805416e+22
best1bin,Zakharov,GenSA,1.0,0.0,increasing,1,4,1651660441036249.5,1.538122607450211e+23
best1bin,Zakharov,SA,1.0,0.0,increasing,1,4,1651660441036249.5,1.538122607450211e+23
