evo_algo,func,dim,strategy,fopt_mean,rank_among_strategies
SMCO_R_EVO,Rastrigin,2000,current-to-best1bin,57943.73565598,3
SMCO_R_EVO,Rastrigin,2000,best1bin,57943.73565598,4
SMCO_R_EVO,Rastrigin,3000,current-to-best1bin,86094.55559768,1
SMCO_R_EVO,Rastrigin,3000,best1bin,86094.55559768,2
SMCO_R_EVO,Rastrigin,3000,rand1bin,86094.04443349,3
SMCO_R_EVO,Rastrigin,3000,sobol,86092.23625255,4
SMCO_R_EVO,Rastrigin,4000,rand1bin,114388.86054101,1
SMCO_R_EVO,Rastrigin,4000,sobol,114382.16282779,2
SMCO_R_EVO,Rastrigin,4000,current-to-best1bin,114380.51305936,3
SMCO_R_EVO,Rastrigin,4000,best1bin,114380.51305936,4
SMCO_R_EVO,Rastrigin,5000,current-to-best1bin,142540.8363879,1
SMCO_R_EVO,Rastrigin,5000,best1bin,142540.8363879,2
SMCO_R_EVO,Rastrigin,5000,rand1bin,142539.9339122,3
SMCO_R_EVO,Rastrigin,5000,sobol,142537.52309274,4
SMCO_R_EVO,Ackley,50,rand1bin,22.20024201,1
SMCO_R_EVO,Ackley,50,best1bin,22.19863324,2
SMCO_R_EVO,Ackley,50,current-to-best1bin,22.18863316,3
SMCO_R_EVO,Ackley,50,sobol,22.07529871,4
SMCO_R_EVO,Ackley,100,rand1bin,22.19577538,1
SMCO_R_EVO,Ackley,100,best1bin,22.17820225,2
SMCO_R_EVO,Ackley,100,current-to-best1bin,22.1715206,3
SMCO_R_EVO,Ackley,100,sobol,22.04453545,4
SMCO_R_EVO,Ackley,200,rand1bin,22.17540888,1
SMCO_R_EVO,Ackley,200,best1bin,22.16018413,2
SMCO_R_EVO,Ackley,200,current-to-best1bin,22.15730115,3
SMCO_R_EVO,Ackley,200,sobol,21.98567746,4
SMCO_R_EVO,Ackley,500,rand1bin,22.16470134,1
SMCO_R_EVO,Ackley,500,best1bin,22.16291815,2
SMCO_R_EVO,Ackley,500,current-to-best1bin,22.1432473,3
SMCO_R_EVO,Ackley,500,sobol,21.94876387,4
SMCO_R_EVO,Ackley,1000,rand1bin,22.17802791,1
SMCO_R_EVO,Ackley,1000,best1bin,22.1678719,2
SMCO_R_EVO,Ackley,1000,current-to-best1bin,22.1611974,3
SMCO_R_EVO,Ackley,1000,sobol,21.96176293,4
SMCO_R_EVO,Ackley,2000,rand1bin,22.17797944,1
SMCO_R_EVO,Ackley,2000,best1bin,22.1584088,2
