strategy,pair,func,dim,base_fopt,evo_fopt,absolute_diff,pct_diff
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,463389064.88490987,463443829.07431805,54764.18940824,0.0118
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,103124528.56873003,103140206.49786988,15677.92913985,0.0152
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,869247612.9724324,869037289.3809952,-210323.5914371,-0.0242
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,1239722873.845387,1239385157.2331452,-337716.61224174,-0.0272
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,1601610810.9908462,1601826824.5663753,216013.5755291,0.0135
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,28590556.0892473,28580313.2879377,-10242.8013096,-0.0358
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,243714058.24041504,243705721.84840137,-8336.39201367,-0.0034
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,1953961917.8469484,1953906656.3506606,-55261.49628806,-0.0028
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,3.726719113127506e+17,3.73893546280408e+17,1221634967657408.0,0.3278
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,8.905104024024446e+19,8.92076331233532e+19,1.5659288310874112e+17,0.1758
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,1544460382804846.5,1547233201559311.5,2772818754465.0,0.1795
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,1.2530257290868337e+23,1.2564853484884616e+23,3.45961940162806e+20,0.2761
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,22.03846438,22.1715206,0.13305622,0.6037
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,21.94929137,22.1611974,0.21190603,0.9654
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,21.95328103,22.15730115,0.20402012,0.9293
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,21.90054567,22.1366682,0.23612253,1.0782
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,21.56366743,22.1399903,0.57632286,2.6727
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,21.69659647,22.09349817,0.3969017,1.8293
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,22.07309395,22.18863316,0.11553921,0.5234
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,21.9476101,22.1432473,0.1956372,0.8914
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,21.7257027,22.11214145,0.38643875,1.7787
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,100,8565.92068992,8568.60215548,2.68146557,0.0313
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,200,16732.05754061,16723.82607777,-8.23146283,-0.0492
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,50,4332.10767341,4330.99675258,-1.11092083,-0.0256
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,3268.93924566,3269.60192309,0.66267743,0.0203
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,29138.03230207,29138.02210024,-0.01020183,-0.0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,6344.19993499,6344.19792757,-0.00200742,-0.0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,57929.57599256,57943.73565598,14.15966342,0.0244
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,86068.11548492,86094.55559768,26.44011276,0.0307
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,114374.76422764,114380.51305936,5.74883172,0.005
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,1711.40074284,1712.19921362,0.79847078,0.0467
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,14794.53924205,14794.53721476,-0.0020273,-0.0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,142512.25069086,142540.8363879,28.58569704,0.0201
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,52616803.95826252,52615451.99542574,-1351.96283678,-0.0026
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,422712947.9742656,422659750.85499537,-53197.11927027,-0.0126
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,98101461.91474606,98481818.8781041,380356.96335803,0.3877
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,775822748.1332974,775870948.4175621,48200.28426468,0.0062
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,1094303115.940483,1110555709.568077,16252593.627594,1.4852
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,1399385030.0219135,1433132239.4677372,33747209.44582367,2.4116
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,27764812.00991679,27768828.65318396,4016.64326717,0.0145
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,226905423.5312902,227000486.48482817,95062.95353797,0.0419
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,1699574361.5793364,1767633840.916448,68059479.33711195,4.0045
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,3.5073620183415974e+17,3.519512055367801e+17,1215003702620352.0,0.3464
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,8.126408086905997e+19,8.182450588926935e+19,5.604250202093814e+17,0.6896
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,1472185536847872.8,1481998819953021.5,9813283105148.75,0.6666
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,1.0966824087560668e+23,1.098959045083418e+23,2.27663632735123e+20,0.2076
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,22.03412869,22.18446464,0.15033595,0.6823
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,21.94129771,22.15998727,0.21868956,0.9967
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,21.97232981,22.18722813,0.21489832,0.978
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,21.92156924,22.15386391,0.23229467,1.0597
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,21.90992625,22.14900609,0.23907984,1.0912
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,21.90941467,22.14027055,0.23085589,1.0537
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,22.06999457,22.18122964,0.11123507,0.504
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,21.94777331,22.16166041,0.21388709,0.9745
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,21.91259762,22.15204417,0.23944655,1.0927
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,8146.54301849,8149.53898907,2.99597058,0.0368
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,15582.82164854,15579.36184013,-3.45980841,-0.0222
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,4161.670566,4160.10517731,-1.56538869,-0.0376
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,3259.31062261,3261.28389114,1.97326853,0.0605
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,29126.31025437,29125.55358528,-0.7566691,-0.0026
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,6336.63125565,6336.71142179,0.08016615,0.0013
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,57911.78566871,57911.57064659,-0.21502212,-0.0004
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,86027.3630172,86031.64588794,4.28287074,0.005
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,114314.06385418,114319.86604742,5.80219324,0.0051
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,1713.6892573,1712.82565972,-0.86359757,-0.0504
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,14784.4241961,14784.72336393,0.29916784,0.002
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,142460.14573843,142458.48954384,-1.65619459,-0.0012
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,47986687.78786815,48026755.33157219,40067.54370404,0.0835
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,348193067.76848793,361314025.78286856,13120958.01438064,3.7683
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,87336134.89183861,88751492.55925764,1415357.66741903,1.6206
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,618155929.2741712,667858608.950692,49702679.67652082,8.0405
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,859724697.6735848,928660317.1534901,68935619.47990525,8.0183
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,1091605069.4387069,1239822826.0694354,148217756.63072848,13.578
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,25826421.53841371,25824113.6415854,-2307.8968283,-0.0089
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,194451615.14885083,198440396.84318468,3988781.69433382,2.0513
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,1318276891.8457017,1529914988.3765254,211638096.5308237,16.0541
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,3.007640369869114e+17,3.0432878251545683e+17,3564745528545408.5,1.1852
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,6.463198018702149e+19,6.5618726300327985e+19,9.867461133064929e+17,1.5267
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,1302651618260598.5,1321579327789853.5,18927709529255.0,1.453
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,7.947977905345289e+22,8.054490557151366e+22,1.0651265180607718e+21,1.3401
best1bin,SMCO_vs_SMCO_EVO,Ackley,100,21.53521368,22.14155917,0.60634549,2.8156
best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,21.35674794,22.09938953,0.74264159,3.4773
best1bin,SMCO_vs_SMCO_EVO,Ackley,200,21.41822237,22.11058018,0.69235781,3.2326
best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,21.41223117,22.1045587,0.69232753,3.2333
best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,21.53221419,22.0798953,0.54768111,2.5435
best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,21.66499532,22.08921825,0.42422293,1.9581
best1bin,SMCO_vs_SMCO_EVO,Ackley,50,21.63699628,22.1626112,0.52561493,2.4292
best1bin,SMCO_vs_SMCO_EVO,Ackley,500,21.36773333,22.09636689,0.72863355,3.41
best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,21.69704496,22.09918797,0.40214302,1.8534
best1bin,SMCO_vs_SMCO_EVO,Griewank,100,8740.09630003,8741.0768169,0.98051688,0.0112
best1bin,SMCO_vs_SMCO_EVO,Griewank,200,17226.59242376,17224.22871924,-2.36370452,-0.0137
best1bin,SMCO_vs_SMCO_EVO,Griewank,50,4400.89200506,4400.5449855,-0.34701955,-0.0079
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,3268.52822567,3261.57660545,-6.95162022,-0.2127
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,29109.96616976,29109.53341967,-0.43275008,-0.0015
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,6337.69809851,6337.65098984,-0.04710866,-0.0007
