config,strategy,func,dim,algo,fopt_mean,rank
rand1bin_Griewank_50,rand1bin,Griewank,50,PSO,4501.0,5
rand1bin_Griewank_50,rand1bin,Griewank,50,SMCO,4400.892005055723,6
rand1bin_Griewank_50,rand1bin,Griewank,50,SMCO_EVO,4400.659078960011,7
rand1bin_Griewank_50,rand1bin,Griewank,50,SMCO_R,4332.107673411131,8
rand1bin_Griewank_50,rand1bin,Griewank,50,SMCO_R_EVO,4331.198511290238,9
rand1bin_Griewank_50,rand1bin,Griewank,50,GA,4252.25924766195,10
rand1bin_Griewank_50,rand1bin,Griewank,50,SMCO_BR,4161.670565996321,11
rand1bin_Griewank_50,rand1bin,Griewank,50,SMCO_BR_EVO,4160.226366534247,12
rand1bin_Griewank_50,rand1bin,Griewank,50,DEoptim,2632.1532453328723,13
rand1bin_Griewank_50,rand1bin,Griewank,50,GD,2250.8181772810317,14
rand1bin_Griewank_50,rand1bin,Griewank,50,SignGD,1903.0286013502305,15
rand1bin_Griewank_50,rand1bin,Griewank,50,optimNM,1893.4620049564303,16
rand1bin_Griewank_50,rand1bin,Griewank,50,ADAM,1812.4027648920778,17
rand1bin_Griewank_50,rand1bin,Griewank,50,SPSA,1789.1798974678936,18
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,GenSA,4035.329019382616,1
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,SA,4034.390922782761,2
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,SMCO_R_EVO,3269.6091494755433,3
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,SMCO_R,3268.9392456568066,4
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,SMCO,3268.5282256722076,5
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,SMCO_EVO,3261.5339802891676,6
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,SMCO_BR_EVO,3261.50566114854,7
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,SMCO_BR,3259.31062261035,8
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,SPSA,3171.268158473069,9
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,PSO,2980.090458833662,10
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,ADAM,2957.4168410296193,11
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,SignGD,2949.962384618055,12
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,GA,2944.8415643089775,13
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,GD,2902.6926104235413,14
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,optimLBFGS,2896.345516551151,15
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,BOBYQA,2883.366582842886,16
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,DEoptim,2384.787204249496,17
rand1bin_Rastrigin_100,rand1bin,Rastrigin,100,optimNM,2115.5027764413167,18
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,SA,40353.2901937765,1
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,GenSA,40353.29019371744,2
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,PSO,29165.33059818275,3
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,SMCO_R_EVO,29138.03689959966,4
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,SMCO_R,29138.032302071668,5
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,SMCO_BR,29126.310254371823,6
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,SMCO_BR_EVO,29126.299182316616,7
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,SMCO_EVO,29110.28655616283,8
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,SMCO,29109.966169755517,9
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,GA,21059.0835568463,10
rand1bin_Rastrigin_1000,rand1bin,Rastrigin,1000,DEoptim,19911.698094201394,11
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,SA,8070.6580387674785,1
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,GenSA,8070.658038767295,2
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,SPSA,6811.7821526910075,3
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,SMCO_R_EVO,6344.20440790264,4
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,SMCO_R,6344.19993499377,5
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,SMCO,6337.698098507451,6
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,SMCO_EVO,6337.617591544434,7
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,SMCO_BR_EVO,6337.263046792132,8
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,SMCO_BR,6336.63125564698,9
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,PSO,5904.816257447588,10
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,ADAM,5857.175238431583,11
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,SignGD,5835.869471709941,12
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,optimLBFGS,5798.86926139219,13
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,GD,5797.965839814179,14
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,GA,5213.827908513442,15
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,BOBYQA,5187.145941576514,16
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,DEoptim,4431.440527515092,17
rand1bin_Rastrigin_200,rand1bin,Rastrigin,200,optimNM,4057.7705127035515,18
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,GenSA,80706.5803872955,1
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,PSO,58152.53797892792,2
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,SMCO_R_EVO,57944.88808556363,3
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,SMCO_R,57929.57599256033,4
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,SMCO_BR_EVO,57914.65963310521,5
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,SMCO_BR,57911.78566871155,6
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,SMCO_EVO,57883.78753974486,7
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,SMCO,57881.35493030282,8
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,SA,57849.4274515718,9
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,GA,39985.96662560166,10
rand1bin_Rastrigin_2000,rand1bin,Rastrigin,2000,DEoptim,39049.42474348234,11
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,GenSA,121059.87040453288,1
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,PSO,87035.34159179099,2
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,SA,86781.56655992431,3
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,SMCO_R_EVO,86094.04443348976,4
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,SMCO_R,86068.11548491748,5
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,SMCO_BR_EVO,86030.44584423266,6
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,SMCO_EVO,86027.41694922576,7
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,SMCO_BR,86027.36301720096,8
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,SMCO,86021.13959544411,9
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,GA,59470.21118374476,10
rand1bin_Rastrigin_3000,rand1bin,Rastrigin,3000,DEoptim,57968.501820506805,11
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,GenSA,161412.67179774528,1
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,PSO,115988.19110691891,2
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,SA,115692.09726627979,3
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,SMCO_R_EVO,114388.86054100702,4
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,SMCO_R,114374.76422763668,5
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,SMCO_EVO,114316.99141115976,6
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,SMCO_BR_EVO,114315.02117795529,7
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,SMCO_BR,114314.06385418148,8
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,SMCO,114310.4567734591,9
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,DEoptim,77000.13010232343,10
rand1bin_Rastrigin_4000,rand1bin,Rastrigin,4000,GA,76768.81248488357,11
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,GenSA,2017.6645096911584,1
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,SA,2016.6594088317984,2
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,SMCO_BR,1713.6892572955312,3
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,SMCO_EVO,1713.4717252458795,4
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,SMCO_BR_EVO,1713.1417710463134,5
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,SMCO_R_EVO,1712.2016359836718,6
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,SMCO,1711.627471922306,7
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,SMCO_R,1711.4007428417153,8
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,GA,1677.507048041698,9
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,PSO,1513.6642874508077,10
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,SPSA,1508.8629762996293,11
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,ADAM,1497.5999018325197,12
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,SignGD,1495.1169950216295,13
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,BOBYQA,1488.1734706406592,14
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,GD,1457.8813857491364,15
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,optimLBFGS,1451.9611968788504,16
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,DEoptim,1319.7630795275386,17
rand1bin_Rastrigin_50,rand1bin,Rastrigin,50,optimNM,1237.6187289093946,18
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,SA,20176.645096911565,1
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,GenSA,20176.64509689113,2
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,SMCO_R_EVO,14794.55983702558,3
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,SMCO_R,14794.53924205436,4
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,SMCO_BR,14784.424196097865,5
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,SMCO_BR_EVO,14784.195515481697,6
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,SMCO,14779.85184274863,7
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,SMCO_EVO,14779.580012106695,8
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,PSO,14588.071204041513,9
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,GA,11268.411567350693,10
rand1bin_Rastrigin_500,rand1bin,Rastrigin,500,DEoptim,10307.579740862078,11
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,GenSA,201766.21261094167,1
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,PSO,144957.97011654064,2
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,SA,144455.59698672255,3
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,SMCO_R_EVO,142539.93391220184,4
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,SMCO_R,142512.25069086358,5
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,SMCO_BR,142460.14573842997,6
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,SMCO_BR_EVO,142458.56569411245,7
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,SMCO,142458.32504618834,8
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,SMCO_EVO,142431.5465032895,9
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,DEoptim,95772.36984367606,10
rand1bin_Rastrigin_5000,rand1bin,Rastrigin,5000,GA,94743.88053801833,11
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,GenSA,80490519.0,1
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,SPSA,62819103.0,2
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,PSO,58428327.0,3
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,optimLBFGS,58029237.0,4
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,GD,57996234.0,5
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,BOBYQA,56224390.06931541,6
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,SMCO_EVO,54636047.60828162,7
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,SMCO,54630111.708190724,8
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,SignGD,53284748.33492387,9
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,SA,52882416.0,10
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,SMCO_R_EVO,52699529.12167532,11
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,SMCO_R,52616803.95826252,12
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,SMCO_BR_EVO,48148821.414262325,13
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,SMCO_BR,47986687.78786815,14
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,ADAM,45450527.51475112,15
rand1bin_Rosenbrock_100,rand1bin,Rosenbrock,100,GA,45144330.78568907,16
