strategy,func,algo,dim,fopt_mean,fopt_std
rand1bin,Ackley,SMCO_EVO,4000,22.10504908,0.00832051
rand1bin,Ackley,SMCO_EVO,5000,22.11147899,0.00096119
rand1bin,Ackley,SMCO_R_EVO,50,22.20024201,0.03123259
rand1bin,Ackley,SMCO_R_EVO,100,22.19577538,0.02455994
rand1bin,Ackley,SMCO_R_EVO,200,22.17540888,0.01204647
rand1bin,Ackley,SMCO_R_EVO,500,22.16470134,0.01431111
rand1bin,Ackley,SMCO_R_EVO,1000,22.17802791,0.00754988
rand1bin,Ackley,SMCO_R_EVO,2000,22.17797944,0.00322373
rand1bin,Ackley,SMCO_R_EVO,3000,22.17659688,0.00263994
rand1bin,Ackley,SMCO_R_EVO,4000,22.14593543,0.008582
rand1bin,Ackley,SMCO_R_EVO,5000,22.15293404,0.00208278
rand1bin,Ackley,SMCO_BR_EVO,50,22.21172599,0.02479999
rand1bin,Ackley,SMCO_BR_EVO,100,22.20386099,0.02065396
rand1bin,Ackley,SMCO_BR_EVO,200,22.19753446,0.01945488
rand1bin,Ackley,SMCO_BR_EVO,500,22.18415327,0.01182134
rand1bin,Ackley,SMCO_BR_EVO,1000,22.19297949,0.01128247
rand1bin,Ackley,SMCO_BR_EVO,2000,22.18821204,0.00216098
rand1bin,Ackley,SMCO_BR_EVO,3000,22.17783126,0.00076333
rand1bin,Ackley,SMCO_BR_EVO,4000,22.18100381,0.01566225
rand1bin,Ackley,SMCO_BR_EVO,5000,22.18490993,0.00322537
rand1bin,Ackley,GenSA,50,22.29973317,0.00500233
rand1bin,Ackley,GenSA,100,22.28421294,0.00610862
rand1bin,Ackley,GenSA,200,22.24978918,0.00594939
rand1bin,Ackley,GenSA,500,22.16463458,0.00692266
rand1bin,Ackley,GenSA,1000,22.13118936,0.09109798
rand1bin,Ackley,GenSA,2000,21.94001171,0.00997303
rand1bin,Ackley,GenSA,3000,21.90540034,0.02071428
rand1bin,Ackley,GenSA,4000,21.86477087,0.00556715
