strategy,func,dim,algo,fopt_mean,time_mean,is_pareto,is_evo
rand1bin,Rastrigin,100,ADAM,2957.41684103,9.04,0,False
rand1bin,Rastrigin,1000,GenSA,40353.29019372,148.84,1,False
rand1bin,Rastrigin,1000,SMCO_EVO,29110.28655616,857.02,0,True
rand1bin,Rastrigin,1000,SMCO_BR,29126.31025437,818.89,0,False
rand1bin,Rastrigin,1000,SMCO_R_EVO,29138.0368996,768.85,0,True
rand1bin,Rastrigin,1000,SA,40353.29019378,340.33,1,False
rand1bin,Rastrigin,1000,SMCO,29109.96616976,775.73,0,False
rand1bin,Rastrigin,1000,GA,21059.08355685,2.22,0,False
rand1bin,Rastrigin,1000,SMCO_R,29138.03230207,706.49,0,False
rand1bin,Rastrigin,1000,DEoptim,19911.6980942,2089.55,0,False
rand1bin,Rastrigin,1000,SMCO_BR_EVO,29126.29918232,760.61,0,True
rand1bin,Rastrigin,1000,PSO,29165.33059818,0.92,1,False
rand1bin,Rastrigin,200,GenSA,8070.65803877,13.34,1,False
rand1bin,Rastrigin,200,optimNM,4057.7705127,1.05,0,False
rand1bin,Rastrigin,200,SPSA,6811.78215269,0.38,1,False
rand1bin,Rastrigin,200,optimLBFGS,5798.86926139,0.5,0,False
rand1bin,Rastrigin,200,SMCO_BR,6336.63125565,36.48,0,False
rand1bin,Rastrigin,200,SMCO_EVO,6337.61759154,35.94,0,True
rand1bin,Rastrigin,200,SA,8070.65803877,46.74,1,False
rand1bin,Rastrigin,200,SMCO_R_EVO,6344.2044079,34.6,0,True
rand1bin,Rastrigin,200,BOBYQA,5187.14594158,98.36,0,False
rand1bin,Rastrigin,200,SignGD,5835.86947171,11.77,0,False
rand1bin,Rastrigin,200,GA,5213.82790851,0.93,0,False
rand1bin,Rastrigin,200,SMCO,6337.69809851,34.04,0,False
rand1bin,Rastrigin,200,SMCO_R,6344.19993499,34.93,0,False
rand1bin,Rastrigin,200,SMCO_BR_EVO,6337.26304679,35.99,0,True
rand1bin,Rastrigin,200,DEoptim,4431.44052752,155.46,0,False
rand1bin,Rastrigin,200,GD,5797.96583981,5.6,0,False
rand1bin,Rastrigin,200,PSO,5904.81625745,0.29,1,False
rand1bin,Rastrigin,200,ADAM,5857.17523843,36.39,0,False
