strategy,func,algo,spearman_rho,degradation_pct,fopt_at_base_dim,fopt_at_max_dim,base_dim,max_dim,n_dims,scalability
sobol,Rastrigin,SA,1.0,-7063.11,2016.659409,144455.596987,50,5000,9,good
sobol,Rastrigin,DEoptim,1.0,-7156.79,1319.76308,95772.369844,50,5000,9,good
sobol,Rastrigin,GA,1.0,-5547.9,1677.507048,94743.880538,50,5000,9,good
sobol,Rastrigin,PSO,1.0,-9476.63,1513.664287,144957.970117,50,5000,9,good
sobol,Ackley,SMCO,0.2833,-0.28,21.636996,21.697045,50,5000,9,good
sobol,Ackley,SMCO_R,-0.9167,1.57,22.073094,21.725703,50,5000,9,poor
sobol,Ackley,SMCO_BR,-0.95,0.71,22.069995,21.912598,50,5000,9,poor
sobol,Ackley,SMCO_EVO,-0.9167,0.45,21.977527,21.879627,50,5000,9,poor
sobol,Ackley,SMCO_R_EVO,-0.9833,0.72,22.075299,21.917239,50,5000,9,poor
sobol,Ackley,SMCO_BR_EVO,-0.85,0.62,22.072731,21.93677,50,5000,9,poor
sobol,Ackley,GenSA,-1.0,2.55,22.299733,21.731487,50,5000,9,poor
sobol,Ackley,SA,-1.0,1.81,22.065485,21.665474,50,5000,9,poor
sobol,Ackley,DEoptim,-1.0,2.3,21.8301,21.328332,50,5000,9,poor
sobol,Ackley,GA,-1.0,2.23,21.873338,21.385606,50,5000,9,poor
sobol,Ackley,PSO,-0.9833,1.64,22.083614,21.721435,50,5000,9,poor
sobol,Rosenbrock,SMCO,1.0,-6734.29,28590556.089247,1953961917.846948,50,5000,9,good
sobol,Rosenbrock,SMCO_R,1.0,-6021.32,27764812.009917,1699574361.579336,50,5000,9,good
sobol,Rosenbrock,SMCO_BR,1.0,-5004.37,25826421.538414,1318276891.845702,50,5000,9,good
sobol,Rosenbrock,SMCO_EVO,1.0,-6737.02,28580814.584397,1954076967.436564,50,5000,9,good
sobol,Rosenbrock,SMCO_R_EVO,1.0,-6030.7,27724937.10859,1699732400.750996,50,5000,9,good
sobol,Rosenbrock,SMCO_BR_EVO,1.0,-5014.77,25777195.216915,1318443378.428654,50,5000,9,good
sobol,Rosenbrock,GenSA,1.0,-10028.14,39986469.0,4049887419.0,50,5000,9,good
sobol,Rosenbrock,SA,1.0,-9855.23,27331490.25,2720911801.5,50,5000,9,good
sobol,Rosenbrock,DEoptim,1.0,-3590.61,19070985.766803,703836218.466324,50,5000,9,good
sobol,Rosenbrock,GA,1.0,-3191.13,26248513.511949,863871393.409736,50,5000,9,good
sobol,Rosenbrock,PSO,1.0,-8353.67,30841751.25,2607259441.5,50,5000,9,good
sobol,Griewank,SMCO,1.0,-291.43,4400.892005,17226.592424,50,200,3,good
sobol,Griewank,SMCO_R,1.0,-286.23,4332.107673,16732.057541,50,200,3,good
sobol,Griewank,SMCO_BR,1.0,-274.44,4161.670566,15582.821649,50,200,3,good
sobol,Griewank,SMCO_EVO,1.0,-291.39,4400.689982,17224.017281,50,200,3,good
sobol,Griewank,SMCO_R_EVO,1.0,-286.1,4331.926942,16725.696457,50,200,3,good
sobol,Griewank,SMCO_BR_EVO,1.0,-274.41,4161.419268,15580.618599,50,200,3,good
sobol,Griewank,GenSA,1.0,-299.93,4501.0,18001.0,50,200,3,good
sobol,Griewank,SA,1.0,-299.93,4501.0,18001.0,50,200,3,good
sobol,Griewank,DEoptim,1.0,-203.64,2632.153245,7992.15824,50,200,3,good
sobol,Griewank,GA,1.0,-225.59,4252.259248,13845.086615,50,200,3,good
sobol,Griewank,PSO,1.0,-299.93,4501.0,18001.0,50,200,3,good
sobol,Zakharov,SMCO,1.0,-8113032406.61,1544460382804846.5,1.2530257290868337e+23,50,500,4,good
sobol,Zakharov,SMCO_R,1.0,-7449349056.79,1472185536847872.8,1.0966824087560668e+23,50,500,4,good
sobol,Zakharov,SMCO_BR,1.0,-6101384025.99,1302651618260598.5,7.947977905345289e+22,50,500,4,good
sobol,Zakharov,SMCO_EVO,1.0,-8121028582.12,1542792371747627.8,1.252906110152591e+23,50,500,4,good
sobol,Zakharov,SMCO_R_EVO,1.0,-7449100530.26,1472665333633579.2,1.0970032264928559e+23,50,500,4,good
sobol,Zakharov,SMCO_BR_EVO,1.0,-6102735599.19,1302917253201241.0,7.951359634206635e+22,50,500,4,good
sobol,Zakharov,GenSA,1.0,-9312583583.88,1651660441036249.8,1.538122607450211e+23,50,500,4,good
sobol,Zakharov,SA,1.0,-9312583583.88,1651660441036249.8,1.538122607450211e+23,50,500,4,good
sobol,Zakharov,DEoptim,1.0,-1171601790.36,1104786159318461.4,1.2943695526983188e+22,50,500,4,good
sobol,Zakharov,GA,1.0,-4193036182.69,1512953031732195.8,6.343866956064009e+22,50,500,4,good
sobol,Zakharov,PSO,1.0,-1467542548.68,853915058111519.9,1.2531567661324549e+22,50,500,4,good
