evo_algo,func,dim,best_strategy,best_fopt,worst_strategy,worst_fopt,strategy_gap_pct
SMCO_BR_EVO,Ackley,5000,rand1bin,22.18491,sobol,21.93677,1.1312
SMCO_BR_EVO,Rosenbrock,50,best1bin,26589262.678818,sobol,25777195.216915,3.1503
SMCO_BR_EVO,Rosenbrock,100,best1bin,48362434.759891,sobol,47962537.300371,0.8338
SMCO_BR_EVO,Rosenbrock,200,best1bin,90204671.644363,sobol,87256989.45341,3.3782
SMCO_BR_EVO,Rosenbrock,500,best1bin,203191321.914079,sobol,194307656.887344,4.572
SMCO_BR_EVO,Rosenbrock,1000,best1bin,372046389.764004,sobol,348019751.240238,6.9038
SMCO_BR_EVO,Rosenbrock,2000,best1bin,685824638.237074,sobol,618377998.376653,10.907
SMCO_BR_EVO,Rosenbrock,3000,rand1bin,984001031.039165,sobol,860040440.175012,14.4133
SMCO_BR_EVO,Rosenbrock,4000,rand1bin,1284332464.567898,sobol,1091360785.048509,17.6817
SMCO_BR_EVO,Rosenbrock,5000,rand1bin,1571387343.601668,sobol,1318443378.428654,19.185
SMCO_BR_EVO,Griewank,50,sobol,4161.419268,current-to-best1bin,4160.105177,0.0316
SMCO_BR_EVO,Griewank,100,best1bin,8155.948592,rand1bin,8149.343281,0.0811
SMCO_BR_EVO,Griewank,200,best1bin,15606.131335,current-to-best1bin,15579.36184,0.1718
SMCO_BR_EVO,Zakharov,50,best1bin,1326654041450707.0,sobol,1302917253201241.0,1.8218
SMCO_BR_EVO,Zakharov,100,best1bin,3.056030285630536e+17,sobol,3.008164305279717e+17,1.5912
SMCO_BR_EVO,Zakharov,200,current-to-best1bin,6.5618726300327985e+19,sobol,6.463244383320888e+19,1.526
SMCO_BR_EVO,Zakharov,500,current-to-best1bin,8.054490557151366e+22,sobol,7.951359634206635e+22,1.297
