strategy,pair,func,dim,improve_pct,time_overhead_pct,cost_benefit
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,10.2703,-6.25,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,14.4554,-3.81,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,17.6554,5.54,3.1849
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,19.2001,10.7,1.7944
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,-0.0347,8.55,-0.0041
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,0.0344,-2.83,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,-0.0203,7.96,-0.0026
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,1.4118,-4.1,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,0.6181,-2.18,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,0.8802,-1.55,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,0.499,-0.81,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,0.1068,1.72,0.0621
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,-0.2127,-1.43,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,-0.0007,-6.11,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,-0.0011,0.55,-0.0021
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,-0.0015,-0.58,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.0034,-4.29,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.0081,2.62,0.0031
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.0039,8.93,0.0004
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,-0.0183,1.44,-0.0127
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,50,2.3738,-0.02,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,100,2.688,-1.08,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,200,3.1809,13.87,0.2293
