task_id,algo,func,dim,rep,fopt,time,iterations,pair
144,SMCO_R,Rosenbrock,500,4,227306382.08054152,164.34620290901512,173,SMCO_R_vs_SMCO_R_EVO
148,SMCO_BR,Rosenbrock,500,4,195576930.48742795,159.5845630429685,98,SMCO_BR_vs_SMCO_BR_EVO
149,SMCO_BR_EVO,Rosenbrock,500,4,200357237.48414445,160.99138059292454,173,SMCO_BR_vs_SMCO_BR_EVO
111,SMCO_EVO,Ackley,500,8,22.071113118323737,315.0288395259995,323,SMCO_vs_SMCO_EVO
112,SMCO_BR,Ackley,500,8,21.916380643788294,300.48605142498855,98,SMCO_BR_vs_SMCO_BR_EVO
113,SMCO_BR_EVO,Ackley,500,8,22.15892992593605,305.466791867977,173,SMCO_BR_vs_SMCO_BR_EVO
151,SMCO_R_EVO,Rosenbrock,500,5,226048554.8724721,160.04856516898144,323,SMCO_R_vs_SMCO_R_EVO
150,SMCO_R,Rosenbrock,500,5,225983236.25447124,171.31525092595257,173,SMCO_R_vs_SMCO_R_EVO
152,SMCO,Rosenbrock,500,5,243746586.409464,154.1514443580527,323,SMCO_vs_SMCO_EVO
153,SMCO_EVO,Rosenbrock,500,5,243711221.44614482,153.36536592699122,323,SMCO_vs_SMCO_EVO
154,SMCO_BR,Rosenbrock,500,5,190708667.8021626,154.34315140498802,98,SMCO_BR_vs_SMCO_BR_EVO
156,SMCO_R,Rosenbrock,500,6,227820327.62384078,151.96899645100348,173,SMCO_R_vs_SMCO_R_EVO
155,SMCO_BR_EVO,Rosenbrock,500,5,191021360.5739745,161.915101113962,173,SMCO_BR_vs_SMCO_BR_EVO
117,SMCO_EVO,Ackley,500,9,22.077574717705392,312.46565078909043,323,SMCO_vs_SMCO_EVO
159,SMCO_EVO,Rosenbrock,500,6,243853710.77724162,145.61199254903477,323,SMCO_vs_SMCO_EVO
157,SMCO_R_EVO,Rosenbrock,500,6,228018063.6078406,155.83984918997157,323,SMCO_R_vs_SMCO_R_EVO
158,SMCO,Rosenbrock,500,6,243789068.82147187,156.75070342200343,323,SMCO_vs_SMCO_EVO
114,SMCO_R,Ackley,500,9,21.932558995917667,341.585010331939,173,SMCO_R_vs_SMCO_R_EVO
116,SMCO,Ackley,500,9,21.353967768640082,334.32618190092035,323,SMCO_vs_SMCO_EVO
160,SMCO_BR,Rosenbrock,500,6,195612611.47260773,165.0028310479829,98,SMCO_BR_vs_SMCO_BR_EVO
115,SMCO_R_EVO,Ackley,500,9,22.15049891950698,343.37070600595325,323,SMCO_R_vs_SMCO_R_EVO
163,SMCO_R_EVO,Rosenbrock,500,7,225479236.71035755,155.54183105798438,323,SMCO_R_vs_SMCO_R_EVO
161,SMCO_BR_EVO,Rosenbrock,500,6,197917702.01610577,172.99891223094892,173,SMCO_BR_vs_SMCO_BR_EVO
162,SMCO_R,Rosenbrock,500,7,225544931.36880976,160.1202110950835,173,SMCO_R_vs_SMCO_R_EVO
118,SMCO_BR,Ackley,500,9,21.931937986664437,345.74080332403537,98,SMCO_BR_vs_SMCO_BR_EVO
165,SMCO_EVO,Rosenbrock,500,7,241873873.71741974,162.3777232010616,323,SMCO_vs_SMCO_EVO
119,SMCO_BR_EVO,Ackley,500,9,22.129673953195454,342.6291102200048,173,SMCO_BR_vs_SMCO_BR_EVO
169,SMCO_R_EVO,Rosenbrock,500,8,225198261.04094297,160.58470653591212,323,SMCO_R_vs_SMCO_R_EVO
167,SMCO_BR_EVO,Rosenbrock,500,7,192734723.68086275,162.75374091195408,173,SMCO_BR_vs_SMCO_BR_EVO
