task_id,algo,func,dim,rep,fopt,time,iterations,pair
26,SMCO_R,Ackley,500,3,21.952027691542558,330.05547621299047,173,
31,SMCO_R_EVO,Ackley,500,5,22.116575371327674,332.75671913998667,323,
68,SMCO_R,Zakharov,500,4,1.089204097788817e+23,158.3435246590525,173,
71,SMCO_R_EVO,Zakharov,500,5,1.1008358376990033e+23,140.41971963702235,323,
38,SMCO_R,Ackley,500,9,21.932558995917667,352.88390217500273,173,
65,SMCO_R_EVO,Zakharov,500,2,1.0926733693579949e+23,173.20773812802508,323,
69,SMCO_R_EVO,Zakharov,500,4,1.0891275566158837e+23,162.6281566329999,323,
73,SMCO_R_EVO,Zakharov,500,6,1.096694682950259e+23,150.82846701797098,323,
70,SMCO_R,Zakharov,500,5,1.1004751628412586e+23,166.20307508006226,173,
74,SMCO_R,Zakharov,500,7,1.0823430690534808e+23,151.0241778549971,173,
72,SMCO_R,Zakharov,500,6,1.0969946437230518e+23,160.3977729920298,173,
77,SMCO_R_EVO,Zakharov,500,8,1.1022795987392003e+23,127.1019620510051,323,
75,SMCO_R_EVO,Zakharov,500,7,1.0821681859235774e+23,156.7415590659948,323,
76,SMCO_R,Zakharov,500,8,1.0994861357376685e+23,142.47464882594068,173,
78,SMCO_R,Zakharov,500,9,1.085861631255878e+23,132.7470149960136,173,
79,SMCO_R_EVO,Zakharov,500,9,1.0889663695011455e+23,156.65308259997983,323,
100,SMCO_R,Rosenbrock,1000,0,414963893.71334815,387.52954059198964,182,
106,SMCO_R,Rosenbrock,1000,3,425212156.6035389,393.57778188295197,182,
103,SMCO_R_EVO,Rosenbrock,1000,1,428718738.5571916,397.4731272220379,332,
101,SMCO_R_EVO,Rosenbrock,1000,0,415315697.8047238,417.0578584820032,332,
104,SMCO_R,Rosenbrock,1000,2,425503367.6450566,432.0022756259423,182,
105,SMCO_R_EVO,Rosenbrock,1000,2,425209598.1555896,437.9722854749998,332,
102,SMCO_R,Rosenbrock,1000,1,428705287.18764627,450.0103097760584,182,
113,SMCO_R_EVO,Zakharov,1000,1,2.480308349228183e+25,427.6333051719703,332,
108,SMCO_R,Rosenbrock,1000,4,418020204.33052266,437.5097856390057,182,
107,SMCO_R_EVO,Rosenbrock,1000,3,424904191.6457622,451.5845966899069,332,
112,SMCO_R,Zakharov,1000,1,2.4800475539940773e+25,455.847607609001,182,
115,SMCO_R_EVO,Zakharov,1000,2,2.466130092028317e+25,437.565647080075,332,
109,SMCO_R_EVO,Rosenbrock,1000,4,417862668.4213169,461.68991743202787,332,
114,SMCO_R,Zakharov,1000,2,2.4653259734985464e+25,443.9530292850686,182,
110,SMCO_R,Zakharov,1000,0,2.458351048336773e+25,473.82283361803275,182,
117,SMCO_R_EVO,Zakharov,1000,3,2.4795740724946064e+25,446.2546385960886,332,
111,SMCO_R_EVO,Zakharov,1000,0,2.4588831270467634e+25,480.4663519159658,332,
116,SMCO_R,Zakharov,1000,3,2.4776046205951786e+25,459.2894978360273,182,
119,SMCO_R_EVO,Zakharov,1000,4,2.4849997489988894e+25,458.98004884202965,332,
118,SMCO_R,Zakharov,1000,4,2.486729571195418e+25,486.0645157849649,182,
80,SMCO_R,Rastrigin,1000,0,29152.060165201012,720.4108993549598,182,
86,SMCO_R,Rastrigin,1000,3,29491.77912685247,714.1221135500818,182,
81,SMCO_R_EVO,Rastrigin,1000,0,29152.027999956168,719.5456909149652,332,
85,SMCO_R_EVO,Rastrigin,1000,2,29095.777694146196,723.9749912699917,332,
88,SMCO_R,Rastrigin,1000,4,29069.73545261383,724.1872279230738,182,
83,SMCO_R_EVO,Rastrigin,1000,1,29407.558543468156,734.3500520049129,332,
