label,name,dim,maximize,repetitions,iter_max,n_starts,seed,evolution_strategy,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,best1bin,0.040159862668839495,SMCO_R,0.08830020889872685,0.08625566992648766,0.07707062418609631,0.12562314688581436,0.13323947280739035,0.12025598119284879,0.03284176403773969
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,best1bin,0.040159862668839495,SMCO_R_EVO,0.08724491804896388,0.09006967072897885,0.0676501932624586,0.15376158219961894,0.16413786122021956,0.11967697474172576,0.043402334072753075
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,best1bin,0.0035597548883482353,SMCO,0.8746130162442569,0.6676334110484149,0.6675467392439991,0.6694655102797817,0.670826344104322,0.6711919655980825,0.0012988946615969939
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,best1bin,0.0035597548883482353,SMCO_BR,0.8259984651434934,0.37971266787177893,0.012540690854734617,0.6636249992952655,0.6636529685715253,0.23596282726881235,0.3080849542618922
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,best1bin,0.0035597548883482353,SMCO_BR_EVO,0.8634836207987974,0.31848319940149067,0.006799833229247997,0.6636688833879638,0.6639785462211892,0.16757243438053088,0.28009657970967283
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,best1bin,0.0035597548883482353,SMCO_EVO,0.7642463413387304,0.6670187962057241,0.6669423103463109,0.6702592714959251,0.6705117952068331,0.6705761452932456,0.0018380261022799393
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,best1bin,0.0035597548883482353,SMCO_R,0.8542916835081996,0.6635714004583979,0.6635700662469974,0.6638547490335078,0.6638974720100231,0.6671311364699735,0.00016239060337803885
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,best1bin,0.0035597548883482353,SMCO_R_EVO,0.8347855384577997,0.6635283071869693,0.6635308091069028,0.6638030161175988,0.6638207697200794,0.6670880448025931,0.00015533286100793975
DropWave_2d,DropWave,2,False,20,300,10,20261528,best1bin,-0.999998888763734,SMCO,0.08529521584569011,0.05070203197453632,0.06001319193001137,0.06375356390268419,0.06375356545811134,-0.9550044180481476,0.023977920795053002
DropWave_2d,DropWave,2,False,20,300,10,20261528,best1bin,-0.999998888763734,SMCO_BR,0.08987144139246084,0.04728106921983244,0.06375356096417562,0.06375356160358571,0.06375356173050409,-0.9648729692954369,0.032471352363150525
DropWave_2d,DropWave,2,False,20,300,10,20261528,best1bin,-0.999998888763734,SMCO_BR_EVO,0.09074536094849464,0.04508085483874794,0.032089600339823554,0.06375356207908749,0.06375356314515548,-0.9680359873968545,0.03261669590551819
DropWave_2d,DropWave,2,False,20,300,10,20261528,best1bin,-0.999998888763734,SMCO_EVO,0.08803118120413274,0.042161480967658996,0.015387618846735895,0.06375356277366256,0.06375356315648997,-0.9705965821813924,0.03100245907096069
DropWave_2d,DropWave,2,False,20,300,10,20261528,best1bin,-0.999998888763734,SMCO_R,0.0886213625955861,0.042767683367078785,0.0004315885804158093,0.06375356157085708,0.06375356388956578,-0.971172125429443,0.032413325009379525
DropWave_2d,DropWave,2,False,20,300,10,20261528,best1bin,-0.999998888763734,SMCO_R_EVO,0.08886192904319615,0.04032172755298312,0.0003708252972935977,0.06375356098896195,0.0637535609967475,-0.9743780704761041,0.03194428345415221
Easom_2d,Easom,2,False,20,300,10,20262128,best1bin,-0.9999981886786973,SMCO,0.06773756424954627,0.7107565760599608,0.6275642193590776,0.9999981886786973,0.9999981886786973,-0.39513970380707053,0.38295406305701024
Easom_2d,Easom,2,False,20,300,10,20262128,best1bin,-0.9999981886786973,SMCO_BR,0.07339775515138172,0.6708173430995458,0.005306799197115908,0.9999981886786973,0.9999981886786973,-0.5485660844785529,0.5090806606552885
Easom_2d,Easom,2,False,20,300,10,20262128,best1bin,-0.9999981886786973,SMCO_BR_EVO,0.07836408979492263,0.5477179089927906,0.0027065349194602684,0.9999981886786973,0.9999981886786973,-0.6987822024789621,0.4693375370378931
Easom_2d,Easom,2,False,20,300,10,20262128,best1bin,-0.9999981886786973,SMCO_EVO,0.07011825210356619,0.7295857203375805,0.8282902136574701,0.9999981886786973,0.9999981886786973,-0.4008187152659969,0.427082245205627
Easom_2d,Easom,2,False,20,300,10,20262128,best1bin,-0.9999981886786973,SMCO_R,0.07176538479980081,0.4999950106033778,0.0016484605560840304,0.9999981886786973,0.9999981886786973,-0.7488448597485103,0.44357046078332796
Easom_2d,Easom,2,False,20,300,10,20262128,best1bin,-0.9999981886786973,SMCO_R_EVO,0.07633719700388611,0.5477148002803884,0.0013301943676998218,0.9999981886786973,0.9999981886786973,-0.6995072289548767,0.46982268275600025
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,best1bin,-959.6406408392686,SMCO,0.08748397584422492,170.70248772548396,68.29374992025265,335.09721943765544,387.9191430621163,-830.4683645164343,114.49597715408963
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,best1bin,-959.6406408392686,SMCO_BR,0.09750429644191172,162.5013784892316,68.55435345851316,333.1961716554627,381.5535838458663,-838.4643841576647,111.0856133919596
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,best1bin,-959.6406408392686,SMCO_BR_EVO,0.0934002769907238,110.13236387702617,65.06493032212069,178.6227982309291,228.9039755700142,-876.7280870617567,74.37208021147443
