strategy,start_fraction,n_starts,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,3/4,24,SMCO,Rosenbrock,1000,3,483867282.81593096,375.91724310000427,324,1782911400
rand1bin,4/5,25,SMCO_R,Rosenbrock,1000,3,445222000.4124688,329.12603092286736,175,1782911400
rand1bin,3/4,24,SMCO_R,Rosenbrock,1000,3,448383871.099486,356.84501571790315,174,1782911400
rand1bin,4/5,25,SMCO,Rosenbrock,1000,3,481584736.03881633,339.80660403706133,325,1782911400
rand1bin,4/5,25,SMCO_BR,Rosenbrock,1000,3,374584038.87445205,333.71810920513235,100,1782911400
rand1bin,2/3,21,SMCO_R,Rosenbrock,1000,4,452009863.6171808,260.9251304680947,171,547454240
rand1bin,4/5,25,SMCO_BR,Ackley,1000,4,21.95361959216661,1175.019863884896,100,961780609
rand1bin,3/4,24,SMCO_BR,Rosenbrock,1000,3,378603961.05919707,373.88566007395275,99,1782911400
rand1bin,2/3,21,SMCO,Rosenbrock,1000,4,483996086.4862379,303.3461481530685,321,547454240
rand1bin,3/4,24,SMCO,Rosenbrock,1000,4,477087194.32467735,277.24064848804846,324,547454240
rand1bin,3/4,24,SMCO_BR,Rosenbrock,1000,4,373080515.8108218,258.36276922398247,99,547454240
rand1bin,2/3,21,SMCO_BR,Rosenbrock,1000,4,387170620.1864909,290.1720935169142,96,547454240
rand1bin,3/4,24,SMCO_R,Rosenbrock,1000,4,442266804.44533527,267.59729204699397,174,547454240
rand1bin,4/5,25,SMCO_BR,Rosenbrock,1000,4,369015374.23616934,267.6361793759279,100,547454240
rand1bin,4/5,25,SMCO,Rosenbrock,1000,4,474838654.8964604,289.01818137895316,325,547454240
rand1bin,4/5,25,SMCO_R,Rosenbrock,1000,4,439132529.31711,280.19498035195284,175,547454240
rand1bin,1/2,27,SMCO,Rastrigin,3000,0,87036.3156019052,5070.027072653873,327,631936983
rand1bin,1/2,27,SMCO_R,Rastrigin,3000,0,87122.56798755433,5126.326084889006,177,631936983
rand1bin,1/2,27,SMCO,Rastrigin,3000,1,87233.1446989349,5748.318932679016,327,886357985
rand1bin,1/2,27,SMCO_BR,Rastrigin,3000,1,87274.3083850237,5844.542128032073,102,886357985
rand1bin,1/2,27,SMCO_R,Rastrigin,3000,1,87319.24506273195,5991.318539026892,177,886357985
rand1bin,1/2,27,SMCO_BR,Rastrigin,3000,0,87075.26160520635,6080.78527718992,102,631936983
rand1bin,1/2,27,SMCO_BR,Ackley,3000,0,21.908306327016135,7245.437638879055,102,1182358643
rand1bin,1/2,27,SMCO_BR,Ackley,3000,1,21.910581848475363,7408.411970388843,102,1229620669
rand1bin,2/3,36,SMCO_BR,Rastrigin,3000,1,87025.89507519122,7567.306756753009,111,886357985
rand1bin,2/3,36,SMCO,Rastrigin,3000,1,86975.91212944651,7749.927363793831,336,886357985
rand1bin,1/2,27,SMCO,Ackley,3000,1,21.317238526155837,7808.216339172097,327,1229620669
rand1bin,2/3,36,SMCO_R,Rastrigin,3000,1,87060.34386218092,7818.710495109204,186,886357985
rand1bin,3/4,41,SMCO,Rastrigin,3000,0,86354.98099346072,7866.549526379909,341,631936983
rand1bin,3/4,41,SMCO_R,Rastrigin,3000,0,86403.91427658164,7876.973657549825,191,631936983
rand1bin,2/3,36,SMCO,Rastrigin,3000,0,86633.36064280324,7906.76342957397,336,631936983
rand1bin,2/3,36,SMCO_BR,Rastrigin,3000,0,86674.05152926987,7935.066405107034,111,631936983
rand1bin,2/3,36,SMCO_R,Rastrigin,3000,0,86710.42641786578,7946.156416058075,186,631936983
rand1bin,1/2,27,SMCO,Ackley,3000,0,21.31353256369406,8020.196312501095,327,1182358643
rand1bin,1/2,27,SMCO_R,Ackley,3000,1,21.899367157811866,8085.208496666048,177,1229620669
rand1bin,1/2,27,SMCO_R,Ackley,3000,0,21.895013156418866,8086.614862098126,177,1182358643
rand1bin,3/4,41,SMCO_BR,Rastrigin,3000,0,86375.04927100506,8219.194567875937,116,631936983
rand1bin,3/4,41,SMCO_BR,Rastrigin,3000,1,86649.76562996076,8388.860710191075,116,886357985
rand1bin,4/5,44,SMCO,Rastrigin,3000,0,86147.5029144387,8419.607395802159,344,631936983
rand1bin,4/5,44,SMCO_R,Rastrigin,3000,1,86478.21257607717,8527.120269904146,194,886357985
rand1bin,3/4,41,SMCO_R,Rastrigin,3000,1,86696.61496086782,8659.956393350847,191,886357985
rand1bin,3/4,41,SMCO,Rastrigin,3000,1,86592.34020400466,8796.607251491863,341,886357985
rand1bin,4/5,44,SMCO_R,Rastrigin,3000,0,86226.9914786455,8987.463604154065,194,631936983
rand1bin,4/5,44,SMCO_BR,Rastrigin,3000,0,86177.65498068985,9524.44513254799,119,631936983
rand1bin,4/5,44,SMCO,Rastrigin,3000,1,86420.72509319588,9538.90290437988,344,886357985
rand1bin,1/2,27,SMCO,Rosenbrock,3000,0,1391710447.624733,1980.353409491945,327,832555659
rand1bin,1/2,27,SMCO_BR,Rosenbrock,3000,0,1074343453.4814508,1814.4531202800572,102,832555659
rand1bin,1/2,27,SMCO_R,Rosenbrock,3000,0,1282004020.1790507,1980.4080442390405,177,832555659
rand1bin,2/3,36,SMCO_R,Ackley,3000,0,21.903016537343806,9852.599455554038,186,1182358643
rand1bin,2/3,36,SMCO,Ackley,3000,1,21.30958075905113,9873.776199852116,336,1229620669
rand1bin,1/2,27,SMCO,Rosenbrock,3000,1,1398159773.8109019,1791.6276852970477,327,229981575
rand1bin,4/5,44,SMCO_BR,Rastrigin,3000,1,86443.40038681227,10028.371107366867,119,886357985
rand1bin,1/2,27,SMCO_BR,Rosenbrock,3000,1,1078759405.980909,1741.2198158300016,102,229981575
rand1bin,2/3,36,SMCO_BR,Rosenbrock,3000,0,985232259.1655264,2342.5786735778674,111,832555659
rand1bin,2/3,36,SMCO_R,Rosenbrock,3000,0,1208427757.1874804,2359.175745576853,186,832555659
rand1bin,1/2,27,SMCO_R,Rosenbrock,3000,1,1289346813.2614315,1980.5493434818927,177,229981575
rand1bin,2/3,36,SMCO,Rosenbrock,3000,0,1333174781.673791,2615.874742610147,336,832555659
rand1bin,2/3,36,SMCO_BR,Ackley,3000,0,21.908267364643784,10615.27825671481,111,1182358643
rand1bin,2/3,36,SMCO,Ackley,3000,0,21.301821042466837,10648.01338252495,336,1182358643
rand1bin,2/3,36,SMCO,Rosenbrock,3000,1,1340723661.0550134,2151.728636551881,336,229981575
rand1bin,3/4,41,SMCO,Rosenbrock,3000,0,1310522931.6587274,2963.9227742541116,341,832555659
rand1bin,3/4,41,SMCO_BR,Rosenbrock,3000,0,949058808.707698,2952.9165166511666,116,832555659
rand1bin,3/4,41,SMCO_R,Rosenbrock,3000,0,1179050892.2394383,2967.440271076979,191,832555659
rand1bin,3/4,41,SMCO_R,Ackley,3000,0,21.8876608466046,11045.566832629032,191,1182358643
rand1bin,4/5,44,SMCO_R,Rosenbrock,3000,0,1158761602.113534,3044.329291689908,194,832555659
rand1bin,4/5,44,SMCO,Rosenbrock,3000,0,1293688497.3895922,3120.723720649956,344,832555659
rand1bin,2/3,36,SMCO_R,Rosenbrock,3000,1,1215063188.5969546,2506.8995467899367,186,229981575
rand1bin,4/5,44,SMCO_BR,Rosenbrock,3000,0,927138621.9000511,3107.8818736670073,119,832555659
rand1bin,2/3,36,SMCO_BR,Rosenbrock,3000,1,988276581.4815581,2424.573440772947,111,229981575
rand1bin,4/5,44,SMCO,Ackley,3000,0,21.391452628039676,11276.121227822965,344,1182358643
rand1bin,4/5,44,SMCO_R,Ackley,3000,0,21.89371580788114,11391.719703414943,194,1182358643
rand1bin,3/4,41,SMCO_R,Rosenbrock,3000,1,1179835800.6582222,1940.4930794788525,191,229981575
rand1bin,3/4,41,SMCO_BR,Ackley,3000,0,21.908232882702066,11481.134761888068,116,1182358643
rand1bin,3/4,41,SMCO,Rosenbrock,3000,1,1312745354.2260795,2573.370602814015,341,229981575
rand1bin,4/5,44,SMCO_R,Rosenbrock,3000,1,1160077141.2506213,2014.041484472109,194,229981575
rand1bin,3/4,41,SMCO,Ackley,3000,0,21.346878784280054,11665.160120901885,341,1182358643
rand1bin,3/4,41,SMCO_BR,Rosenbrock,3000,1,948003346.5913914,2320.6413771631196,116,229981575
rand1bin,4/5,44,SMCO,Rosenbrock,3000,1,1296656479.2797694,2392.6279128429014,344,229981575
rand1bin,4/5,44,SMCO_BR,Ackley,3000,0,21.908216138896382,11941.523885858012,119,1182358643
rand1bin,4/5,44,SMCO_BR,Rosenbrock,3000,1,926309155.2025082,2368.6769453550223,119,229981575
rand1bin,2/3,36,SMCO_R,Ackley,3000,1,21.911522387868423,7837.846205600072,186,1229620669
rand1bin,2/3,36,SMCO_BR,Ackley,3000,1,21.911820172351334,7806.472520721145,111,1229620669
rand1bin,3/4,41,SMCO_BR,Ackley,3000,1,21.911827613744855,8590.529277177062,116,1229620669
rand1bin,3/4,41,SMCO,Ackley,3000,1,21.360758117440174,8856.120929249795,341,1229620669
rand1bin,3/4,41,SMCO_R,Ackley,3000,1,21.89121969030474,8862.439882311039,191,1229620669
rand1bin,4/5,44,SMCO,Ackley,3000,1,21.397336423197967,9117.683595202165,344,1229620669
