strategy,pair,func,dim,base_std,evo_std,base_cv_pct,evo_cv_pct,std_ratio,evo_more_stable
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,0.01553984022480514,0.01979235959668195,0.07041161779698978,0.08911411256344452,1.2736527088025535,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,0.015248432437167123,0.012158401906656529,0.06947598837778259,0.05482635499937036,0.7973542170158532,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,0.0035061926385144488,0.005417530746471798,0.01600080784281048,0.02443532590404512,1.5451320862869562,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,23.169164360525805,40.20798095599318,0.2844048611530837,0.492989632087201,1.7354091986371791,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,43.6431945580766,102.26143299751351,0.28007247687503295,0.6552644649757342,2.3431243755869615,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,17.985285302404407,15.490659118804892,0.4321650408697993,0.372317240861851,0.8612962684964461,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,43.41014727955139,41.33216798305136,1.331881256680734,1.267358787603019,0.9521314847628064,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,142.0845979131695,141.93450206107374,0.487822167216813,0.48731949985262285,0.9989436163081696,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,65.26728749520692,64.70610091264572,1.0299997721509049,1.0211306244769054,0.991401717397825,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,213.8566873579288,212.42679582328196,0.36928007811969576,0.3668123545113775,0.9933137861980736,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,23.72597833934115,22.401626003716174,0.027579571786475892,0.026038820683374667,0.9441813392609819,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,214.9914606907248,200.9447805413084,0.18807087548297377,0.17577415674888439,0.9346640089597642,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,34.66405288805381,29.54822390534057,2.022773541964025,1.7247372513700798,0.8524168827218616,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,66.64079655396014,66.85969372413857,0.45075003037013117,0.4522214726535668,1.0032847321985592,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,185.29226060159942,216.54540073435493,0.13006603330436933,0.15200596428316876,1.1686694308293508,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,1537370.690113687,1546605.2804864694,3.2037441235991295,3.1979475147705405,1.0060067428318797,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,3832879.8296210705,6914914.776141005,1.10079153906922,1.8586162818371281,1.8041042462906105,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,1585200.4962545726,3077601.538134103,1.8150568469943895,3.411798393621681,1.941458853568174,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,2168963.029891078,8404936.42678257,0.3508763609916093,1.225522671274631,3.875094370421175,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,1105521.4134500872,9808415.026366001,0.1285901657171916,1.026748500405622,8.872207183898965,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,3466802.2955193873,6672016.256186158,0.31758759578699874,0.5237180008339046,1.9245447785728358,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,1047855.2536028872,1453767.2125580315,4.057299428975586,5.467497275568096,1.3873740743862086,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,3007025.2135384213,7934332.328169028,1.5464130813398347,3.9048578715995124,2.638598536668921,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,3002866.7691948023,11606936.460791076,0.2277872568175362,0.7585462518713915,3.8652851934231482,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,3232375327143844.0,5670252257730021.0,1.0747213528339858,1.855430649490473,1.7542060199860228,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,6.435082558752614e+17,9.289323504105256e+17,0.9956499151243426,1.4182194115473374,1.4435437959487363,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,23315286833952.996,19692958578362.188,1.7898328691354468,1.4844079890509945,0.8446371995597423,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,1.3861791465852392e+21,1.256986706870679e+21,1.7440651736751633,1.571669691116812,0.9067996080933571,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,100,0.04720167767411756,0.017453344823798355,0.21918369784109984,0.07892409084715869,0.3697611119735406,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,0.013364542590192896,0.006684832849159219,0.06257761072347288,0.03026544308167484,0.5001916679187098,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,200,0.027874071254363426,0.018261100521763173,0.13014185196021133,0.08263120086871695,0.655128572899252,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,0.00643105174078301,0.02340480163875431,0.03003447744618979,0.10595933022774122,3.6393427672694587,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,0.0035682364805552673,0.009740273732114703,0.016571618919797207,0.04420903005268767,2.729716425801179,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,0.0026025262831285228,0.0034963510089735246,0.012012586409301878,0.015845942227934944,1.3434450332507406,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,50,0.039608831130713985,0.021889541950276207,0.1830606735901151,0.09882132654883435,0.5526429668686269,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,500,0.01603145793238707,0.012988231349347549,0.07502647885510784,0.05881440174491586,0.810171564191206,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,0.0036795236739315634,0.008596611662246872,0.016958639673821996,0.038967562497584284,2.3363381850622558,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,100,8.42755298256758,5.620003576135052,0.09642402890390658,0.06429417901083011,0.6668606637964837,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,200,12.774118779968944,13.805512517400397,0.0741534858765732,0.08015170224706329,1.0807408914224892,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,50,5.904611855805622,5.855733227823092,0.13416852422241748,0.1330770297235976,0.9917219574840519,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,41.54759579646438,44.87162208620216,1.2711407987893288,1.3757647761896459,1.080005262061894,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,141.88767118775237,142.29818301826012,0.48741956744412124,0.48883704512448534,1.0028932170573477,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,65.48378906504749,65.51713882669688,1.0332424809012146,1.0337763775837439,1.0005092827114244,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,215.46586719506854,218.03769757880207,0.3722543597234711,0.37668501501032664,1.0119361382719851,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,26.78539022317753,14.22798555882795,0.03113814854017134,0.016538757585423513,0.5311845539781013,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,234.33160425472224,236.60886495609873,0.2049957728006647,0.20697987670965498,1.00971811168459,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,31.961785810345667,29.703727874001327,1.867333069528839,1.7335562995084568,0.9293513213015328,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,67.19184402636769,67.45848745230192,0.4546178455728818,0.4564271786684929,1.0039683897621503,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,194.88279805421254,221.06656363687858,0.13679986620018658,0.15520817053887512,1.134356473963301,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,1678805.4878597786,1649045.563371564,3.073040554680166,3.018569277719949,0.9822731551073532,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,2712843.2105423748,2643318.9820067342,0.5854353104374945,0.5703644791832692,0.9743721906723313,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,1790986.633885248,1773727.9518339054,1.736722250993466,1.7197250345533655,0.9903635896969801,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,6089094.399197151,6239990.871614101,0.7005017107122344,0.7180348815709361,1.0247814309524987,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,1018451.972388438,1392657.82472092,0.08215158354135967,0.1123668309720561,1.3674261157891496,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,5187853.9367573485,4549189.21342815,0.32391476762996196,0.2840000644051921,0.8768923082425112,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,1143423.4365575619,1148911.5843703058,3.999304640974071,4.019940484190575,1.0047997510259776,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,2673938.4339337614,2763239.7486902224,1.0971621634136586,1.1338427870023964,1.0333969225406157,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,3915142.6489223037,4454116.076437052,0.20036944492942632,0.2279595118814974,1.1376638033005282,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,1250349683025672.0,1771524652395157.0,0.33550950449183814,0.4738045548041022,1.4168233706496522,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,2.5670340792716826e+17,2.1286404270464426e+17,0.28826547925170376,0.23861640002297035,0.8292217248827406,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,7992420858986.234,8340384129661.408,0.5174895353723121,0.5390515225019678,1.0435366551404688,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,6.107884466985734e+20,4.751860045580609e+20,0.4874508420060114,0.37818666578938187,0.7779878730950639,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,0.00867915909867792,0.028973391067031933,0.03938186866121694,0.13067841211200867,3.3382716848047402,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.009763825410394208,0.008397375463567504,0.04448355641854022,0.037892246119844694,0.8600497356935498,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,0.0301708205752624,0.021908243490326933,0.13743194257026747,0.09887595670288946,0.7261401272025693,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,0.0029409715954453945,0.004560784812452103,0.013428759445646837,0.020602851215016628,1.5507748594087991,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,0.0041541136793326805,0.006623813348652854,0.019264411733003996,0.02991786924657821,1.5945190382264425,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,0.002575113612246743,0.005158495545662108,0.011868744554959869,0.023348477931611527,2.0032108568450337,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,0.012553348150200145,0.02922566529792023,0.05687171983088142,0.13171458146732823,2.3281171643004477,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,0.015127240003064016,0.02014465661599867,0.06892431538369985,0.09097426563895675,1.3316809022609795,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,0.003450117430746136,0.014653647707664494,0.015880349088639504,0.06626969051629573,4.247289549357581,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,100,12.907435941144286,14.166582073485767,0.15068357983206043,0.16533130861280018,1.0975519954608315,0
