strategy,func,dim,algo,is_evo,mean,p01,p05,p10,worst,ae_from_best
current-to-best1bin,Zakharov,200,GA,False,6.714015930255444e+19,6.490199373478241e+19,6.500234968041715e+19,6.5127794612460585e+19,6.487690474837373e+19,3.4874890770045854e+19
current-to-best1bin,Zakharov,200,GD,False,1.020150500726003e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,0.0
current-to-best1bin,Zakharov,200,GenSA,False,1.020150500726003e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,0.0
current-to-best1bin,Zakharov,200,PSO,False,1.881315786450292e+19,1.271665920532638e+19,1.2721260369138311e+19,1.2727011823903228e+19,1.2715508914373396e+19,8.320189220809738e+19
current-to-best1bin,Zakharov,200,SA,False,1.020150500726003e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,0.0
current-to-best1bin,Zakharov,200,SMCO,False,8.905104024024446e+19,8.87206009431387e+19,8.875438609660409e+19,8.879661753843583e+19,8.871215465477235e+19,1.296400983235584e+19
current-to-best1bin,Zakharov,200,SMCO_BR,False,6.463198018702149e+19,6.381101653322972e+19,6.393269088518101e+19,6.4084783825120125e+19,6.37805979452419e+19,3.7383069885578805e+19
current-to-best1bin,Zakharov,200,SMCO_BR_EVO,True,6.5618726300327985e+19,6.459648343924244e+19,6.460315126477382e+19,6.461148604668804e+19,6.459481648285959e+19,3.6396323772272312e+19
current-to-best1bin,Zakharov,200,SMCO_EVO,True,8.92076331233532e+19,8.893219188674304e+19,8.896569880070336e+19,8.900758244315375e+19,8.892381515825296e+19,1.2807416949247099e+19
current-to-best1bin,Zakharov,200,SMCO_R,False,8.126408086905997e+19,8.070604927045542e+19,8.0813103024931e+19,8.094692021802548e+19,8.067928583183652e+19,2.075096920354033e+19
current-to-best1bin,Zakharov,200,SMCO_R_EVO,True,8.182450588926935e+19,8.115253956071301e+19,8.119719933689019e+19,8.125302405711166e+19,8.114137461666872e+19,2.0190544183330947e+19
current-to-best1bin,Zakharov,200,SPSA,False,5.61846952147701e+18,4.953898956641969e+18,4.958438725306305e+18,4.964113436136722e+18,4.952764014475886e+18,9.639658055112329e+19
current-to-best1bin,Zakharov,200,SignGD,False,1.020150500726003e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,0.0
current-to-best1bin,Zakharov,200,optimLBFGS,False,1.020150500726003e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,1.0201505007260028e+20,0.0
current-to-best1bin,Zakharov,200,optimNM,False,8.155673609713709e+17,6.41953351310647e+17,6.595653827168202e+17,6.815804219745367e+17,6.375503434591037e+17,1.0119948271162892e+20
current-to-best1bin,Zakharov,50,ADAM,False,398995567428997.3,298366264091093.56,306811307857111.6,316875194639445.2,296255003149589.06,1252664873607252.2
