strategy,func,dim,algo,mean_fopt,std_fopt,min_fopt,max_fopt,mean_time,n
best1bin,Ackley,3000,SMCO_BR_EVO,22.169782121666714,0.01332350271584276,22.160360982547186,22.179203260786245,11537.064752173377,2
best1bin,Ackley,3000,SMCO_EVO,22.079895295901025,0.018643425146294496,22.066712403555538,22.093078188246515,11957.53033937898,2
best1bin,Ackley,3000,SMCO_R,21.563667434577347,0.0041541136793326805,21.56073003262487,21.566604836529823,11554.922079079552,2
best1bin,Ackley,3000,SMCO_R_EVO,22.155912042043262,0.0006264469894447783,22.15546907712897,22.15635500695755,11470.832511760062,2
best1bin,Ackley,4000,DEoptim,21.34122138647738,0.0075838235374286085,21.335858813426743,21.34658395952802,30279.781046617078,2
best1bin,Ackley,4000,GA,21.397228574401577,0.018195830583838467,21.384362179206423,21.41009496959673,8.888344200095162,2
best1bin,Ackley,4000,GenSA,21.864770869740198,0.005567154782293458,21.860834296841723,21.868707442638673,2041.9372882610187,2
best1bin,Ackley,4000,PSO,21.711805007306616,0.007945711595089468,21.706186540756377,21.717423473856858,4.381716515519656,2
best1bin,Ackley,4000,SA,21.842683492138292,0.0058357624675580925,21.838556984924086,21.846809999352494,1268.9315231599612,2
best1bin,Ackley,4000,SMCO,21.664995317854874,0.0026025262831285228,21.663155053871858,21.66683558183789,23100.162310047424,2
best1bin,Ackley,4000,SMCO_BR,21.90941466516003,0.003023920524546516,21.907276430451354,21.911552899868706,22631.872077014996,2
best1bin,Ackley,4000,SMCO_BR_EVO,22.16507421915107,0.0011056421182212516,22.16429241211171,22.16585602619043,22587.492699280032,2
best1bin,Ackley,4000,SMCO_EVO,22.089218252554286,0.017395727278975325,22.07691761583165,22.10151888927692,23451.597304508905,2
best1bin,Ackley,4000,SMCO_R,21.696596470859426,0.002575113612246743,21.69477559056188,21.69841735115697,22467.473527271533,2
best1bin,Ackley,4000,SMCO_R_EVO,22.118838400144877,0.0025212456376331937,22.11705561025747,22.120621190032285,22564.190133869997,2
best1bin,Ackley,5000,DEoptim,21.328332378863344,0.0005481870812116374,21.32794475206086,21.328720005665826,62562.57554866944,2
best1bin,Ackley,5000,GA,21.385606465715362,0.027421506665368207,21.36621653240193,21.404996399028796,11.87063737749122,2
best1bin,Ackley,5000,GenSA,21.73148729514309,0.012415287729121188,21.722708360999448,21.740266229286735,3623.529324848554,2
best1bin,Ackley,5000,PSO,21.721434902688344,0.007498920403426941,21.716132365219504,21.726737440157187,6.524161619483493,2
best1bin,Ackley,5000,SA,21.665474326389205,0.014399470929136647,21.655292362849714,21.675656289928696,1899.8792631719261,2
best1bin,Ackley,5000,SMCO,21.697044955860562,0.0036795236739315634,21.69444313971919,21.699646772001937,46529.58966527146,2
best1bin,Ackley,5000,SMCO_BR,21.912597619812423,0.0035061926385144488,21.910118367221582,21.91507687240326,51276.21011490142,2
best1bin,Ackley,5000,SMCO_BR_EVO,22.170896217000973,0.005417530746471798,22.167065444272858,22.17472698972909,52610.42843876197,2
best1bin,Ackley,5000,SMCO_EVO,22.099187971841268,0.016117010923803684,22.08779152412459,22.11058441955795,52993.37140144105,2
best1bin,Ackley,5000,SMCO_R,21.72570270016472,0.003450117430746136,21.72326309873355,21.72814230159589,46072.0754191624,2
best1bin,Ackley,5000,SMCO_R_EVO,22.131356276340014,0.009023011742276842,22.124976043550323,22.137736509129702,50630.727129994426,2
best1bin,Rastrigin,1000,DEoptim,19911.698094201394,97.73368800883647,19774.33004917767,20030.22702656015,2691.963961324608,5
best1bin,Rastrigin,1000,GA,21059.0835568463,235.41222602436082,20677.71017415987,21310.506621551165,2.5685073805972936,5
best1bin,Rastrigin,1000,GenSA,40353.29019371744,5.9193053899035926e-08,40353.29019365113,40353.290193800865,181.05498415380717,5
best1bin,Rastrigin,1000,PSO,29165.330598182743,48.87384342622759,29105.04008250979,29220.696787241348,1.1021646109875292,5
best1bin,Rastrigin,1000,SA,40353.2901937765,1.1140150486309644e-08,40353.2901937679,40353.29019379534,443.26347725819795,5
best1bin,Rastrigin,1000,SMCO,29109.966169755517,141.88767118775237,28922.36959267035,29278.36342889351,971.5581173986196,5
best1bin,Rastrigin,1000,SMCO_BR,29126.31025437183,142.0845979131695,28939.055165143007,29296.601207284162,991.3542616551742,5
best1bin,Rastrigin,1000,SMCO_BR_EVO,29125.55358527581,141.93450206107374,28937.26075646177,29294.117185811952,1033.2734588149935,5
best1bin,Rastrigin,1000,SMCO_EVO,29109.53341967424,142.29818301826012,28920.67013150554,29278.11114002987,961.7788147156127,5
best1bin,Rastrigin,1000,SMCO_R,29138.03230207167,142.43430034967813,28949.138832904187,29306.843255256295,1019.3981522825546,5
best1bin,Rastrigin,1000,SMCO_R_EVO,29138.02210024288,142.48285145469708,28949.04784350899,29306.836491161797,992.4385194743984,5
best1bin,Rastrigin,2000,DEoptim,39049.42474348234,156.54028642560473,38900.21049065358,39212.384523160654,8374.670760383053,3
best1bin,Rastrigin,2000,GA,39985.966625601664,87.99021627032853,39909.763530691605,40082.26692221761,4.239744852452229,3
best1bin,Rastrigin,2000,GenSA,80706.5803872955,1.6277465911041493e-07,80706.58038710817,80706.58038740252,659.1034679966979,3
best1bin,Rastrigin,2000,PSO,58152.53797892792,176.28901244012312,58032.50900630685,58354.93434683074,1.8510851056004565,3
best1bin,Rastrigin,2000,SA,57849.4274515718,0.0,57849.4274515718,57849.4274515718,447.2820474295877,3
best1bin,Rastrigin,2000,SMCO,57881.35493030282,215.46586719506854,57670.58391027269,58101.227220177905,4410.9437384663615,3
best1bin,Rastrigin,2000,SMCO_BR,57911.78566871155,213.8566873579288,57697.64371855566,58125.35594714534,4411.809895341052,3
best1bin,Rastrigin,2000,SMCO_BR_EVO,57911.57064659148,212.42679582328196,57696.3852639447,58121.12696822056,4618.525538300397,3
best1bin,Rastrigin,2000,SMCO_EVO,57883.29476627168,218.03769757880207,57666.541564660365,58102.594650291,4476.240385280999,3
best1bin,Rastrigin,2000,SMCO_R,57929.57599256033,217.77665629624664,57715.96457327559,58151.29163732992,4816.741277426714,3
best1bin,Rastrigin,2000,SMCO_R_EVO,57943.735655981036,220.92695337037887,57726.11687558251,58167.82847317183,4576.955087621619,3
best1bin,Rastrigin,3000,DEoptim,57968.501820506805,4.321504442122581,57965.44605541085,57971.55758560276,17042.542045551934,2
best1bin,Rastrigin,3000,GA,59470.21118374476,6.935507163660693,59465.30703959837,59475.11532789115,5.768837196053937,2
best1bin,Rastrigin,3000,GenSA,121059.87040453288,0.00021645043975303423,121059.8702514793,121059.87055758644,1333.1191489354242,2
best1bin,Rastrigin,3000,PSO,87035.34159179099,13.135948576832506,87026.05307347499,87044.63011010698,2.7696559224277735,2
best1bin,Rastrigin,3000,SA,86781.56655992431,10.501076731538323,86774.14117735768,86788.99194249095,792.691837785067,2
best1bin,Rastrigin,3000,SMCO,86021.13959544411,26.78539022317753,86002.19946438058,86040.07972650765,9431.527922817506,2
best1bin,Rastrigin,3000,SMCO_BR,86027.36301720096,23.72597833934115,86010.58621702692,86044.13981737499,9668.693349327543,2
