strategy,dim,algo,mean_fopt,mean_time,fopt_per_second,is_evo
best1bin,500,SMCO_R,2.7417060218901723e+22,233.60935850405366,1.1736285050594827e+20,False
best1bin,500,SMCO_R_EVO,2.7480195101614865e+22,236.81354710323504,1.1604148258306911e+20,True
best1bin,1000,DEoptim,53652180.107309625,2349.6279150570745,22834.330390565847,False
best1bin,1000,GA,76254044.79270051,2.4348799520016957,31317373.462298486,False
best1bin,1000,GenSA,269867931.47379434,177.85404248453366,1517356.1854646192,False
best1bin,1000,PSO,177605772.03883043,1.0975702287629248,161817228.07752404,False
best1bin,1000,SA,180876561.41765806,319.51316596906014,566100.4950111293,False
best1bin,1000,SMCO,154472732.06927586,945.9762364359107,163294.51641541452,False
best1bin,1000,SMCO_BR,116074072.00668001,939.6701085989829,123526.40670856564,False
best1bin,1000,SMCO_BR_EVO,124025179.16550557,958.8215318430525,129351.68333892505,True
best1bin,1000,SMCO_EVO,154490986.90237576,937.5720090420606,164777.72951031552,True
best1bin,1000,SMCO_R,140914035.98528633,959.9809777500728,146788.3627398008,False
best1bin,1000,SMCO_R_EVO,143774180.68248317,948.2667754057485,151617.86156745232,True
best1bin,2000,DEoptim,99640012.44920482,7965.603920719664,12508.783193453422,False
best1bin,2000,GA,126333393.76704887,3.7650589260738343,33554161.102808572,False
best1bin,2000,GenSA,539908382.5067997,560.3639168643599,963495.9822680524,False
best1bin,2000,PSO,346298899.43714595,1.875133087289416,184679637.82652655,False
best1bin,2000,SA,360999483.4399754,428.4339826572169,842602.3566127928,False
best1bin,2000,SMCO,289768505.24653125,3986.1211139080892,72694.35548144577,False
best1bin,2000,SMCO_BR,206071287.6604697,3878.725910910897,53128.60263747665,False
best1bin,2000,SMCO_BR_EVO,228627523.99421263,3900.960730224253,58608.00449049114,True
best1bin,2000,SMCO_EVO,289698398.2601066,3924.236399961351,73822.87118659819,True
best1bin,2000,SMCO_R,258626899.8699452,4058.231335032007,63728.96922789776,False
best1bin,2000,SMCO_R_EVO,264933696.6829152,3906.876330578674,67812.1533075694,True
best1bin,3000,DEoptim,145027975.84859055,16788.89642958017,8638.326911890848,False
best1bin,3000,GA,186173944.17236257,5.2001141110279905,35801895.91946446,False
