strategy,evo_algo,baseline,func,dim,n,evo_wins,baseline_wins,evo_win_rate,evo_mean,baseline_mean
best1bin,SMCO_EVO,DEoptim,Rosenbrock,100,15,15,0,100.0,54780042.29941387,28044571.62015562
best1bin,SMCO_EVO,DEoptim,Rosenbrock,1000,5,5,0,100.0,463443829.07431805,160936607.22145408
best1bin,SMCO_EVO,DEoptim,Rosenbrock,200,10,10,0,100.0,103140206.49786988,45125424.91177361
best1bin,SMCO_EVO,DEoptim,Rosenbrock,2000,3,3,0,100.0,869037289.3809952,298880966.55981404
best1bin,SMCO_EVO,DEoptim,Rosenbrock,3000,2,2,0,100.0,1239385157.2331452,435025937.7010499
best1bin,SMCO_EVO,DEoptim,Rosenbrock,4000,2,2,0,100.0,1607755773.5210905,570759716.329524
best1bin,SMCO_EVO,DEoptim,Rosenbrock,50,20,20,0,100.0,28787769.693364054,19070985.766802933
best1bin,SMCO_EVO,DEoptim,Rosenbrock,500,5,5,0,100.0,243705721.84840137,90626987.21461594
best1bin,SMCO_EVO,DEoptim,Rosenbrock,5000,2,2,0,100.0,2043895340.43962,703836218.4663241
best1bin,SMCO_EVO,DEoptim,Zakharov,100,15,15,0,100.0,3.73584180255514e+17,1.564472855667245e+17
best1bin,SMCO_EVO,DEoptim,Zakharov,200,10,10,0,100.0,8.921407920290213e+19,2.0586170592747446e+19
best1bin,SMCO_EVO,DEoptim,Zakharov,50,20,20,0,100.0,1552340893079979.8,1104786159318461.4
best1bin,SMCO_EVO,DEoptim,Zakharov,500,5,5,0,100.0,1.255249685333479e+23,1.2943695526983188e+22
best1bin,SMCO_EVO,GA,Ackley,100,15,15,0,100.0,22.14155916807938,21.747230058586418
best1bin,SMCO_EVO,GA,Ackley,1000,5,5,0,100.0,22.099389528701984,21.469110045827815
best1bin,SMCO_EVO,GA,Ackley,200,10,10,0,100.0,22.110580184015916,21.65704026433761
best1bin,SMCO_EVO,GA,Ackley,2000,3,3,0,100.0,22.10455869910525,21.423978267424815
best1bin,SMCO_EVO,GA,Ackley,3000,2,2,0,100.0,22.079895295901025,21.404660691573028
best1bin,SMCO_EVO,GA,Ackley,4000,2,2,0,100.0,22.089218252554286,21.397228574401577
best1bin,SMCO_EVO,GA,Ackley,50,20,20,0,100.0,22.162611203958978,21.873338174265168
best1bin,SMCO_EVO,GA,Ackley,500,5,5,0,100.0,22.096366885358627,21.534768239986803
best1bin,SMCO_EVO,GA,Ackley,5000,2,2,0,100.0,22.099187971841268,21.385606465715362
best1bin,SMCO_EVO,GA,Griewank,100,15,15,0,100.0,8741.07681690497,7833.490229109933
best1bin,SMCO_EVO,GA,Griewank,200,10,10,0,100.0,17224.22871924248,13845.086614735043
best1bin,SMCO_EVO,GA,Griewank,50,20,20,0,100.0,4400.544985503508,4252.25924766195
best1bin,SMCO_EVO,GA,Rastrigin,100,15,15,0,100.0,3261.576605448482,2944.8415643089775
best1bin,SMCO_EVO,GA,Rastrigin,1000,5,5,0,100.0,29109.53341967424,21059.0835568463
best1bin,SMCO_EVO,GA,Rastrigin,200,10,10,0,100.0,6337.65098984277,5213.827908513442
best1bin,SMCO_EVO,GA,Rastrigin,2000,3,3,0,100.0,57883.29476627168,39985.966625601664
best1bin,SMCO_EVO,GA,Rastrigin,3000,2,2,0,100.0,86028.14017521989,59470.21118374476
best1bin,SMCO_EVO,GA,Rastrigin,4000,2,2,0,100.0,114314.91250137634,76768.81248488357
best1bin,SMCO_EVO,GA,Rastrigin,50,20,16,4,80.0,1713.53951530713,1677.5070480416975
best1bin,SMCO_EVO,GA,Rastrigin,500,5,5,0,100.0,14779.682412667544,11268.411567350693
best1bin,SMCO_EVO,GA,Rastrigin,5000,2,2,0,100.0,142432.29777746001,94743.88053801833
best1bin,SMCO_EVO,GA,Rosenbrock,100,15,15,0,100.0,54780042.29941387,45144330.78568907
best1bin,SMCO_EVO,GA,Rosenbrock,1000,5,5,0,100.0,463443829.07431805,228741053.82543468
best1bin,SMCO_EVO,GA,Rosenbrock,200,10,10,0,100.0,103140206.49786988,77429598.63905175
best1bin,SMCO_EVO,GA,Rosenbrock,2000,3,3,0,100.0,869037289.3809952,378960173.9105427
best1bin,SMCO_EVO,GA,Rosenbrock,3000,2,2,0,100.0,1239385157.2331452,558462340.9012433
best1bin,SMCO_EVO,GA,Rosenbrock,4000,2,2,0,100.0,1607755773.5210905,681387818.6390367
best1bin,SMCO_EVO,GA,Rosenbrock,50,20,18,2,90.0,28787769.693364054,26248513.511948694
best1bin,SMCO_EVO,GA,Rosenbrock,500,5,5,0,100.0,243705721.84840137,148048142.29008248
best1bin,SMCO_EVO,GA,Rosenbrock,5000,2,2,0,100.0,2043895340.43962,863871393.4097354
best1bin,SMCO_EVO,GA,Zakharov,100,15,15,0,100.0,3.73584180255514e+17,3.259341240180298e+17
best1bin,SMCO_EVO,GA,Zakharov,200,10,10,0,100.0,8.921407920290213e+19,6.714015930255444e+19
best1bin,SMCO_EVO,GA,Zakharov,50,20,20,0,100.0,1552340893079979.8,1512953031732195.8
best1bin,SMCO_EVO,GA,Zakharov,500,5,5,0,100.0,1.255249685333479e+23,6.343866956064009e+22
best1bin,SMCO_EVO,PSO,Ackley,100,15,15,0,100.0,22.14155916807938,22.034127095732682
best1bin,SMCO_EVO,PSO,Ackley,1000,5,5,0,100.0,22.099389528701984,21.78589313424506
best1bin,SMCO_EVO,PSO,Ackley,200,10,10,0,100.0,22.110580184015916,21.952550274180496
best1bin,SMCO_EVO,PSO,Ackley,2000,3,3,0,100.0,22.10455869910525,21.77345900855943
best1bin,SMCO_EVO,PSO,Ackley,3000,2,2,0,100.0,22.079895295901025,21.74146523673044
best1bin,SMCO_EVO,PSO,Ackley,4000,2,2,0,100.0,22.089218252554286,21.711805007306616
best1bin,SMCO_EVO,PSO,Ackley,50,20,19,1,95.0,22.162611203958978,22.083613893804547
best1bin,SMCO_EVO,PSO,Ackley,500,5,5,0,100.0,22.096366885358627,21.873543919805268
best1bin,SMCO_EVO,PSO,Ackley,5000,2,2,0,100.0,22.099187971841268,21.721434902688344
best1bin,SMCO_EVO,PSO,Griewank,100,15,0,15,0.0,8741.07681690497,9001.0
best1bin,SMCO_EVO,PSO,Griewank,200,10,0,10,0.0,17224.22871924248,18001.0
best1bin,SMCO_EVO,PSO,Griewank,50,20,0,20,0.0,4400.544985503508,4501.0
best1bin,SMCO_EVO,PSO,Rastrigin,100,15,15,0,100.0,3261.576605448482,2980.090458833662
