strategy,variant,base_algo,evo_algo,func,dim,improve_pct,win_rate,n
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,100,-0.21268349984329224,26.666666666666668,15
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,1000,-0.0014866045489453099,20.0,5
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,200,-0.0007433087526116615,50.0,10
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,2000,0.0033514004141492492,66.66666666666666,3
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,3000,0.008138208594655123,50.0,2
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,4000,0.003897918040931683,50.0,2
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,50,0.10684140853930382,55.00000000000001,20
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,500,-0.0011463584539796153,40.0,5
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rastrigin,5000,-0.01827009317980538,0.0,2
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,100,-0.00013371571232517412,60.0,15
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,1000,0.011818187686807905,80.0,5
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,200,0.015202909877453218,60.0,10
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,2000,-0.024196050503709772,0.0,3
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,3000,-0.027241298790770203,50.0,2
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,4000,0.013487270068779096,50.0,2
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,50,-0.03582582051789023,40.0,20
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,500,-0.0034205626355150462,40.0,5
current-to-best1bin,BASE,SMCO,SMCO_EVO,Rosenbrock,5000,-0.0028281767307396267,50.0,2
current-to-best1bin,BASE,SMCO,SMCO_EVO,Zakharov,100,0.3278044120240116,73.33333333333333,15
current-to-best1bin,BASE,SMCO,SMCO_EVO,Zakharov,200,0.17584621435783382,80.0,10
current-to-best1bin,BASE,SMCO,SMCO_EVO,Zakharov,50,0.1795331745207585,60.0,20
current-to-best1bin,BASE,SMCO,SMCO_EVO,Zakharov,500,0.27610122612161553,80.0,5
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Ackley,100,0.6037454248791694,100.0,15
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Ackley,1000,0.9654345099335335,100.0,5
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Ackley,200,0.9293377150745695,100.0,10
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Ackley,2000,1.0781581831694638,100.0,3
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Ackley,3000,2.6726569841566237,100.0,2
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Ackley,4000,1.8293270304621512,100.0,2
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Ackley,50,0.5234391109567286,100.0,20
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Ackley,500,0.8913826929334514,100.0,5
