strategy,pair,func,dim,quality_gain_pct,time_overhead_pct,benefit_cost_ratio,base_mean_time,evo_mean_time,base_mean_fopt,evo_mean_fopt
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,-0.0025978886079665634,4.228478030631615,-0.0006143791191883081,991.3542616551742,1033.2734588149935,29126.31025437183,29125.55358527581
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,0.0012651224594087279,-0.31689967393915475,-0.003992186055867111,48.146631032577716,47.99405451582279,6336.63125564698,6336.711421792165
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,-0.00037129250564273234,4.685506580363775,-7.924276687578695e-05,4411.809895341052,4618.525538300397,57911.78566871155,57911.57064659148
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.004978498221169264,4.750980986524667,0.0010478884750938617,9668.693349327543,10128.05113199947,86027.36301720096,86031.64588793849
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.00507566002280574,3.0490057814646714,0.0016646934727580316,19749.53747093759,20351.70201023901,114314.06385418148,114319.86604742098
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,-0.02846429370368655,9.587048260064472,-0.00296903623842769,4.399446741840802,4.821223824156914,1713.6892572955312,1713.201467752166
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,0.0020235339045064893,-2.7590992205530567,-0.0007334038186929992,237.3558848768007,230.80700050722808,14784.424196097865,14784.72336393406
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,-0.0011625669613674905,21.26697545156825,-5.46653643351886e-05,40152.25991603255,48691.43117562507,142460.14573842997,142458.4895438425
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,0.7830233536522586,3.1862267210377335,0.24575255379103497,13.266727291202793,13.689435301162302,47986687.78786815,48362434.75989135
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,6.8506022099717025,-1.3255759390603288,-5.168019430729816,519.0091827395372,512.1293218916283,348193067.76848793,372046389.76400423
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,3.284478705265977,-7.355391415861429,-0.4465403021494152,44.61755656728055,41.33576064156368,87336134.89183861,90204671.64436342
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,10.946867247938359,-7.8820212402120715,-1.3888401102105918,1724.6846032233443,1588.744596470613,618155929.2741712,685824638.2370745
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,11.115681357617365,-0.28684712503599397,-38.75123850804694,3254.635464244522,3245.299635984935,859724697.6735848,955288955.6197197
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,16.706232789048695,-3.0297968456264672,-5.513977880452367,5744.760975731071,5570.706388899591,1091605069.4387069,1273971153.476194
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,2.9537237254100077,0.20972502265476778,14.083792615782365,4.963456447841599,4.9738660580012946,25826421.53841371,26589262.678818237
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,4.494540587147208,-3.931121938332296,-1.1433226080628605,167.35344041679053,160.7745726060122,194451615.14885086,203191321.91407925
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,16.07238304258046,0.40661758712772533,39.52702379676425,10422.333740763017,10464.712782742106,1318276891.8457017,1530155403.464967
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,1.6088996625459997,-2.4441976883172836,-0.6582526733562424,15.375220782853042,14.999419991904869,3.007640369869114e+17,3.056030285630536e+17
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,1.3428702365957947,3.6992124505376642,0.3630151699993912,46.50833766392898,48.228779881331135,6.463198018702149e+19,6.5499903812275495e+19
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,1.8425819193437456,-3.0235173435797353,-0.6094166859192529,5.835373159940355,5.658939640386961,1302651618260598.5,1326654041450707.0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,0.6265899836816922,-0.1555005126134312,-4.029504296486615,176.4560250442475,176.1816350207664,7.947977905345289e+22,7.997779138805416e+22
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,100,2.6880474266689536,-1.0766792111180212,-2.4966093883039604,20.75646335510537,20.53298282919762,21.535213676492056,22.11409043355066
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,3.4209193556915,-0.4451358717813595,-7.685112731987991,1357.5635592249687,1351.5205568406266,21.356747941768013,22.0873450658542
