strategy,algo_a,algo_b,a_wins,b_wins,total,a_win_rate,b_win_rate
current-to-best1bin,DEoptim,SPSA,135,90,225,60.0,40.0
current-to-best1bin,DEoptim,SignGD,45,180,225,20.0,80.0
current-to-best1bin,DEoptim,optimLBFGS,0,225,225,0.0,100.0
current-to-best1bin,DEoptim,optimNM,211,14,225,93.77777777777779,6.222222222222222
current-to-best1bin,GA,GD,77,148,225,34.22222222222222,65.77777777777779
current-to-best1bin,GA,GenSA,0,287,287,0.0,100.0
current-to-best1bin,GA,PSO,75,212,287,26.132404181184672,73.86759581881533
current-to-best1bin,GA,SA,5,282,287,1.7421602787456445,98.25783972125436
current-to-best1bin,GA,SMCO,65,222,287,22.64808362369338,77.35191637630662
current-to-best1bin,GA,SMCO_BR,85,202,287,29.61672473867596,70.38327526132404
current-to-best1bin,GA,SMCO_BR_EVO,83,204,287,28.9198606271777,71.0801393728223
current-to-best1bin,GA,SMCO_EVO,6,281,287,2.0905923344947737,97.90940766550523
current-to-best1bin,GA,SMCO_R,29,258,287,10.104529616724738,89.89547038327527
current-to-best1bin,GA,SMCO_R_EVO,28,259,287,9.75609756097561,90.2439024390244
current-to-best1bin,GA,SPSA,155,70,225,68.88888888888889,31.11111111111111
current-to-best1bin,GA,SignGD,81,144,225,36.0,64.0
current-to-best1bin,GA,optimLBFGS,57,168,225,25.333333333333336,74.66666666666667
current-to-best1bin,GA,optimNM,218,7,225,96.88888888888889,3.111111111111111
current-to-best1bin,GD,GenSA,0,180,225,0.0,80.0
current-to-best1bin,GD,PSO,74,151,225,32.88888888888889,67.11111111111111
current-to-best1bin,GD,SA,49,129,225,21.777777777777775,57.333333333333336
current-to-best1bin,GD,SMCO,134,91,225,59.55555555555555,40.44444444444444
current-to-best1bin,GD,SMCO_BR,106,119,225,47.11111111111111,52.888888888888886
current-to-best1bin,GD,SMCO_BR_EVO,90,135,225,40.0,60.0
current-to-best1bin,GD,SMCO_EVO,89,136,225,39.55555555555556,60.44444444444444
current-to-best1bin,GD,SMCO_R,105,120,225,46.666666666666664,53.333333333333336
current-to-best1bin,GD,SMCO_R_EVO,90,135,225,40.0,60.0
current-to-best1bin,GD,SPSA,142,83,225,63.11111111111111,36.888888888888886
current-to-best1bin,GD,SignGD,144,36,225,64.0,16.0
current-to-best1bin,GD,optimLBFGS,66,72,225,29.333333333333332,32.0
current-to-best1bin,GD,optimNM,225,0,225,100.0,0.0
current-to-best1bin,GenSA,PSO,242,0,287,84.3205574912892,0.0
current-to-best1bin,GenSA,SA,153,39,287,53.31010452961672,13.588850174216027
current-to-best1bin,GenSA,SMCO,287,0,287,100.0,0.0
current-to-best1bin,GenSA,SMCO_BR,282,5,287,98.25783972125436,1.7421602787456445
current-to-best1bin,GenSA,SMCO_BR_EVO,275,12,287,95.81881533101046,4.181184668989547
current-to-best1bin,GenSA,SMCO_EVO,277,10,287,96.51567944250871,3.484320557491289
current-to-best1bin,GenSA,SMCO_R,286,1,287,99.65156794425087,0.34843205574912894
current-to-best1bin,GenSA,SMCO_R_EVO,276,11,287,96.16724738675958,3.8327526132404177
current-to-best1bin,GenSA,SPSA,225,0,225,100.0,0.0
current-to-best1bin,GenSA,SignGD,180,0,225,80.0,0.0
