evo_algo,func,dim,best1bin_mean,current-to-best1bin_mean,winner,best1bin_wins,current-to-best1bin_wins,n
SMCO_BR_EVO,Rosenbrock,200,90204671.64436342,88751492.55925764,best1bin,5,0,10
SMCO_BR_EVO,Rosenbrock,500,203191321.91407925,198440396.84318468,best1bin,3,2,5
SMCO_BR_EVO,Rosenbrock,1000,372046389.76400423,361314025.78286856,best1bin,4,1,5
SMCO_BR_EVO,Rosenbrock,2000,685824638.2370745,667858608.950692,best1bin,2,1,3
SMCO_BR_EVO,Rosenbrock,3000,955288955.6197197,928660317.1534901,best1bin,2,0,2
SMCO_BR_EVO,Rosenbrock,4000,1273971153.476194,1239822826.0694354,best1bin,2,0,2
SMCO_BR_EVO,Rosenbrock,5000,1530155403.464967,1529914988.3765254,best1bin,1,1,2
SMCO_BR_EVO,Zakharov,50,1326654041450707.0,1321579327789853.5,best1bin,10,10,20
SMCO_BR_EVO,Zakharov,100,3.056030285630536e+17,3.0432878251545683e+17,best1bin,7,8,15
SMCO_BR_EVO,Zakharov,200,6.5499903812275495e+19,6.5618726300327985e+19,current-to-best1bin,5,5,10
SMCO_BR_EVO,Zakharov,500,7.997779138805416e+22,8.054490557151366e+22,current-to-best1bin,0,5,5
