strategy,func,dim,algo,rank,mean_fopt,total_methods
best1bin,Rastrigin,100,SPSA,9,3171.268158473069,18
best1bin,Rastrigin,100,PSO,10,2980.090458833662,18
best1bin,Rastrigin,100,ADAM,11,2957.4168410296193,18
best1bin,Rastrigin,100,SignGD,12,2949.962384618055,18
best1bin,Rastrigin,100,GA,13,2944.8415643089775,18
best1bin,Rastrigin,100,GD,14,2902.6926104235413,18
best1bin,Rastrigin,100,optimLBFGS,15,2896.345516551151,18
best1bin,Rastrigin,100,BOBYQA,16,2883.366582842886,18
best1bin,Rastrigin,100,DEoptim,17,2384.787204249496,18
best1bin,Rastrigin,100,optimNM,18,2115.5027764413167,18
best1bin,Rastrigin,1000,SA,1,40353.2901937765,11
best1bin,Rastrigin,1000,GenSA,2,40353.29019371744,11
best1bin,Rastrigin,1000,PSO,3,29165.330598182743,11
best1bin,Rastrigin,1000,SMCO_R,4,29138.03230207167,11
best1bin,Rastrigin,1000,SMCO_R_EVO,5,29138.02210024288,11
best1bin,Rastrigin,1000,SMCO_BR,6,29126.31025437183,11
best1bin,Rastrigin,1000,SMCO_BR_EVO,7,29125.55358527581,11
best1bin,Rastrigin,1000,SMCO,8,29109.966169755517,11
best1bin,Rastrigin,1000,SMCO_EVO,9,29109.53341967424,11
best1bin,Rastrigin,1000,GA,10,21059.0835568463,11
best1bin,Rastrigin,1000,DEoptim,11,19911.698094201394,11
best1bin,Rastrigin,200,SA,1,8070.658038767479,18
best1bin,Rastrigin,200,GenSA,2,8070.658038767295,18
best1bin,Rastrigin,200,SPSA,3,6811.7821526910075,18
best1bin,Rastrigin,200,SMCO_R,4,6344.199934993769,18
best1bin,Rastrigin,200,SMCO_R_EVO,5,6344.197927569635,18
best1bin,Rastrigin,200,SMCO,6,6337.698098507451,18
best1bin,Rastrigin,200,SMCO_EVO,7,6337.65098984277,18
best1bin,Rastrigin,200,SMCO_BR_EVO,8,6336.711421792165,18
best1bin,Rastrigin,200,SMCO_BR,9,6336.63125564698,18
best1bin,Rastrigin,200,PSO,10,5904.816257447588,18
best1bin,Rastrigin,200,ADAM,11,5857.175238431582,18
best1bin,Rastrigin,200,SignGD,12,5835.869471709941,18
best1bin,Rastrigin,200,optimLBFGS,13,5798.86926139219,18
best1bin,Rastrigin,200,GD,14,5797.965839814179,18
best1bin,Rastrigin,200,GA,15,5213.827908513442,18
best1bin,Rastrigin,200,BOBYQA,16,5187.145941576514,18
best1bin,Rastrigin,200,DEoptim,17,4431.440527515091,18
