strategy,base_algo,evo_algo,func,dim,n,cohens_d,magnitude
current-to-best1bin,SMCO,SMCO_EVO,Rastrigin,4000,2,0.009461340038833449,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rastrigin,50,20,0.04943686888587314,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rastrigin,500,5,-0.001631376411634351,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rastrigin,5000,2,-0.9940231341504803,large
current-to-best1bin,SMCO,SMCO_EVO,Rosenbrock,100,15,-0.0008253579577256976,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rosenbrock,1000,5,0.20721123614539355,small
current-to-best1bin,SMCO,SMCO_EVO,Rosenbrock,200,10,0.07386564290975627,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rosenbrock,2000,3,-1.3803159224783823,large
current-to-best1bin,SMCO,SMCO_EVO,Rosenbrock,3000,2,-0.1400668740372704,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rosenbrock,4000,2,0.02218471996041444,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rosenbrock,50,20,-0.03399457188292072,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rosenbrock,500,5,-0.05996829309310623,negligible
current-to-best1bin,SMCO,SMCO_EVO,Rosenbrock,5000,2,-0.10253102187778816,negligible
current-to-best1bin,SMCO,SMCO_EVO,Zakharov,100,15,1.0170600131212089,large
current-to-best1bin,SMCO,SMCO_EVO,Zakharov,200,10,0.9187355126489871,large
current-to-best1bin,SMCO,SMCO_EVO,Zakharov,50,20,0.5372541638186669,medium
current-to-best1bin,SMCO,SMCO_EVO,Zakharov,500,5,1.255519999284125,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Ackley,100,15,5.198526305830577,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Ackley,1000,5,19.3461120986218,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Ackley,200,10,4.809223703183203,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Ackley,2000,3,140.14578202213363,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Ackley,3000,2,233.357468881704,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Ackley,4000,2,51.321665709707474,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Ackley,50,20,4.526177023166265,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Ackley,500,5,7.620317241940396,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Ackley,5000,2,34.49258792894323,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Griewank,100,15,0.34046040674520844,small
current-to-best1bin,SMCO_R,SMCO_R_EVO,Griewank,200,10,-0.5531773540255536,medium
current-to-best1bin,SMCO_R,SMCO_R_EVO,Griewank,50,20,-0.18859013478258121,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rastrigin,100,15,0.023372387881879494,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rastrigin,1000,5,-4.8329278068456266e-05,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rastrigin,200,10,-2.098894989283711e-05,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rastrigin,2000,3,0.06150505098902273,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rastrigin,3000,2,0.6141566506111539,medium
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rastrigin,4000,2,0.012368457205094881,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rastrigin,50,20,0.03732082818227787,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rastrigin,500,5,-2.53497658812256e-05,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rastrigin,5000,2,0.06849322562730907,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,100,15,-0.013720044000560106,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,1000,5,-0.135595111226344,negligible
