strategy,pair,func,dim,improve_pct,base_mean,evo_mean,n_reps
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,4.494540587147208,194451615.14885086,203191321.91407925,5
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,6.8506022099717025,348193067.76848793,372046389.76400423,5
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,10.946867247938359,618155929.2741712,685824638.2370745,3
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,11.115681357617365,859724697.6735848,955288955.6197197,2
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,16.706232789048695,1091605069.4387069,1273971153.476194,2
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,16.07238304258046,1318276891.8457017,1530155403.464967,2
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,50,1.8425819193437456,1302651618260598.5,1326654041450707.0,20
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,100,1.6088996625459997,3.007640369869114e+17,3.056030285630536e+17,15
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,200,1.3428702365957947,6.463198018702149e+19,6.5499903812275495e+19,10
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Zakharov,500,0.6265899836816922,7.947977905345289e+22,7.997779138805416e+22,5
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,50,2.373847126831374,21.6369962777482,22.150625492220136,20
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,100,2.6880474266689536,21.535213676492056,22.11409043355066,15
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,200,3.180935110235216,21.418222373910474,22.099522129390447,10
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,500,3.349380298772797,21.367733334983292,22.08341998559953,5
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,3.4209193556915,21.356747941768013,22.0873450658542,5
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3.1582193163874464,21.412231167680464,22.08847638848768,3
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2.3225805080469786,21.532214189963604,22.032317199690624,2
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,1.84468248042518,21.664995317854874,22.06464569086828,2
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,1.6771768547706338,21.697044955860562,22.060942772029435,2
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,50,-0.014396360540283717,4400.892005055723,4400.258436775686,20
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,100,0.01121860496755372,8740.096300027286,8741.07681690497,15
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,200,-0.013721254099776571,17226.59242376168,17224.22871924248,10
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,0.10684140853930382,1711.627471922306,1713.4561988222536,20
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,-0.21268349984329224,3268.5282256722076,3261.576605448482,15
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,-0.0007433087526116615,6337.698098507451,6337.65098984277,10
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,-0.0011463584539796153,14779.85184274863,14779.682412667546,5
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,-0.0014866045489453099,29109.966169755517,29109.53341967424,5
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.0033514004141492492,57881.35493030282,57883.29476627167,3
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.008138208594655123,86021.13959544411,86028.14017521989,2
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.003897918040931683,114310.4567734591,114314.91250137634,2
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,-0.01827009317980538,142458.32504618834,142432.29777746001,2
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,-0.03582582051789023,28590556.089247294,28580313.287937693,20
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,-0.00013371571232517412,54630111.708190724,54630038.65914771,15
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,0.015202909877453218,103124528.56873003,103140206.49786988,10
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,-0.0034205626355150462,243714058.24041504,243705721.84840137,5
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.011818187686807905,463389064.8849098,463443829.07431805,5
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,-0.024196050503709772,869247612.9724323,869037289.3809952,3
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,-0.027241298790770203,1239722873.845387,1239385157.2331452,2
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.013487270068779096,1601610810.9908462,1601826824.5663753,2
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,-0.0028281767307396267,1953961917.8469486,1953906656.3506606,2
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,0.1795331745207585,1544460382804846.5,1547233201559311.5,20
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,0.3278044120240116,3.726719113127506e+17,3.73893546280408e+17,15
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,0.17584621435783382,8.905104024024446e+19,8.92076331233532e+19,10
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,0.27610122612161553,1.2530257290868337e+23,1.2564853484884617e+23,5
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,0.5234391109567286,22.073093951668508,22.188633158409765,20
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,0.6037454248791694,22.038464384055782,22.171520604488144,15
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,0.9293377150745695,21.953281028416217,22.1573011487096,10
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,0.8913826929334514,21.94761009790387,22.1432472958291,5
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.9654345099335335,21.949291370787886,22.161197404367336,5
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,1.0781581831694638,21.90054567102072,22.136668196331595,3
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2.6726569841566237,21.563667434577347,22.139990298307886,2
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,1.8293270304621512,21.696596470859426,22.093498174791154,2
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,1.7787169350718053,21.72570270016472,22.112141453355903,2
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,50,-0.02564388785735173,4332.107673411131,4330.996752577502,20
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,100,0.03130388036815744,8565.920689918474,8568.602155483677,15
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,200,-0.0491957597815151,16732.05754060517,16723.826077770987,10
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,0.04665597933144893,1711.4007428417149,1712.1992136185734,20
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,0.020271940908002543,3268.9392456568066,3269.6019230890047,15
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,-3.1641880053862396e-05,6344.199934993769,6344.197927569635,10
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,-1.3703008467220825e-05,14794.539242054356,14794.53721475739,5
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,-3.501207180011239e-05,29138.03230207167,29138.02210024288,5
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,0.024442891524909763,57929.575992560334,57943.735655981036,3
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.030719985687453804,86068.11548491748,86094.5555976759,2
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.00502631131802202,114374.76422763668,114380.51305935602,2
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.02005841385396837,142512.25069086358,142540.83638789976,2
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,0.01446666833449103,27764812.00991679,27768828.65318396,20
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,100,-0.002569450698396805,52616803.95826252,52615451.99542574,15
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,200,0.3877179360370537,98101461.91474606,98481818.87810409,10
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,500,0.04189540825358968,226905423.5312902,227000486.48482817,5
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,-0.012584691224907475,422712947.97426564,422659750.85499537,5
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,0.006212795948643959,775822748.1332974,775870948.4175621,3
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,1.4852003426514908,1094303115.940483,1110555709.568077,2
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2.411574278831267,1399385030.0219135,1433132239.4677372,2
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,4.004501413746169,1699574361.5793362,1767633840.916448,2
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,0.6665792360764646,1472185536847872.8,1481998819953021.5,20
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,0.3464152534772695,3.5073620183415974e+17,3.519512055367801e+17,15
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,0.6896343553216197,8.126408086905997e+19,8.182450588926935e+19,10
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,0.20759303779966243,1.0966824087560668e+23,1.098959045083418e+23,5
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,50,0.5040104245762097,22.069994570511767,22.18122964385055,20
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,0.6822867812649877,22.034128689829082,22.184464637246702,15
