label,name,dim,maximize,repetitions,iter_max,n_starts,seed,evolution_strategy,best_opt,algo,time_avg,rMSE,AE50,AE95,AE99,fopt_mean,fopt_sd
Bukin6_2d,Bukin6,2,False,20,300,10,20262028,current-to-best1bin,0.040159862668839495,SMCO_R_EVO,0.07665658989571966,0.06997378035213973,0.051999638602810073,0.11880218723995399,0.12895072271065486,0.09937839833217672,0.038244297416801847
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,current-to-best1bin,0.0033548322712585975,SMCO,0.8221539045451209,0.6678383332971872,0.6677516618610888,0.6696704328968714,0.6710312667214117,0.6711919655980825,0.0012988946615969939
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,current-to-best1bin,0.0033548322712585975,SMCO_BR,0.8351378747960553,0.3798381252944557,0.012745613471824256,0.6638299219123552,0.663857891188615,0.23596282726881235,0.3080849542618922
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,current-to-best1bin,0.0033548322712585975,SMCO_BR_EVO,0.8493603130948031,0.3515017384259092,0.008394803408829015,0.6642072722670977,0.664228755400023,0.19961161919542658,0.29918616929516256
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,current-to-best1bin,0.0033548322712585975,SMCO_EVO,0.8121152583451476,0.6663770905136986,0.666270407132187,0.668488924099807,0.6691328779772461,0.6697306079195404,0.001358168524100632
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,current-to-best1bin,0.0033548322712585975,SMCO_R,0.7842580920492764,0.66377632306966,0.6637749888640871,0.6640596716505975,0.6641023946271128,0.6671311364699735,0.00016239060337803885
DixonPrice_10d,DixonPrice,10,False,20,300,10,20261128,current-to-best1bin,0.0033548322712585975,SMCO_R_EVO,0.844029866650817,0.6637196661922281,0.663721445429894,0.6638909493644929,0.6639384974257054,0.6670744885743386,0.0001175506338048214
DropWave_2d,DropWave,2,False,20,300,10,20261528,current-to-best1bin,-0.99999325172885,SMCO,0.08127479350659997,0.05069702957098222,0.06000755489512738,0.0637479268678002,0.06374792842322735,-0.9550044180481476,0.023977920795053002
DropWave_2d,DropWave,2,False,20,300,10,20261528,current-to-best1bin,-0.99999325172885,SMCO_BR,0.08588199594814797,0.04727688152025257,0.06374792392929163,0.06374792456870172,0.0637479246956201,-0.9648729692954369,0.032471352363150525
DropWave_2d,DropWave,2,False,20,300,10,20261528,current-to-best1bin,-0.99999325172885,SMCO_BR_EVO,0.08702078234637156,0.042763904908571494,0.0004963418525334995,0.06374792422629219,0.06374792473085994,-0.9711807518492408,0.03242142588696658
DropWave_2d,DropWave,2,False,20,300,10,20261528,current-to-best1bin,-0.99999325172885,SMCO_EVO,0.08129951094451826,0.04509844610944134,0.03397804464991039,0.06374793419230908,0.06374793845711012,-0.9674221287093374,0.03200315423161591
DropWave_2d,DropWave,2,False,20,300,10,20261528,current-to-best1bin,-0.99999325172885,SMCO_R,0.08488247040077113,0.0427638840310589,0.0004259515455318219,0.0637479245359731,0.0637479268546818,-0.971172125429443,0.032413325009379525
DropWave_2d,DropWave,2,False,20,300,10,20261528,current-to-best1bin,-0.99999325172885,SMCO_R_EVO,0.08531378624902572,0.04031796212615308,0.0002777052792571899,0.06374792397227645,0.06374792410096801,-0.9744061937990128,0.03196775573672996
Easom_2d,Easom,2,False,20,300,10,20262128,current-to-best1bin,-0.9999981886786973,SMCO,0.048478346440242605,0.7107565760599608,0.6275642193590776,0.9999981886786973,0.9999981886786973,-0.39513970380707053,0.38295406305701024
Easom_2d,Easom,2,False,20,300,10,20262128,current-to-best1bin,-0.9999981886786973,SMCO_BR,0.05157275039236993,0.6708173430995458,0.005306799197115908,0.9999981886786973,0.9999981886786973,-0.5485660844785529,0.5090806606552885
Easom_2d,Easom,2,False,20,300,10,20262128,current-to-best1bin,-0.9999981886786973,SMCO_BR_EVO,0.055573682810063474,0.49999670847935446,0.003085620683330015,0.9999981886786973,0.9999981886786973,-0.7483969969006576,0.44330522784866466
Easom_2d,Easom,2,False,20,300,10,20262128,current-to-best1bin,-0.9999981886786973,SMCO_EVO,0.048508693600888365,0.7630492678341008,0.8806405158847678,0.9999981886786973,0.9999981886786973,-0.34833482971441454,0.40727470585207015
Easom_2d,Easom,2,False,20,300,10,20262128,current-to-best1bin,-0.9999981886786973,SMCO_R,0.05003468235372566,0.4999950106033778,0.0016484605560840304,0.9999981886786973,0.9999981886786973,-0.7488448597485103,0.44357046078332796
Easom_2d,Easom,2,False,20,300,10,20262128,current-to-best1bin,-0.9999981886786973,SMCO_R_EVO,0.05234849354601465,0.4999997787490404,0.0009423485055379821,0.9999981886786973,0.9999981886786973,-0.7494750485445599,0.4439510819500876
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,current-to-best1bin,-959.6406408392686,SMCO,0.08629957249213475,170.70248772548396,68.29374992025265,335.09721943765544,387.9191430621163,-830.4683645164343,114.49597715408963
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,current-to-best1bin,-959.6406408392686,SMCO_BR,0.0886583821993554,162.5013784892316,68.55435345851316,333.1961716554627,381.5535838458663,-838.4643841576647,111.0856133919596
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,current-to-best1bin,-959.6406408392686,SMCO_BR_EVO,0.0927103518450167,110.29286230907043,65.0650196048615,179.3064776151923,229.04071144686685,-875.5551023444661,73.2273869702533
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,current-to-best1bin,-959.6406408392686,SMCO_EVO,0.08673507930070627,119.08135412698178,65.0786143455922,209.68127066972028,236.31724478037574,-872.4568814944662,83.22044920269363
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,current-to-best1bin,-959.6406408392686,SMCO_R,0.08492616715666372,165.06749250150708,67.91096522849477,332.6380901613022,372.37482841231156,-837.640808130615,114.07900263365791
Eggholder_2d,Eggholder,2,False,20,300,10,20261928,current-to-best1bin,-959.6406408392686,SMCO_R_EVO,0.0888077774521662,120.04914406603761,65.0647448330829,222.86426120374293,237.7524413037412,-872.362080327896,84.5685636880759
Griewank_10d,Griewank,10,False,20,300,10,20260928,current-to-best1bin,0.029172056948342462,SMCO,0.6232622010982596,0.3092422655766645,0.28395061738763483,0.4186303385572558,0.44531695632748797,0.3280130438761145,0.08159491309623756
Griewank_10d,Griewank,10,False,20,300,10,20260928,current-to-best1bin,0.029172056948342462,SMCO_BR,0.6350714775006054,0.06107931383250387,0.057205857989596265,0.09324085513738192,0.09638154699430997,0.08571570438391113,0.023697623974425576
Griewank_10d,Griewank,10,False,20,300,10,20260928,current-to-best1bin,0.029172056948342462,SMCO_BR_EVO,0.6404017628083238,0.07351059068497598,0.07574849281803775,0.09362725051710921,0.1110495507717505,0.09973449856079822,0.021144833300555135
Griewank_10d,Griewank,10,False,20,300,10,20260928,current-to-best1bin,0.029172056948342462,SMCO_EVO,0.6223901516466868,0.31909299786358725,0.304381504380304,0.431382002626651,0.4344790330610035,0.3402298774605196,0.07300593763729434
Griewank_10d,Griewank,10,False,20,300,10,20260928,current-to-best1bin,0.029172056948342462,SMCO_R,0.6190911028854316,0.05350166917906918,0.05219005927556136,0.0708611808574442,0.07091010620648439,0.08131047048231607,0.01231235746834596
Griewank_10d,Griewank,10,False,20,300,10,20260928,current-to-best1bin,0.029172056948342462,SMCO_R_EVO,0.621307611791417,0.05006469022576397,0.052402257448140754,0.06636604922589448,0.0761023636028276,0.07577647749505116,0.01876450156145126
McCormick_2d,McCormick,2,False,20,300,10,20261728,current-to-best1bin,-1.913222954704798,SMCO,0.07412866544909776,3.104241588712928e-07,1.478794595666244e-07,6.343879944026301e-07,8.956083497579921e-07,-1.9132227453375588,2.351450111039161e-07
McCormick_2d,McCormick,2,False,20,300,10,20261728,current-to-best1bin,-1.913222954704798,SMCO_BR,0.07805280029715504,5.336131425604978e-08,2.4975575385610682e-08,1.0749048326985649e-07,1.5413130844521552e-07,-1.913222918956524,4.06459783997552e-08
McCormick_2d,McCormick,2,False,20,300,10,20261728,current-to-best1bin,-1.913222954704798,SMCO_BR_EVO,0.0795805390982423,2.4275699258036076e-08,1.4519730973105993e-08,3.5032591250150374e-08,6.653886636787115e-08,-1.9132229372178915,1.7275406030605475e-08
