source,pair,func,dim,rep,base_algo,evo_algo,base_fopt,evo_fopt,winner,rel_improvement_pct,base_time,evo_time,time_ratio
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,12,SMCO_BR,SMCO_BR_EVO,22.03367171838706,22.202851267987125,evo,0.7678227748981415,8.873288834001869,9.017525633098558,1.0162551678182707
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,13,SMCO_BR,SMCO_BR_EVO,21.988702265910284,22.14952516549205,evo,0.7313887724565503,12.34290015604347,9.672110463026911,0.7836173298615839
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,100,14,SMCO_BR,SMCO_BR_EVO,22.063634668597015,22.14632965702834,evo,0.3748022013300622,9.446763923973776,9.166149346972816,0.9702951635862495
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,0,SMCO_BR,SMCO_BR_EVO,21.96109337485541,22.15627613001888,evo,0.8887661093729913,54.538867712020874,54.86651186097879,1.0060075348591386
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,1,SMCO_BR,SMCO_BR_EVO,21.97718084308284,22.14328680869927,evo,0.7558110696837093,57.6309707100736,54.96350768196862,0.9537147649043726
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,2,SMCO_BR,SMCO_BR_EVO,21.948057328273848,22.14833332384355,evo,0.9124998744727263,55.3299780220259,51.94394239701796,0.9388028742093479
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,3,SMCO_BR,SMCO_BR_EVO,21.98417533455027,22.187964285393708,evo,0.9269801925349677,57.92241100699175,58.48971423401963,1.0097941922161942
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,4,SMCO_BR,SMCO_BR_EVO,21.974869261174113,22.151719566773924,evo,0.8047843356787334,55.67892752599437,55.08185560395941,0.9892765189890519
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,5,SMCO_BR,SMCO_BR_EVO,21.94264695494215,22.155759444630668,evo,0.971225076564978,57.706656276015565,57.65332726901397,0.9990758603869454
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,6,SMCO_BR,SMCO_BR_EVO,21.96957038639679,22.146320173944122,evo,0.8045209097797098,54.94370985997375,56.22657466400415,1.0233487110226054
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,7,SMCO_BR,SMCO_BR_EVO,21.962124791073798,22.163546702825993,evo,0.9171330810125463,61.52884157199878,53.87094007607084,0.8755396444939249
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,8,SMCO_BR,SMCO_BR_EVO,21.969613152162246,22.13928243842258,evo,0.7722907321362401,60.70814652298577,56.221890900982544,0.9261012585797754
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,9,SMCO_BR,SMCO_BR_EVO,21.988479221561803,22.126254149949624,evo,0.6265777955790538,54.30674989405088,53.2333225000184,0.9802339967660251
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,0,SMCO_BR,SMCO_BR_EVO,21.96248472745321,22.158772987605214,evo,0.8937434110387542,282.841088136076,287.6652772129746,1.0170561820020212
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,1,SMCO_BR,SMCO_BR_EVO,21.945965267362734,22.16821396462502,evo,1.0127086895230255,272.7166534799617,265.12730662501417,0.9721713112928575
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,2,SMCO_BR,SMCO_BR_EVO,22.002553370379424,22.18682367780887,evo,0.8374951048977699,209.5448889869731,268.03023104800377,1.2791065071726306
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,3,SMCO_BR,SMCO_BR_EVO,21.9426350034982,22.15876505769518,evo,0.9849776663674364,268.75254564592615,267.7566836110782,0.9962945019461882
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,4,SMCO_BR,SMCO_BR_EVO,21.933986389666078,22.126100442671703,evo,0.8758738589175792,155.21178662101738,157.37616603798233,1.0139446846407982
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,0,SMCO_BR,SMCO_BR_EVO,8160.3604790854715,8158.005469751367,base,-0.028859133614750614,7.020579888951033,7.116383656975813,1.0136461331599624
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,1,SMCO_BR,SMCO_BR_EVO,8144.551584339253,8156.1395375888405,evo,0.14227859114882718,7.106766495970078,7.062413462903351,0.993759041739745
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,2,SMCO_BR,SMCO_BR_EVO,8123.003792516263,8125.800255594253,evo,0.034426465251267545,12.408834211993963,12.660834538983181,1.0203081387569546
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,3,SMCO_BR,SMCO_BR_EVO,8101.025514412069,8095.567214374756,base,-0.06737788972029056,12.630100233014673,13.847996489959769,1.096428075349834
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,4,SMCO_BR,SMCO_BR_EVO,8140.116160201741,8130.296700243388,base,-0.12063046478822821,17.401313687907532,10.462714964989573,0.6012600630411192
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,5,SMCO_BR,SMCO_BR_EVO,8167.396811266299,8161.045987210052,base,-0.07775824051411849,15.130034469999373,16.01192005793564,1.0582870838585938
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,6,SMCO_BR,SMCO_BR_EVO,8121.0884512209395,8117.232039252198,base,-0.04748639288815883,13.562752610072494,12.324930398026481,0.9087337026905045
highdim-comparison-2026-05-31,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,7,SMCO_BR,SMCO_BR_EVO,8132.384110090908,8131.369203647221,base,-0.01247981440555774,13.026381475967355,15.199810080928728,1.1668482232745276
