experiment,pair,algo,func,dim,rep,fopt,time
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,100,14,3261.1608419423223,5.565408549970016
B,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,100,14,3245.8617253203424,5.575853747897781
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,100,14,3245.9108147254633,5.65853379201144
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rastrigin,100,14,3249.1097021786677,5.699783799005672
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rastrigin,100,14,3263.0371160786617,5.842038349015638
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,0,22.030876340060885,9.087932663969696
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,0,22.097591379426884,9.752162226010114
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,0,21.47887355458049,9.400179201038554
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,0,22.06894238434464,9.302859891904518
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,0,22.041698064124976,9.01401932805311
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,0,22.164010278881886,9.026697034016252
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,1,22.05830107714364,9.121262377942912
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,1,22.17900160133845,9.245145131018944
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,1,21.49082162288241,9.46924603707157
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,1,22.096140803506774,9.394665941945277
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,1,22.027383059318627,9.432121441001073
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,1,22.18464992354078,9.178954428993165
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,2,22.046985275907943,9.158397243008949
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,2,22.17632379527272,8.997739554964937
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,2,21.487477511527526,8.998821728047915
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,2,22.095252363627267,9.037256404059008
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,2,22.039919665483595,9.192719204933383
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,2,22.172298118604523,9.271742998971604
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,3,22.040212353853395,9.28840223303996
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,3,22.17529988845173,9.547852886025794
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,3,21.56608537180812,9.106531303026713
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,3,22.06340914282185,9.147557999938726
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,3,22.016629129530173,9.30806194897741
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,3,22.176029277343993,9.321837984025478
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,4,22.051209392761827,9.46223560499493
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,4,22.202678910263455,9.437384358956479
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,4,21.570990738574785,9.19810499693267
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,4,22.12974642343796,9.407091122935526
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,4,22.046577027149144,9.264348689001054
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,4,22.187325976605653,9.16087942791637
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,5,22.073554446259106,9.055061963037588
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,5,22.14399972370199,8.969371170038357
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,5,21.60916501291092,8.986447231960483
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,5,22.091386835075582,9.83200051705353
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,5,22.06736537952594,9.593163014971651
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,5,22.195533818161564,9.172589233960025
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,6,22.040404846549507,9.0462146459613
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,6,22.130830652644555,9.311206528102048
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,6,21.479867376919035,9.096153534948826
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,6,22.13835944346241,8.932676786091179
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,6,22.039314060651826,8.96134089701809
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,6,22.161563446902186,9.091320553910919
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,7,22.03818750767852,8.94982991705183
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,7,22.144578629701936,9.01910338702146
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,7,21.551426887815364,9.47066251304932
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,7,22.116721591126574,8.933492972981185
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,7,22.032089073574,9.149348843027838
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,7,22.194789116823706,9.931771580944769
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,8,22.05961418150826,9.023008603951894
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,8,22.156158171926943,9.305569172953255
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,8,21.47697819859994,9.838950001983903
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,8,22.115241564356264,9.352120422990993
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,8,22.02562866753775,9.17920201504603
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,8,22.151755939020752,9.387773112975992
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,9,22.0495309025652,12.242842668085359
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,9,22.205526380803292,11.451019246946089
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,9,21.578145382143177,8.978469914058223
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,9,22.124717032477562,9.20397370296996
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,9,22.06049518887576,9.057365603046492
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,9,22.168704170070974,9.210315842996351
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,10,22.0185932555305,9.137931769015267
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,10,22.166694349369628,9.65933750802651
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,10,21.508969875675383,10.811225680983625
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,10,22.066282348017655,9.153487470000982
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,10,22.02152726016849,9.340445403940976
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,10,22.121614600813484,10.128757629077882
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,11,22.049121536166226,9.492368586943485
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,11,22.148969193525666,9.091645926004276
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,11,21.491817268507045,8.94736800994724
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,11,22.118938750425663,8.923454671050422
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,11,22.051686821715215,9.163444316014647
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,11,22.20343063357624,9.515140879084356
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,12,22.019961254657446,9.163408647058532
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,12,22.1043841464392,9.136049126042053
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,12,21.545745904923162,9.615057411952876
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,12,22.087617482339933,9.664356703986414
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,12,22.03367171838706,8.873288834001869
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,12,22.202851267987125,9.017525633098558
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,13,22.03022709571944,8.83827913494315
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,13,22.108823653509482,8.957520972006023
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,13,21.533964796685506,8.826252921950072
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,13,22.14674753598008,10.361355977016501
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,13,21.988702265910284,12.34290015604347
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,13,22.14952516549205,9.672110463026911
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Ackley,100,14,22.060289528936583,9.087722562020645
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Ackley,100,14,22.196225726247913,9.148372299037874
B,SMCO_vs_SMCO_EVO,SMCO,Ackley,100,14,21.574243171838262,9.230417832033709
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Ackley,100,14,22.125906460870667,9.130120125017129
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Ackley,100,14,22.063634668597015,9.446763923973776
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Ackley,100,14,22.14632965702834,9.166149346972816
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,0,50874468.322152145,5.7134237280115485
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,0,50755452.23944837,5.750587558024563
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,0,52768348.19465027,5.745749110006727
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,0,52811553.70102144,5.781892727944069
