experiment,algo,func,dim,rep,fopt,time,iterations,n_starts
A,SMCO_R,Ackley,50,22,22.073042599044676,5.677046022959985,158,8
A,SMCO_R_EVO,Ackley,50,22,22.18683691860651,5.895583842997439,308,8
A,SMCO_R,Ackley,50,23,22.07581414329176,4.5450455989921466,158,8
A,SMCO_R_EVO,Ackley,50,23,22.133736409395283,4.473926455015317,308,8
A,SMCO_R,Ackley,50,24,22.091624525275716,5.824226790922694,158,8
A,SMCO_R_EVO,Ackley,50,24,22.13075190436682,5.811331068049185,308,8
A,SMCO_R,Ackley,50,25,22.06466369682129,5.854186641983688,158,8
A,SMCO_R_EVO,Ackley,50,25,22.142441428875053,6.0806445949710906,308,8
A,SMCO_R,Ackley,50,26,22.072329516885393,6.105350424069911,158,8
A,SMCO_R_EVO,Ackley,50,26,22.19984751559214,6.331219054060057,308,8
A,SMCO_R,Ackley,50,27,22.07413771836053,6.0919458830030635,158,8
A,SMCO_R_EVO,Ackley,50,27,22.118944351147796,6.2918277870630845,308,8
A,SMCO_R,Ackley,50,28,22.08476030566664,6.057517976965755,158,8
A,SMCO_R_EVO,Ackley,50,28,22.120399447782393,6.0866097590187564,308,8
A,SMCO_R,Ackley,50,29,22.060199076297632,5.948657731059939,158,8
A,SMCO_R_EVO,Ackley,50,29,22.10322673562937,6.030953667010181,308,8
A,SMCO_R,Rosenbrock,50,0,26868970.130486436,4.058745470014401,158,8
A,SMCO_R_EVO,Rosenbrock,50,0,26907467.03238264,3.9994867560453713,308,8
A,SMCO_R,Rosenbrock,50,1,26333984.18214392,3.98394005803857,158,8
A,SMCO_R_EVO,Rosenbrock,50,1,26312898.533110272,3.9985449069645256,308,8
A,SMCO_R,Rosenbrock,50,2,29546329.83968112,3.6519375800853595,158,8
A,SMCO_R_EVO,Rosenbrock,50,2,29420153.399613023,2.431011963984929,308,8
A,SMCO_R,Rosenbrock,50,3,27468263.120697107,3.1103259359952062,158,8
A,SMCO_R_EVO,Rosenbrock,50,3,27421080.78035248,3.872837686096318,308,8
A,SMCO_R,Rosenbrock,50,4,26165176.224207174,3.8267060699872673,158,8
A,SMCO_R_EVO,Rosenbrock,50,4,26191331.00026736,3.747337407898158,308,8
A,SMCO_R,Rosenbrock,50,5,27656638.493694205,3.9602257050573826,158,8
A,SMCO_R_EVO,Rosenbrock,50,5,27829581.547319874,3.903428736026399,308,8
A,SMCO_R,Rosenbrock,50,6,25564424.475390743,3.9116167169995606,158,8
A,SMCO_R_EVO,Rosenbrock,50,6,25494645.402743246,3.9153964440338314,308,8
A,SMCO_R,Rosenbrock,50,7,26341525.587835606,4.003852551919408,158,8
A,SMCO_R_EVO,Rosenbrock,50,7,26199539.53902877,4.012514558038674,308,8
A,SMCO_R,Rosenbrock,50,8,26058309.96953623,3.1888188959565014,158,8
A,SMCO_R_EVO,Rosenbrock,50,8,26117271.43232345,3.945435681962408,308,8
A,SMCO_R,Rosenbrock,50,9,29080703.15624977,4.020672573009506,158,8
A,SMCO_R_EVO,Rosenbrock,50,9,29075835.6721598,3.973747242009267,308,8
A,SMCO_R,Rosenbrock,50,10,26626800.939135045,4.056041399016976,158,8
A,SMCO_R_EVO,Rosenbrock,50,10,26515093.205808483,4.0942636309191585,308,8
A,SMCO_R,Rosenbrock,50,11,27798775.944902938,3.992336961091496,158,8
A,SMCO_R_EVO,Rosenbrock,50,11,27827495.81737601,3.7836377209750935,308,8
A,SMCO_R,Rosenbrock,50,12,26747013.94237656,3.7792830370599404,158,8
A,SMCO_R_EVO,Rosenbrock,50,12,26736281.369100057,4.082335386076011,308,8
A,SMCO_R,Rosenbrock,50,13,28277936.390539538,3.985353739000857,158,8
A,SMCO_R_EVO,Rosenbrock,50,13,28331654.166451864,3.858305403031409,308,8
A,SMCO_R,Rosenbrock,50,14,28045712.94698446,3.897996671963483,158,8
A,SMCO_R_EVO,Rosenbrock,50,14,28032815.71523391,3.8796812189975753,308,8
A,SMCO_R,Rosenbrock,50,15,26669296.99892393,3.978528573992662,158,8
A,SMCO_R_EVO,Rosenbrock,50,15,26613965.80800032,3.9868559199385345,308,8
A,SMCO_R,Rosenbrock,50,16,27314474.891536616,3.933466596994549,158,8
A,SMCO_R_EVO,Rosenbrock,50,16,27319755.745811783,4.006714151008055,308,8
A,SMCO_R,Rosenbrock,50,17,27200037.441917513,3.949528485070914,158,8
A,SMCO_R_EVO,Rosenbrock,50,17,27200024.74857279,3.9905628060223535,308,8
A,SMCO_R,Rosenbrock,50,18,27333305.332668312,3.322292074095458,158,8
A,SMCO_R_EVO,Rosenbrock,50,18,27322309.660105318,3.6805612329626456,308,8
A,SMCO_R,Rosenbrock,50,19,27385557.34204918,3.986410860088654,158,8
A,SMCO_R_EVO,Rosenbrock,50,19,27363900.72372022,3.699327041977085,308,8
A,SMCO_R,Rosenbrock,50,20,26014920.359514084,4.120119928033091,158,8
A,SMCO_R_EVO,Rosenbrock,50,20,26040160.500487663,4.01452002406586,308,8
A,SMCO_R,Rosenbrock,50,21,26803691.317793306,3.9787846939871088,158,8
A,SMCO_R_EVO,Rosenbrock,50,21,26618907.525934767,2.9783560410141945,308,8
A,SMCO_R,Rosenbrock,50,22,28433464.382114455,3.962586132925935,158,8
A,SMCO_R_EVO,Rosenbrock,50,22,28402941.465402264,4.068854906945489,308,8
A,SMCO_R,Rosenbrock,50,23,27224380.38852898,3.9812114040832967,158,8
A,SMCO_R_EVO,Rosenbrock,50,23,27233487.677612506,3.6670339420670643,308,8
A,SMCO_R,Rosenbrock,50,24,27104451.488917477,2.3501585019985214,158,8
A,SMCO_R_EVO,Rosenbrock,50,24,27218885.73594909,3.865670832921751,308,8
A,SMCO_R,Rosenbrock,50,25,27947270.727298915,3.8683131829602644,158,8
A,SMCO_R_EVO,Rosenbrock,50,25,28007647.932778776,3.7075477079488337,308,8
A,SMCO_R,Rosenbrock,50,26,26651785.307147328,3.9622761129867285,158,8
A,SMCO_R_EVO,Rosenbrock,50,26,26615770.86872275,4.033628482953645,308,8
A,SMCO_R,Rosenbrock,50,27,28664853.77517792,3.008406071923673,158,8
A,SMCO_R_EVO,Rosenbrock,50,27,28546514.754482858,3.6496318930294365,308,8
A,SMCO_R,Rosenbrock,50,28,26546308.07779754,4.002942290040664,158,8
A,SMCO_R_EVO,Rosenbrock,50,28,26429702.227055218,4.00251057499554,308,8
A,SMCO_R,Rosenbrock,50,29,28100206.266441356,3.9200220889179036,158,8
A,SMCO_R_EVO,Rosenbrock,50,29,28164694.095016498,3.985700935940258,308,8
A,SMCO_R,Griewank,50,0,4315.496696352385,4.437200909014791,158,8
A,SMCO_R_EVO,Griewank,50,0,4323.869393782235,4.539120021043345,308,8
A,SMCO_R,Griewank,50,1,4339.114200011503,4.311819226015359,158,8
A,SMCO_R_EVO,Griewank,50,1,4333.102719507874,4.551878722966649,308,8
A,SMCO_R,Griewank,50,2,4323.160576532016,4.4509383459808305,158,8
A,SMCO_R_EVO,Griewank,50,2,4328.879326310871,4.057039811043069,308,8
A,SMCO_R,Griewank,50,3,4319.813608363808,4.540067545953207,158,8
A,SMCO_R_EVO,Griewank,50,3,4319.620477763886,4.536222687107511,308,8
A,SMCO_R,Griewank,50,4,4344.29239863242,4.500120555981994,158,8
A,SMCO_R_EVO,Griewank,50,4,4343.844556341031,3.2814977889647707,308,8
A,SMCO_R,Griewank,50,5,4335.342096321468,4.1434879649896175,158,8
A,SMCO_R_EVO,Griewank,50,5,4334.336331137616,4.420049724983983,308,8
A,SMCO_R,Griewank,50,6,4348.116125531368,4.442892243037932,158,8
A,SMCO_R_EVO,Griewank,50,6,4342.686764287245,4.553190186037682,308,8
A,SMCO_R,Griewank,50,7,4326.571608451166,4.505375945940614,158,8
A,SMCO_R_EVO,Griewank,50,7,4328.5693378650785,4.5283659130800515,308,8
A,SMCO_R,Griewank,50,8,4324.85797204046,4.519942061975598,158,8
A,SMCO_R_EVO,Griewank,50,8,4327.47956394289,4.46052345901262,308,8
A,SMCO_R,Griewank,50,9,4339.362724453297,3.1952783410670236,158,8
A,SMCO_R_EVO,Griewank,50,9,4338.306443298489,4.088017684989609,308,8
A,SMCO_R,Griewank,50,10,4331.411640779704,4.439589835936204,158,8
A,SMCO_R_EVO,Griewank,50,10,4332.564223683806,4.512270862003788,308,8
A,SMCO_R,Griewank,50,11,4315.607643726344,4.4411942709703,158,8
A,SMCO_R_EVO,Griewank,50,11,4308.177819004472,4.507772994926199,308,8
A,SMCO_R,Griewank,50,12,4340.529597721728,4.475260295905173,158,8
A,SMCO_R_EVO,Griewank,50,12,4325.3403513921985,4.517390695982613,308,8
A,SMCO_R,Griewank,50,13,4323.529518559889,4.4716015349840745,158,8
A,SMCO_R_EVO,Griewank,50,13,4318.700044084223,4.521233814070001,308,8
