strategy,pair,func,dim,base_time,evo_time,time_overhead_pct,quality_improve_pct,cost_benefit_ratio
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,26929.22,27244.55,1.17,-0.0011,-0.0009
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,412.06,420.99,2.17,5.6153,2.5917
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,1339.1,1255.38,-6.25,10.2703,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,2701.22,2598.18,-3.81,14.4554,inf
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,4467.37,4715.02,5.54,17.6554,3.1849
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,6843.68,7575.95,10.7,19.2001,1.7944
sobol,SMCO_vs_SMCO_EVO,Ackley,1000,2139.36,2191.21,2.42,2.5304,1.044
sobol,SMCO_vs_SMCO_EVO,Ackley,2000,7416.14,7731.84,4.26,2.2192,0.5213
sobol,SMCO_vs_SMCO_EVO,Ackley,3000,16890.61,17961.54,6.34,1.6114,0.2541
sobol,SMCO_vs_SMCO_EVO,Ackley,4000,32841.26,35666.6,8.6,1.0491,0.1219
sobol,SMCO_vs_SMCO_EVO,Ackley,5000,40545.48,44692.0,10.23,0.8415,0.0823
sobol,SMCO_vs_SMCO_EVO,Rastrigin,1000,1792.4,1884.82,5.16,0.0011,0.0002
sobol,SMCO_vs_SMCO_EVO,Rastrigin,2000,6000.63,6064.32,1.06,0.0022,0.0021
sobol,SMCO_vs_SMCO_EVO,Rastrigin,3000,13895.95,11899.29,-14.37,0.007,inf
sobol,SMCO_vs_SMCO_EVO,Rastrigin,4000,28822.72,24872.76,-13.7,-0.0043,inf
sobol,SMCO_vs_SMCO_EVO,Rastrigin,5000,39848.76,36873.77,-7.47,-0.0173,inf
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,1000,925.24,853.57,-7.75,0.0003,inf
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,2000,2190.98,2099.83,-4.16,-0.0148,inf
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,3000,4034.8,4454.74,10.41,-0.0365,-0.0035
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,4000,8382.87,7499.04,-10.54,0.005,inf
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,5000,9966.46,9994.65,0.28,0.0059,0.0208
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,2199.11,2206.6,0.34,0.0568,0.1669
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,7681.66,7464.96,-2.82,0.2055,inf
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,14912.2,16782.85,12.54,1.7428,0.1389
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,32311.05,31476.25,-2.58,1.0335,inf
