strategy,func,dim,algo,mean,std,min,max,median,n,is_evo
best1bin,Rastrigin,2000,SMCO_EVO,57883.29476627,218.03769758,57666.54156466,58102.59465029,57880.74808386,3,True
best1bin,Rastrigin,2000,SMCO_R,57929.57599256,217.7766563,57715.96457328,58151.29163733,57921.47176708,3,False
best1bin,Rastrigin,2000,SMCO_R_EVO,57943.73565598,220.92695337,57726.11687558,58167.82847317,57937.26161919,3,True
best1bin,Rastrigin,3000,DEoptim,57968.50182051,4.32150444,57965.44605541,57971.5575856,57968.50182051,2,False
best1bin,Rastrigin,3000,GA,59470.21118374,6.93550716,59465.3070396,59475.11532789,59470.21118374,2,False
best1bin,Rastrigin,3000,GenSA,121059.87040453,0.00021645,121059.87025148,121059.87055759,121059.87040453,2,False
best1bin,Rastrigin,3000,PSO,87035.34159179,13.13594858,87026.05307347,87044.63011011,87035.34159179,2,False
best1bin,Rastrigin,3000,SA,86781.56655992,10.50107673,86774.14117736,86788.99194249,86781.56655992,2,False
best1bin,Rastrigin,3000,SMCO,86021.13959544,26.78539022,86002.19946438,86040.07972651,86021.13959544,2,False
best1bin,Rastrigin,3000,SMCO_BR,86027.3630172,23.72597834,86010.58621703,86044.13981737,86027.3630172,2,False
best1bin,Rastrigin,3000,SMCO_BR_EVO,86031.64588794,22.401626,86015.80554628,86047.4862296,86031.64588794,2,True
best1bin,Rastrigin,3000,SMCO_EVO,86028.14017522,14.22798556,86018.07947015,86038.20088029,86028.14017522,2,True
best1bin,Rastrigin,3000,SMCO_R,86068.11548492,22.78579681,86052.00349347,86084.22747636,86068.11548492,2,False
best1bin,Rastrigin,3000,SMCO_R_EVO,86094.55559768,20.2652924,86080.225872,86108.88532336,86094.55559768,2,True
best1bin,Rastrigin,4000,DEoptim,77000.13010232,105.83384686,76925.29427153,77074.96593312,77000.13010232,2,False
best1bin,Rastrigin,4000,GA,76768.81248488,311.52270359,76548.53266868,76989.09230109,76768.81248488,2,False
best1bin,Rastrigin,4000,GenSA,161412.67179775,0.69149556,161412.18283654,161413.16075895,161412.67179775,2,False
best1bin,Rastrigin,4000,PSO,115988.19110692,116.46625603,115905.8370275,116070.54518634,115988.19110692,2,False
best1bin,Rastrigin,4000,SA,115692.09726628,9.5567417,115685.33962942,115698.85490314,115692.09726628,2,False
best1bin,Rastrigin,4000,SMCO,114310.45677346,234.33160425,114144.75930704,114476.15423987,114310.45677346,2,False
