strategy,pair,func,dim,n,base_mean,evo_mean,improve_pct,win_rate,wilcoxon_p,significant
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,5,21.356747941768013,22.0873450658542,3.4209,100.0,0.0625,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3,21.412231167680464,22.08847638848768,3.1582,100.0,0.25,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2,21.532214189963604,22.032317199690624,2.3226,100.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,2,21.664995317854874,22.06464569086828,1.8447,100.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,2,21.697044955860562,22.060942772029435,1.6772,100.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,5,29109.966169755517,29109.53341967424,-0.0015,20.0,0.625,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,3,57881.35493030282,57883.29476627167,0.0034,66.7,1.0,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,2,86021.13959544411,86028.14017521989,0.0081,50.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,2,114310.4567734591,114314.91250137634,0.0039,50.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,2,142458.32504618834,142432.29777746001,-0.0183,0.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,5,463389064.8849098,463443829.07431805,0.0118,80.0,0.625,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,3,869247612.9724323,869037289.3809952,-0.0242,0.0,0.25,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,2,1239722873.845387,1239385157.2331452,-0.0272,50.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,2,1601610810.9908462,1601826824.5663753,0.0135,50.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,2,1953961917.8469486,1953906656.3506606,-0.0028,50.0,nan,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,5,21.949291370787886,22.161197404367336,0.9654,100.0,0.0625,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,3,21.90054567102072,22.136668196331595,1.0782,100.0,0.25,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2,21.563667434577347,22.139990298307886,2.6727,100.0,nan,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,2,21.696596470859426,22.093498174791154,1.8293,100.0,nan,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,2,21.72570270016472,22.112141453355903,1.7787,100.0,nan,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,5,29138.03230207167,29138.02210024288,-0.0,40.0,0.8125,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,3,57929.575992560334,57943.735655981036,0.0244,66.7,0.75,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,2,86068.11548491748,86094.5555976759,0.0307,50.0,nan,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,2,114374.76422763668,114380.51305935602,0.005,50.0,nan,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,2,142512.25069086358,142540.83638789976,0.0201,50.0,nan,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,5,422712947.97426564,422659750.85499537,-0.0126,40.0,0.625,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,3,775822748.1332974,775870948.4175621,0.0062,66.7,1.0,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,2,1094303115.940483,1110555709.568077,1.4852,100.0,nan,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2,1399385030.0219135,1433132239.4677372,2.4116,100.0,nan,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,2,1699574361.5793362,1767633840.916448,4.0045,100.0,nan,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,5,21.941297712620617,22.15998727312036,0.9967,100.0,0.0625,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,3,21.92156924412311,22.15386391177425,1.0597,100.0,0.25,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,2,21.90992625267647,22.149006089907154,1.0912,100.0,nan,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,2,21.90941466516003,22.140270553761873,1.0537,100.0,nan,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,2,21.912597619812423,22.15204416815449,1.0927,100.0,nan,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,5,29126.310254371823,29125.55358527581,-0.0026,40.0,0.8125,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,3,57911.78566871155,57911.57064659148,-0.0004,33.3,1.0,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,2,86027.36301720096,86031.64588793849,0.005,50.0,nan,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,2,114314.06385418148,114319.86604742098,0.0051,50.0,nan,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,2,142460.14573842997,142458.4895438425,-0.0012,50.0,nan,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,5,348193067.76848793,361314025.78286856,3.7683,80.0,0.125,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,3,618155929.2741712,667858608.950692,8.0405,100.0,0.25,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,2,859724697.6735848,928660317.1534901,8.0183,100.0,nan,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,2,1091605069.4387069,1239822826.0694354,13.578,100.0,nan,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,2,1318276891.8457017,1529914988.3765254,16.0541,100.0,nan,0
rand1bin,SMCO_vs_SMCO_EVO,Ackley,1000,5,21.356747941768013,22.11808487114355,3.5649,100.0,0.0625,0
rand1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3,21.412231167680464,22.115831469475065,3.286,100.0,0.25,0
rand1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2,21.532214189963604,22.086193578036344,2.5728,100.0,nan,0
