evo_algo,func,dim,strategy_1,strategy_2,s1_mean,s2_mean,winner
SMCO_R_EVO,Ackley,1000,current-to-best1bin,rand1bin,22.161197,22.178028,rand1bin
SMCO_R_EVO,Ackley,2000,current-to-best1bin,rand1bin,22.136668,22.177979,rand1bin
SMCO_R_EVO,Ackley,3000,current-to-best1bin,rand1bin,22.13999,22.176597,rand1bin
SMCO_R_EVO,Ackley,4000,current-to-best1bin,rand1bin,22.093498,22.145935,rand1bin
SMCO_R_EVO,Ackley,5000,current-to-best1bin,rand1bin,22.112141,22.152934,rand1bin
SMCO_R_EVO,Rosenbrock,1000,current-to-best1bin,rand1bin,422659750.854995,422691334.491734,rand1bin
SMCO_R_EVO,Rosenbrock,2000,current-to-best1bin,rand1bin,775870948.417562,781450086.135138,rand1bin
SMCO_R_EVO,Rosenbrock,3000,current-to-best1bin,rand1bin,1110555709.568077,1096805777.164142,current-to-best1bin
SMCO_R_EVO,Rosenbrock,4000,current-to-best1bin,rand1bin,1433132239.467737,1458666064.155912,rand1bin
SMCO_R_EVO,Rosenbrock,5000,current-to-best1bin,rand1bin,1767633840.916448,1763579913.236374,current-to-best1bin
SMCO_R_EVO,Rastrigin,1000,current-to-best1bin,sobol,29138.0221,29137.990211,current-to-best1bin
SMCO_R_EVO,Rastrigin,2000,current-to-best1bin,sobol,57943.735656,57943.790066,sobol
SMCO_R_EVO,Rastrigin,3000,current-to-best1bin,sobol,86094.555598,86092.236253,current-to-best1bin
SMCO_R_EVO,Rastrigin,4000,current-to-best1bin,sobol,114380.513059,114382.162828,sobol
SMCO_R_EVO,Rastrigin,5000,current-to-best1bin,sobol,142540.836388,142537.523093,current-to-best1bin
SMCO_R_EVO,Ackley,1000,current-to-best1bin,sobol,22.161197,21.961763,current-to-best1bin
SMCO_R_EVO,Ackley,2000,current-to-best1bin,sobol,22.136668,21.945558,current-to-best1bin
SMCO_R_EVO,Ackley,3000,current-to-best1bin,sobol,22.13999,21.939473,current-to-best1bin
SMCO_R_EVO,Ackley,4000,current-to-best1bin,sobol,22.093498,21.920825,current-to-best1bin
SMCO_R_EVO,Ackley,5000,current-to-best1bin,sobol,22.112141,21.917239,current-to-best1bin
SMCO_R_EVO,Rosenbrock,1000,current-to-best1bin,sobol,422659750.854995,422669231.597696,sobol
SMCO_R_EVO,Rosenbrock,2000,current-to-best1bin,sobol,775870948.417562,776076535.772559,sobol
SMCO_R_EVO,Rosenbrock,3000,current-to-best1bin,sobol,1110555709.568077,1094196173.155689,current-to-best1bin
SMCO_R_EVO,Rosenbrock,4000,current-to-best1bin,sobol,1433132239.467737,1399514464.695182,current-to-best1bin
SMCO_R_EVO,Rosenbrock,5000,current-to-best1bin,sobol,1767633840.916448,1699732400.750996,current-to-best1bin
SMCO_R_EVO,Rastrigin,1000,rand1bin,sobol,29138.0369,29137.990211,rand1bin
SMCO_R_EVO,Rastrigin,2000,rand1bin,sobol,57944.888086,57943.790066,rand1bin
SMCO_R_EVO,Rastrigin,3000,rand1bin,sobol,86094.044433,86092.236253,rand1bin
SMCO_R_EVO,Rastrigin,4000,rand1bin,sobol,114388.860541,114382.162828,rand1bin
SMCO_R_EVO,Rastrigin,5000,rand1bin,sobol,142539.933912,142537.523093,rand1bin
SMCO_R_EVO,Ackley,1000,rand1bin,sobol,22.178028,21.961763,rand1bin
SMCO_R_EVO,Ackley,2000,rand1bin,sobol,22.177979,21.945558,rand1bin
SMCO_R_EVO,Ackley,3000,rand1bin,sobol,22.176597,21.939473,rand1bin
SMCO_R_EVO,Ackley,4000,rand1bin,sobol,22.145935,21.920825,rand1bin
