strategy,func,dim,algo,fopt_mean,rank,n_methods
current-to-best1bin,Ackley,4000,SMCO_BR_EVO,22.140270553761873,1,11
current-to-best1bin,Ackley,4000,SMCO_R_EVO,22.093498174791154,2,11
current-to-best1bin,Ackley,4000,SMCO_EVO,22.06464569086828,3,11
current-to-best1bin,Ackley,4000,SMCO_BR,21.90941466516003,4,11
current-to-best1bin,Ackley,4000,GenSA,21.864770869740198,5,11
current-to-best1bin,Ackley,4000,SA,21.842683492138292,6,11
current-to-best1bin,Ackley,4000,PSO,21.711805007306616,7,11
current-to-best1bin,Ackley,4000,SMCO_R,21.696596470859426,8,11
current-to-best1bin,Ackley,4000,SMCO,21.664995317854874,9,11
current-to-best1bin,Ackley,4000,GA,21.397228574401577,10,11
current-to-best1bin,Ackley,4000,DEoptim,21.34122138647738,11,11
current-to-best1bin,Ackley,5000,SMCO_BR_EVO,22.15204416815449,1,11
current-to-best1bin,Ackley,5000,SMCO_R_EVO,22.112141453355903,2,11
current-to-best1bin,Ackley,5000,SMCO_EVO,22.060942772029435,3,11
current-to-best1bin,Ackley,5000,SMCO_BR,21.912597619812423,4,11
current-to-best1bin,Ackley,5000,GenSA,21.73148729514309,5,11
current-to-best1bin,Ackley,5000,SMCO_R,21.72570270016472,6,11
current-to-best1bin,Ackley,5000,PSO,21.721434902688344,7,11
current-to-best1bin,Ackley,5000,SMCO,21.697044955860562,8,11
current-to-best1bin,Ackley,5000,SA,21.665474326389205,9,11
current-to-best1bin,Ackley,5000,GA,21.385606465715362,10,11
current-to-best1bin,Ackley,5000,DEoptim,21.328332378863344,11,11
current-to-best1bin,Rastrigin,1000,SA,40353.2901937765,1,11
current-to-best1bin,Rastrigin,1000,GenSA,40353.29019371744,2,11
current-to-best1bin,Rastrigin,1000,PSO,29165.33059818275,3,11
current-to-best1bin,Rastrigin,1000,SMCO_R,29138.03230207167,4,11
current-to-best1bin,Rastrigin,1000,SMCO_R_EVO,29138.02210024288,5,11
current-to-best1bin,Rastrigin,1000,SMCO_BR,29126.310254371823,6,11
current-to-best1bin,Rastrigin,1000,SMCO_BR_EVO,29125.55358527581,7,11
current-to-best1bin,Rastrigin,1000,SMCO,29109.966169755517,8,11
current-to-best1bin,Rastrigin,1000,SMCO_EVO,29109.53341967424,9,11
current-to-best1bin,Rastrigin,1000,GA,21059.0835568463,10,11
current-to-best1bin,Rastrigin,1000,DEoptim,19911.698094201394,11,11
current-to-best1bin,Rastrigin,2000,GenSA,80706.5803872955,1,11
