experiment,pair,algo,func,dim,rep,fopt,time,iterations
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,91,80.70631335444207,0.04446721402928233,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,91,80.70630486988696,0.04594537103548646,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,92,80.70285183104494,0.04466614592820406,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,92,80.7065693269164,0.045757207088172436,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,93,80.70646903564526,0.044170215958729386,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,93,80.70637911855115,0.045511502074077725,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,94,80.70640501954956,0.04452609410509467,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,94,80.70550468823038,0.049102789955213666,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,95,80.70627811650931,0.04456180310808122,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,95,80.70610748461532,0.04588554997462779,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,96,80.706493749067,0.04430780198890716,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,96,80.70652328801701,0.046488106017932296,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,97,80.70637522949244,0.04610828694421798,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,97,80.70626689759396,0.046717862016521394,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,98,80.70624560698121,0.04458453704137355,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,98,80.70655412035379,0.04647827800363302,303
1,SMCO_vs_SMCO_EVO,SMCO,Rastrigin,2,99,80.7060381539051,0.044414657982997596,303
1,SMCO_vs_SMCO_EVO,SMCO_EVO,Rastrigin,2,99,80.70555654997736,0.045883091050200164,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,0,72.66571670806792,0.045270120026543736,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,0,80.70510532207228,0.0466868809890002,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,1,80.70585373447764,0.04490644601173699,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,1,80.70652738291545,0.048219165997579694,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,2,80.70551038738319,0.04524808202404529,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,2,80.70581486685205,0.04657875595148653,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,3,80.70629244269205,0.04525161697529256,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,3,80.70614741706126,0.04644754098262638,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,4,80.70655790621315,0.04475839005317539,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,4,80.70548080497277,0.04622056009247899,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,5,80.70651160485257,0.05563119403086603,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,5,80.70653644148072,0.04651701601687819,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,6,80.70656531878483,0.05560976604465395,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,6,80.7063610902724,0.05344084894750267,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,7,80.70626190789477,0.054302871925756335,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,7,80.70605793894649,0.046197300078347325,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,8,80.70599693934254,0.044765299069695175,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,8,72.66568997254085,0.04667732398957014,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,9,80.70647359915841,0.04470441699959338,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,9,80.70628982884772,0.046093594981357455,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,10,80.70646502984268,0.04476473096292466,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,10,80.70546169975738,0.046471292967908084,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,11,80.70643254204595,0.04488641407806426,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,11,80.70651040515071,0.04618951096199453,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,12,80.70608889194817,0.04438713693525642,153
