pair,func,dim,n_reps,evo_wins,base_wins,ties,base_mean,evo_mean,base_std,evo_std,wilcoxon_stat,p_value,significant_005
SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,10,5,5,0,6326.510461994399,6326.504991970041,43.068345063116816,43.06602406434225,24.0,0.76953125,0
SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2,100,40,45,15,1028606.5295847373,1066402.4685914903,258967.97147756137,146228.60966332434,1709.0,0.6035941500594331,0
SMCO_R_vs_SMCO_R_EVO,Rosenbrock,10,100,46,54,0,6109001.656499685,6107690.586611315,538260.1253247466,536555.1140180351,2434.0,0.7543660885045383,0
SMCO_R_vs_SMCO_R_EVO,Rosenbrock,50,30,17,13,0,27152771.240184344,27250216.132205747,893717.5685171532,889029.0957715957,124.0,0.024786051362752914,1
SMCO_R_vs_SMCO_R_EVO,Zakharov,10,100,57,43,0,5467196685.408097,5468900787.16043,48766162.0388373,51549216.59997915,2275.0,0.3900199359079518,0
SMCO_vs_SMCO_EVO,Ackley,2,100,48,33,19,22.20395799684608,22.216851632531892,0.04506495580656185,0.049269580467200876,1202.0,0.030869809570094796,1
SMCO_vs_SMCO_EVO,Ackley,10,100,73,18,9,21.91470807302298,21.998421630584456,0.05896501336545064,0.09515870106757873,448.0,7.477390170528809e-11,1
SMCO_vs_SMCO_EVO,Ackley,50,30,30,0,0,21.62476305702028,22.13239461023187,0.04415061360024069,0.03688312305012375,0.0,1.862645149230957e-09,1
SMCO_vs_SMCO_EVO,Ackley,200,10,10,0,0,21.411959946791008,22.07965826819767,0.03904117050644554,0.02530321726496698,0.0,0.001953125,1
SMCO_vs_SMCO_EVO,DixonPrice,10,100,51,49,0,2209028.496581929,2208389.0456267395,50912.179806503154,49943.37227842035,2493.0,0.9123884418157544,0
SMCO_vs_SMCO_EVO,Griewank,2,100,49,50,1,180.9726811412562,180.9510374152005,0.21344619411721383,0.27847090991569245,2422.0,0.8532405198100842,0
SMCO_vs_SMCO_EVO,Griewank,10,100,53,47,0,892.6551840226385,892.7621618758625,1.8131745539882376,1.8165031344056481,2322.0,0.48518973727290204,0
SMCO_vs_SMCO_EVO,Griewank,50,30,19,11,0,4398.285325359685,4398.198177600954,4.751798189944725,5.996115635642979,219.0,0.7921590935438871,0
SMCO_vs_SMCO_EVO,Griewank,200,10,3,7,0,17222.64298280154,17218.337385192335,23.752027254792743,23.079734630666778,11.0,0.10546875,0
SMCO_vs_SMCO_EVO,Michalewicz,2,100,36,45,19,-7.84836043978196e-69,-1.5445800916223024e-61,7.848350660662439e-68,1.544579997354048e-60,1329.0,0.11857208461002808,0
SMCO_vs_SMCO_EVO,Michalewicz,10,100,54,46,0,-3.059632954405754e-30,-7.052566273567834e-31,2.0417068126002318e-29,3.0087590693924263e-30,2460.0,0.8231532975996094,0
SMCO_vs_SMCO_EVO,Michalewicz,50,30,18,12,0,-2.649222651928913e-11,-1.8099561309590978e-11,4.3675679230832076e-11,4.4173599079564795e-11,150.0,0.09194962680339813,0
SMCO_vs_SMCO_EVO,Qing,10,100,53,47,0,613482000260.4888,613621681699.4482,2491063166.1727533,2496007268.707089,2336.0,0.5157933846475856,0
SMCO_vs_SMCO_EVO,Rastrigin,2,100,45,53,2,80.32414862188308,80.35599545327399,1.952417707427051,1.8630450032946877,2096.0,0.24296467263753707,0
SMCO_vs_SMCO_EVO,Rastrigin,10,100,55,45,0,381.5613354316161,382.22717127502534,13.213173884027503,13.013375584794327,2337.0,0.5180170574396306,0
SMCO_vs_SMCO_EVO,Rastrigin,50,30,16,14,0,1708.3091845727613,1706.727015973501,24.330184264152873,25.805180058945023,228.0,0.935398668050766,0
SMCO_vs_SMCO_EVO,Rastrigin,200,10,7,3,0,6345.611770581581,6345.72541788594,83.16046586281054,83.01296220595688,17.0,0.322265625,0
SMCO_vs_SMCO_EVO,Rosenbrock,2,100,45,40,15,1059543.0820111404,1063965.8992051324,198996.28973461353,182360.7872500785,1423.0,0.07632434899831883,0
SMCO_vs_SMCO_EVO,Rosenbrock,10,100,48,52,0,6156178.5291409455,6154510.078234399,511931.46862332034,513199.1447963505,2324.0,0.4895006306680896,0
SMCO_vs_SMCO_EVO,Rosenbrock,50,30,18,12,0,28576472.316016573,28629952.977783523,1215465.2628243142,1180221.2347194916,196.0,0.46454504504799843,0
SMCO_vs_SMCO_EVO,Zakharov,10,100,62,38,0,5564385997.025251,5567718801.544646,34229849.618707195,33274005.501458794,1896.0,0.030563774193336772,1
