experiment,func,dim,elimination_rate,evolution_points,rep,fopt
4,Rastrigin,10,0.25,"(0.5,)",26,367.33367982052744
4,Rastrigin,10,0.25,"(0.5,)",27,377.3933675968667
4,Rastrigin,10,0.25,"(0.5,)",28,395.4849606104708
4,Rastrigin,10,0.25,"(0.5,)",29,395.4770280436327
4,Rastrigin,10,0.25,"(0.5, 0.75)",0,357.28623196579946
4,Rastrigin,10,0.25,"(0.5, 0.75)",1,377.39219566719214
4,Rastrigin,10,0.25,"(0.5, 0.75)",2,387.43228453982783
4,Rastrigin,10,0.25,"(0.5, 0.75)",3,387.4384939271453
4,Rastrigin,10,0.25,"(0.5, 0.75)",4,367.3378352950011
4,Rastrigin,10,0.25,"(0.5, 0.75)",5,371.35933517661306
4,Rastrigin,10,0.25,"(0.5, 0.75)",6,385.4293267826932
4,Rastrigin,10,0.25,"(0.5, 0.75)",7,371.36312740250503
4,Rastrigin,10,0.25,"(0.5, 0.75)",8,395.47646893141183
4,Rastrigin,10,0.25,"(0.5, 0.75)",9,377.38598735323103
4,Rastrigin,10,0.25,"(0.5, 0.75)",10,395.47708977279075
4,Rastrigin,10,0.25,"(0.5, 0.75)",11,381.4032348977621
4,Rastrigin,10,0.25,"(0.5, 0.75)",12,403.5121417891642
4,Rastrigin,10,0.25,"(0.5, 0.75)",13,387.4393747551049
4,Rastrigin,10,0.25,"(0.5, 0.75)",14,387.433632205087
4,Rastrigin,10,0.25,"(0.5, 0.75)",15,377.38236498435333
4,Rastrigin,10,0.25,"(0.5, 0.75)",16,359.2941739876957
4,Rastrigin,10,0.25,"(0.5, 0.75)",17,385.43063332459093
4,Rastrigin,10,0.25,"(0.5, 0.75)",18,371.3521290490636
4,Rastrigin,10,0.25,"(0.5, 0.75)",19,379.4019834224182
4,Rastrigin,10,0.25,"(0.5, 0.75)",20,367.33233432088105
4,Rastrigin,10,0.25,"(0.5, 0.75)",21,389.4528725207621
4,Rastrigin,10,0.25,"(0.5, 0.75)",22,385.4322339509713
4,Rastrigin,10,0.25,"(0.5, 0.75)",23,403.5230599289406
4,Rastrigin,10,0.25,"(0.5, 0.75)",24,389.4474002430818
4,Rastrigin,10,0.25,"(0.5, 0.75)",25,403.51391192245245
4,Rastrigin,10,0.25,"(0.5, 0.75)",26,377.38561086594035
4,Rastrigin,10,0.25,"(0.5, 0.75)",27,381.40942983731236
4,Rastrigin,10,0.25,"(0.5, 0.75)",28,403.5216942249296
4,Rastrigin,10,0.25,"(0.5, 0.75)",29,357.2883786275482
4,Rastrigin,10,0.25,"(0.33, 0.66)",0,377.3913627864431
4,Rastrigin,10,0.25,"(0.33, 0.66)",1,357.29027568884976
4,Rastrigin,10,0.25,"(0.33, 0.66)",2,389.449324517496
4,Rastrigin,10,0.25,"(0.33, 0.66)",3,403.5187262566557
4,Rastrigin,10,0.25,"(0.33, 0.66)",4,385.43043145126944
4,Rastrigin,10,0.25,"(0.33, 0.66)",5,403.5157453757393
4,Rastrigin,10,0.25,"(0.33, 0.66)",6,395.48028295332654
4,Rastrigin,10,0.25,"(0.33, 0.66)",7,395.47869835088085
4,Rastrigin,10,0.25,"(0.33, 0.66)",8,379.402252756538
4,Rastrigin,10,0.25,"(0.33, 0.66)",9,381.4087589223294
4,Rastrigin,10,0.25,"(0.33, 0.66)",10,389.4493366039735
4,Rastrigin,10,0.25,"(0.33, 0.66)",11,369.3505839945048
4,Rastrigin,10,0.25,"(0.33, 0.66)",12,363.3174177359305
4,Rastrigin,10,0.25,"(0.33, 0.66)",13,385.42622421659456
4,Rastrigin,10,0.25,"(0.33, 0.66)",14,403.52140970677425
4,Rastrigin,10,0.25,"(0.33, 0.66)",15,363.3196094478367
4,Rastrigin,10,0.25,"(0.33, 0.66)",16,381.4145403972673
4,Rastrigin,10,0.25,"(0.33, 0.66)",17,385.42205252188955
4,Rastrigin,10,0.25,"(0.33, 0.66)",18,395.48437694976684
4,Rastrigin,10,0.25,"(0.33, 0.66)",19,385.4247423358343
4,Rastrigin,10,0.25,"(0.33, 0.66)",20,389.4492375665197
4,Rastrigin,10,0.25,"(0.33, 0.66)",21,379.3949473665975
4,Rastrigin,10,0.25,"(0.33, 0.66)",22,403.5167597775265
4,Rastrigin,10,0.25,"(0.33, 0.66)",23,389.44627798778885
4,Rastrigin,10,0.25,"(0.33, 0.66)",24,377.3927355450587
4,Rastrigin,10,0.25,"(0.33, 0.66)",25,381.41073905469807
4,Rastrigin,10,0.25,"(0.33, 0.66)",26,389.44531647753246
4,Rastrigin,10,0.25,"(0.33, 0.66)",27,375.37908011357865
4,Rastrigin,10,0.25,"(0.33, 0.66)",28,385.429511390665
4,Rastrigin,10,0.25,"(0.33, 0.66)",29,367.33391551951445
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",0,387.4380532043592
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",1,395.48290625795045
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",2,367.34311415218286
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",3,381.4068381195514
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",4,377.38792765110514
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",5,387.4357527794669
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",6,377.3845065545616
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",7,377.384591911548
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",8,379.4018398603421
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",9,387.4481591331519
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",10,377.3886899073193
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",11,389.44417729257344
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",12,371.36309494814645
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",13,385.4329562277988
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",14,371.3580252703249
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",15,381.40526761940583
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",16,395.4768873083641
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",17,377.38626003604463
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",18,389.4505306254585
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",19,379.40362041856616
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",20,377.392234368581
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",21,395.4785733737299
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",22,375.3805979483042
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",23,403.5107520801371
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",24,359.3059234123149
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",25,389.44205892780235
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",26,377.38909900646524
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",27,395.47666777692393
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",28,377.3882737461518
4,Rastrigin,10,0.25,"(0.25, 0.5, 0.75)",29,365.32850439138025
4,Rastrigin,10,0.4,"(0.5,)",0,395.47286599372893
4,Rastrigin,10,0.4,"(0.5,)",1,389.4484253816818
4,Rastrigin,10,0.4,"(0.5,)",2,377.39127069158883
4,Rastrigin,10,0.4,"(0.5,)",3,385.4296476296006
4,Rastrigin,10,0.4,"(0.5,)",4,395.48811852826816
4,Rastrigin,10,0.4,"(0.5,)",5,377.38947861755474
4,Rastrigin,10,0.4,"(0.5,)",6,403.51483576048724
4,Rastrigin,10,0.4,"(0.5,)",7,389.44352320599126
4,Rastrigin,10,0.4,"(0.5,)",8,375.3833928856662
4,Rastrigin,10,0.4,"(0.5,)",9,371.3594827918894
4,Rastrigin,10,0.4,"(0.5,)",10,389.44902352346236
4,Rastrigin,10,0.4,"(0.5,)",11,395.4787264795386
4,Rastrigin,10,0.4,"(0.5,)",12,387.4424519889785
4,Rastrigin,10,0.4,"(0.5,)",13,403.515429231649
4,Rastrigin,10,0.4,"(0.5,)",14,371.36041087361315
4,Rastrigin,10,0.4,"(0.5,)",15,367.33401822259583
4,Rastrigin,10,0.4,"(0.5,)",16,377.3957671907299
