experiment,strategy,func,dim,rep,fopt,time
3,current-to-best1bin,Ackley,10,42,22.178591826293403,0.34789758909028023
3,current-to-best1bin,Ackley,10,43,22.1671768047656,0.34705574496183544
3,current-to-best1bin,Ackley,10,44,22.183521316094247,0.35085215501021594
3,current-to-best1bin,Ackley,10,45,22.128007608026813,0.3462445529876277
3,current-to-best1bin,Ackley,10,46,22.20853964026086,0.3851444859756157
3,current-to-best1bin,Ackley,10,47,22.145026688881224,0.37372139596845955
3,current-to-best1bin,Ackley,10,48,22.136617569797234,0.389711749041453
3,current-to-best1bin,Ackley,10,49,22.12877865782873,0.3780609080567956
3,best1bin,Ackley,10,0,22.269610028540363,0.35349966201465577
3,best1bin,Ackley,10,1,22.090164782237476,0.3428814170183614
3,best1bin,Ackley,10,2,22.140397892501447,0.3498051830101758
3,best1bin,Ackley,10,3,22.229912710510078,0.3475370879750699
3,best1bin,Ackley,10,4,22.06595321660378,0.33985137299168855
3,best1bin,Ackley,10,5,22.09036890785192,0.34539922093972564
3,best1bin,Ackley,10,6,22.066374526802743,0.3394934049574658
3,best1bin,Ackley,10,7,22.26158931360331,0.3418937379028648
3,best1bin,Ackley,10,8,22.122373504685793,0.3469280079007149
3,best1bin,Ackley,10,9,22.20140524038838,0.3443866849411279
3,best1bin,Ackley,10,10,22.2525443807543,0.3824108149856329
3,best1bin,Ackley,10,11,22.16001346711716,0.37467187899164855
3,best1bin,Ackley,10,12,22.158820479144882,0.3734713710146025
3,best1bin,Ackley,10,13,22.213821354981963,0.38238043896853924
3,best1bin,Ackley,10,14,22.18378675453911,0.35833778500091285
3,best1bin,Ackley,10,15,22.1531581842084,0.3487135150935501
3,best1bin,Ackley,10,16,22.228462221263065,0.35532810003496706
3,best1bin,Ackley,10,17,22.15152723105835,0.35194692004006356
3,best1bin,Ackley,10,18,22.210442852519694,0.3434646080713719
3,best1bin,Ackley,10,19,22.216470816261943,0.35149687505327165
3,best1bin,Ackley,10,20,22.238780518735577,0.3489534528926015
3,best1bin,Ackley,10,21,22.125378008618387,0.3434060999425128
3,best1bin,Ackley,10,22,22.268688970805393,0.35162174096331
3,best1bin,Ackley,10,23,22.151151952278504,0.35014328896068037
3,best1bin,Ackley,10,24,22.209908469486017,0.37897061207331717
3,best1bin,Ackley,10,25,22.09308028762364,0.36403960501775146
3,best1bin,Ackley,10,26,22.102343747540914,0.37751408701296896
3,best1bin,Ackley,10,27,22.15554030804771,0.35299815598409623
3,best1bin,Ackley,10,28,22.23836051899654,0.3664503589970991
3,best1bin,Ackley,10,29,22.23010595580146,0.35207077604718506
3,best1bin,Ackley,10,30,22.235939789964267,0.3477102250326425
3,best1bin,Ackley,10,31,22.102465436589586,0.33964498597197235
3,best1bin,Ackley,10,32,22.15141122550418,0.33820940600708127
3,best1bin,Ackley,10,33,22.196721892169023,0.3608518620021641
3,best1bin,Ackley,10,34,22.257365281526337,0.35963348008226603
3,best1bin,Ackley,10,35,22.178813330433215,0.35578713996801525
3,best1bin,Ackley,10,36,22.188122426030034,0.3484302320284769
3,best1bin,Ackley,10,37,22.19335052173391,0.3373856849502772
3,best1bin,Ackley,10,38,22.15746385531949,0.38001490698661655
3,best1bin,Ackley,10,39,22.21356142066443,0.39445913303643465
3,best1bin,Ackley,10,40,22.11515123344046,0.3714598569786176
3,best1bin,Ackley,10,41,22.15669362011554,0.3962694329675287
3,best1bin,Ackley,10,42,22.09433371026203,0.37690836703404784
3,best1bin,Ackley,10,43,22.22050253489082,0.3605277930619195
3,best1bin,Ackley,10,44,22.26877366617806,0.35145777103025466
3,best1bin,Ackley,10,45,22.21658985930327,0.35046616301406175
3,best1bin,Ackley,10,46,22.246955437062987,0.34889733500313014
3,best1bin,Ackley,10,47,22.231557981268132,0.35278106096666306
3,best1bin,Ackley,10,48,22.24897709234162,0.3436089950846508
3,best1bin,Ackley,10,49,22.21290918429259,0.34128309693187475
3,sobol,Ackley,10,0,22.129064802834822,0.3512352689867839
3,sobol,Ackley,10,1,22.164658480708635,0.350884979008697
3,sobol,Ackley,10,2,22.002202755976345,0.38615540601313114
3,sobol,Ackley,10,3,22.164855190563596,0.3690001900540665
3,sobol,Ackley,10,4,22.116949162579616,0.37487275700550526
3,sobol,Ackley,10,5,22.092481157821403,0.3814092060783878
3,sobol,Ackley,10,6,22.16832808390668,0.3651972630759701
3,sobol,Ackley,10,7,22.123394912963438,0.3541557870339602
3,sobol,Ackley,10,8,22.114113403997244,0.35716408398002386
3,sobol,Ackley,10,9,22.120396367418827,0.34694316796958447
3,sobol,Ackley,10,10,22.14394924986893,0.35430941195227206
3,sobol,Ackley,10,11,22.16597100043591,0.34699260198976845
3,sobol,Ackley,10,12,22.085004304112967,0.3454199059633538
3,sobol,Ackley,10,13,22.111222412922228,0.3480124350171536
3,sobol,Ackley,10,14,22.18032949627536,0.35035550605971366
3,sobol,Ackley,10,15,22.21479528984685,0.3457914129830897
3,sobol,Ackley,10,16,22.09613257168487,0.3610002789646387
3,sobol,Ackley,10,17,22.171621194194895,0.39592179097235203
3,sobol,Ackley,10,18,22.149973345278603,0.35828724689781666
3,sobol,Ackley,10,19,22.14287194574591,0.37156287708785385
3,sobol,Ackley,10,20,22.15684437693595,0.3847734599839896
3,sobol,Ackley,10,21,22.18917330007698,0.34322849998716265
3,sobol,Ackley,10,22,22.098534200821728,0.3419166080420837
3,sobol,Ackley,10,23,22.110644161464784,0.3398999359924346
3,sobol,Ackley,10,24,22.15397495477469,0.34607528196647763
3,sobol,Ackley,10,25,22.12694183537651,0.34074083901941776
3,sobol,Ackley,10,26,22.163369000225835,0.3422531229443848
3,sobol,Ackley,10,27,22.13481209060595,0.3466316070407629
3,sobol,Ackley,10,28,22.110395852951264,0.34343526000157
3,sobol,Ackley,10,29,22.1850921301191,0.35117697599343956
3,sobol,Ackley,10,30,22.142685287076066,0.38129678496625274
3,sobol,Ackley,10,31,22.128123541875194,0.37901364197023213
3,sobol,Ackley,10,32,22.111344980755003,0.3723324310267344
3,sobol,Ackley,10,33,22.207679527987136,0.37793222500476986
3,sobol,Ackley,10,34,22.200483375056276,0.36388336308300495
3,sobol,Ackley,10,35,22.18404473522096,0.35468883195426315
3,sobol,Ackley,10,36,22.139997508842495,0.35745287989266217
3,sobol,Ackley,10,37,22.149836071708034,0.35409035405609757
3,sobol,Ackley,10,38,22.074759917163384,0.35137678997125477
