function,dim,variant,rep,seed,best_value,iterations,wall_time_sec,gap_to_known
Rastrigin,2,smco,8,20262535,-0.019130286153210108,310,0.12753249803790823,0.019130286153210108
Rastrigin,2,smco_evo,8,20262535,-0.0015845867447765727,310,0.12922158400760964,0.0015845867447765727
Rastrigin,2,smco,9,20262536,-0.0014612335052817116,310,0.1277160449535586,0.0014612335052817116
Rastrigin,2,smco_evo,9,20262536,-0.0014612335052817116,310,0.1291921099764295,0.0014612335052817116
Rastrigin,2,smco,10,20262537,-0.015217132836454539,310,0.1280965720070526,0.015217132836454539
Rastrigin,2,smco_evo,10,20262537,-0.015217132836454539,310,0.1295588500215672,0.015217132836454539
Rastrigin,2,smco,11,20262538,-0.00920581558758471,310,0.13258459302596748,0.00920581558758471
Rastrigin,2,smco_evo,11,20262538,-0.002484901580594112,310,0.1302440789877437,0.002484901580594112
Rastrigin,2,smco,12,20262539,-0.0013090010019638498,310,0.1277328539872542,0.0013090010019638498
Rastrigin,2,smco_evo,12,20262539,-0.0013090010019638498,310,0.13062992499908432,0.0013090010019638498
Rastrigin,2,smco,13,20262540,-0.007900387323282132,310,0.12720461399294436,0.007900387323282132
Rastrigin,2,smco_evo,13,20262540,-0.007900387323282132,310,0.1291046820115298,0.007900387323282132
Rastrigin,2,smco,14,20262541,-0.005974717928840079,310,0.1282370099797845,0.005974717928840079
Rastrigin,2,smco_evo,14,20262541,-0.005974717928840079,310,0.12910470296628773,0.005974717928840079
Rastrigin,2,smco,15,20262542,-0.017824870572304974,310,0.12761650403263047,0.017824870572304974
Rastrigin,2,smco_evo,15,20262542,-0.00897380044297691,310,0.12949459202354774,0.00897380044297691
Rastrigin,2,smco,16,20262543,-0.005237653722055313,310,0.12847437302116305,0.005237653722055313
Rastrigin,2,smco_evo,16,20262543,-0.005237653722055313,310,0.12996141699841246,0.005237653722055313
Rastrigin,2,smco,17,20262544,-0.04739586012987829,310,0.12648048001574352,0.04739586012987829
Rastrigin,2,smco_evo,17,20262544,-0.025104055308830198,310,0.1287652850151062,0.025104055308830198
Rastrigin,2,smco,18,20262545,-0.00389110629810574,310,0.13064430502709,0.00389110629810574
Rastrigin,2,smco_evo,18,20262545,-0.00389110629810574,310,0.13938210299238563,0.00389110629810574
Rastrigin,2,smco,19,20262546,-0.018771208696115593,310,0.1409450659994036,0.018771208696115593
Rastrigin,2,smco_evo,19,20262546,-0.018771208696115593,310,0.14540049800416455,0.018771208696115593
Ackley,2,smco,0,20263527,-0.03979506407561262,310,0.24611526197986677,0.03979506407561262
Ackley,2,smco_evo,0,20263527,-0.03979506407561262,310,0.2510073480079882,0.03979506407561262
Ackley,2,smco,1,20263528,-0.08862927310963586,310,0.25001020199852064,0.08862927310963586
Ackley,2,smco_evo,1,20263528,-0.07186525865242688,310,0.23636553797405213,0.07186525865242688
Ackley,2,smco,2,20263529,-0.11455247605148644,310,0.23736119299428537,0.11455247605148644
Ackley,2,smco_evo,2,20263529,-0.11455247605148644,310,0.23568545404123142,0.11455247605148644
Ackley,2,smco,3,20263530,-0.16662565667621054,310,0.22717465501045808,0.16662565667621054
Ackley,2,smco_evo,3,20263530,-0.031046599801620278,310,0.2343084390158765,0.031046599801620278
Ackley,2,smco,4,20263531,-0.20692930267720344,310,0.30490733502665535,0.20692930267720344
Ackley,2,smco_evo,4,20263531,-0.20692930267720344,310,0.23749589698854834,0.20692930267720344
Ackley,2,smco,5,20263532,-0.07207265104218097,310,0.22768733004340902,0.07207265104218097
Ackley,2,smco_evo,5,20263532,-0.07207265104218097,310,0.24267820199020207,0.07207265104218097
Ackley,2,smco,6,20263533,-0.03436214673601201,310,0.23602418397786096,0.03436214673601201
Ackley,2,smco_evo,6,20263533,-0.03436214673601201,310,0.2283020269824192,0.03436214673601201
Ackley,2,smco,7,20263534,-0.2553501565669696,310,0.22704179299762473,0.2553501565669696
Ackley,2,smco_evo,7,20263534,-0.11348968979446328,310,0.22927470598369837,0.11348968979446328
Ackley,2,smco,8,20263535,-0.03044829685497108,310,0.22655970603227615,0.03044829685497108
Ackley,2,smco_evo,8,20263535,-0.03044829685497108,310,0.2318181589944288,0.03044829685497108
Ackley,2,smco,9,20263536,-0.10864035069577271,310,0.23841209698002785,0.10864035069577271
Ackley,2,smco_evo,9,20263536,-0.10864035069577271,310,0.2551775519968942,0.10864035069577271
Ackley,2,smco,10,20263537,-0.07073668750875983,310,0.2633656089892611,0.07073668750875983
Ackley,2,smco_evo,10,20263537,-0.07073668750875983,310,0.2702836910029873,0.07073668750875983
Ackley,2,smco,11,20263538,-0.04742595996314991,310,0.2307538780150935,0.04742595996314991
Ackley,2,smco_evo,11,20263538,-0.04742595996314991,310,0.2524013150250539,0.04742595996314991
Ackley,2,smco,12,20263539,-0.07815655812060784,310,0.2478254729649052,0.07815655812060784
Ackley,2,smco_evo,12,20263539,-0.024777095175875008,310,0.2347858040011488,0.024777095175875008
Ackley,2,smco,13,20263540,-0.15923256154179954,310,0.232436696998775,0.15923256154179954
Ackley,2,smco_evo,13,20263540,-0.14241502551754026,310,0.23577008896972984,0.14241502551754026
Ackley,2,smco,14,20263541,-0.12603762723868472,310,0.23293984099291265,0.12603762723868472
Ackley,2,smco_evo,14,20263541,-0.028479759288793094,310,0.22951211303006858,0.028479759288793094
Ackley,2,smco,15,20263542,-0.08529489683147817,310,0.22486413596197963,0.08529489683147817
Ackley,2,smco_evo,15,20263542,-0.07894729339206963,310,0.22914837597636506,0.07894729339206963
Ackley,2,smco,16,20263543,-0.2114869168906499,310,0.2440153049537912,0.2114869168906499
Ackley,2,smco_evo,16,20263543,-0.036736061896580186,310,0.23499359202105552,0.036736061896580186
Ackley,2,smco,17,20263544,-0.028523314557251656,310,0.22942620201501995,0.028523314557251656
Ackley,2,smco_evo,17,20263544,-0.028523314557251656,310,0.22773512097774073,0.028523314557251656
Ackley,2,smco,18,20263545,-0.16199551070363727,310,0.22602206794545054,0.16199551070363727
Ackley,2,smco_evo,18,20263545,-0.16199551070363727,310,0.23626658198190853,0.16199551070363727
Ackley,2,smco,19,20263546,-0.09315320102492963,310,0.23044044198468328,0.09315320102492963
Ackley,2,smco_evo,19,20263546,-0.008325439375465482,310,0.24603019701316953,0.008325439375465482
Griewank,2,smco,0,20264527,-0.008321714829991889,310,0.17916527896886691,0.008321714829991889
Griewank,2,smco_evo,0,20264527,-0.008321714829991889,310,0.17049293604213744,0.008321714829991889
Griewank,2,smco,1,20264528,-0.0020345396929372095,310,0.17415899701882154,0.0020345396929372095
Griewank,2,smco_evo,1,20264528,-4.845901482164461e-05,310,0.1722476730355993,4.845901482164461e-05
Griewank,2,smco,2,20264529,-0.00778695099956217,310,0.15677109401440248,0.00778695099956217
Griewank,2,smco_evo,2,20264529,-0.0075672209375465815,310,0.1775144329876639,0.0075672209375465815
Griewank,2,smco,3,20264530,-0.008710164704794243,310,0.15801055799238384,0.008710164704794243
Griewank,2,smco_evo,3,20264530,-0.008710164704794243,310,0.19485386897576973,0.008710164704794243
Griewank,2,smco,4,20264531,-0.009298716897380488,310,0.1647058220114559,0.009298716897380488
Griewank,2,smco_evo,4,20264531,-0.008053594248586649,310,0.15862023300724104,0.008053594248586649
Griewank,2,smco,5,20264532,-0.009775705638053966,310,0.15720371500356123,0.009775705638053966
Griewank,2,smco_evo,5,20264532,-0.009775705638053966,310,0.15875875001074746,0.009775705638053966
Griewank,2,smco,6,20264533,-0.007546147222199151,310,0.15680223400704563,0.007546147222199151
Griewank,2,smco_evo,6,20264533,-0.010646147496796932,310,0.15847603901056573,0.010646147496796932
Griewank,2,smco,7,20264534,-0.00788341027241013,310,0.1567665949696675,0.00788341027241013
Griewank,2,smco_evo,7,20264534,-0.00788341027241013,310,0.15835078997770324,0.00788341027241013
Griewank,2,smco,8,20264535,-0.008007246031791038,310,0.15868669102201238,0.008007246031791038
Griewank,2,smco_evo,8,20264535,-0.003966523898800922,310,0.15827368601458147,0.003966523898800922
Griewank,2,smco,9,20264536,-0.003033866422958109,310,0.15874412300763652,0.003033866422958109
