table,direction,function,algo,paper_rmse,rerun_rmse,rmse_ratio,paper_ae99,rerun_ae99,ae99_ratio,paper_time,rerun_time,time_ratio,rerun_best_opt,n_replications
table1,min,Michalewicz,SMCO,1.25,3.3887125590123715e-06,2.710970047209897e-06,1.64,1.2024081044597052e-05,7.331756734510398e-06,0.018,0.03627257998369168,2.015143332427316,-1.8013034100985534,500
table1,min,Michalewicz,SMCO_R,1.11,6.350961698832853e-06,5.721587116065633e-06,1.43,1.5717446963892102e-05,1.0991221653071401e-05,0.018,0.03603852523386013,2.0021402907700074,-1.8013034100985534,500
table1,min,Michalewicz,SMCO_BR,1.09,4.309848068809629e-06,3.953989053953788e-06,1.37,1.5111762858495134e-05,1.1030483838317614e-05,0.018,0.0723735631222371,4.020753506790951,-1.8013034100985534,500
table1,min,Michalewicz,GD,1.74,1.2870472395682286,0.739682321590936,1.99,1.8013034100985534,0.9051775930143484,0.012,0.008527213949011639,0.7106011624176366,-1.8013034100985534,500
table1,min,Michalewicz,SignGD,1.55,0.7142365558115843,0.4607977779429576,1.99,1.3885473228307263,0.6977624737842846,0.023,0.03230264797876589,1.404462955598517,-1.8013034100985534,500
table1,min,Michalewicz,SPSA,1.45,1.336320020579037,0.9216000141924394,1.99,1.8013034100985534,0.9051775930143484,0.004,0.0031629194120178,0.79072985300445,-1.8013034100985534,500
table1,min,Michalewicz,ADAM,1.84,0.880382537415388,0.47846877033444996,2.0,1.8013034100985534,0.9006517050492767,0.006,0.013765417146962135,2.2942361911603557,-1.8013034100985534,500
table1,min,Michalewicz,optimLBFGS,1.65,1.2385834896994612,0.7506566604239159,1.99,1.8013034100985534,0.9051775930143484,0.001,0.0017564110754756258,1.7564110754756257,-1.8013034100985534,500
table1,min,Michalewicz,BOBYQA,1.47,0.8883866327048788,0.604344648098557,1.99,1.8013034100985534,0.9051775930143484,0.003,0.042114037249120884,14.038012416373627,-1.8013034100985534,500
table1,max,Rastrigin,SMCO,17.4,2.954606979769243,0.16980499883731284,88.7,10.848304793995977,0.12230332349488136,0.015,0.02609364932065364,1.7395766213769093,80.70658038767792,500
table1,max,Rastrigin,SMCO_R,13.4,2.1879471463398867,0.1632796377865587,58.5,8.040880709784682,0.13745095230401166,0.015,0.026323095195461065,1.7548730130307377,80.70658038767792,500
table1,max,Rastrigin,SMCO_BR,15.6,2.217887256207106,0.14217226001327601,80.6,8.040880854421971,0.09976278975709642,0.015,0.05210794639692176,3.4738630931281174,80.70658038767792,500
table1,max,Rastrigin,GD,85.3,21.170656147430535,0.24819057617151857,192.9,29.102135894198025,0.15086643802072588,0.004,0.0008914888210128992,0.2228722052532248,80.70658038767792,500
table1,max,Rastrigin,SignGD,130.2,26.278606474832472,0.2018326150140743,173.1,40.20403459034147,0.23225900976511538,0.035,0.02266747671959456,0.6476421919884159,80.70658038767792,500
table1,max,Rastrigin,SPSA,85.1,15.55435299498326,0.18277735599275277,176.0,31.580086076217306,0.17943230725123469,0.004,0.006110109395696782,1.5275273489241954,80.70658038767792,500
table1,max,Rastrigin,optimLBFGS,82.8,21.754083036320583,0.26273047145314715,171.1,25.540229307306817,0.149270773274733,0.0004,0.0008424249332165346,2.1060623330413364,80.70658038767792,500
table1,max,Rastrigin,BOBYQA,73.6,26.342013254690478,0.35790778878655544,171.1,40.20403474450173,0.23497390265635146,0.002,0.03242303320940118,16.21151660470059,80.70658038767792,500
table1,max,Ackley,SMCO,0.2,0.19240993431313574,0.9620496715656787,0.37,0.40547102073701186,1.0958676236135456,0.017,0.04235670742869843,2.4915710252175547,22.320334848401274,500
table1,max,Ackley,SMCO_R,0.03,0.12118914055555555,4.039638018518518,0.08,0.26947918702852136,3.368489837856517,0.018,0.041476201841374856,2.3042334356319367,22.320334848401274,500
table1,max,Ackley,SMCO_BR,0.02,0.11837556074107522,5.918778037053761,0.08,0.2651591704229452,3.3144896302868148,0.018,0.08205098181962966,4.558387878868315,22.320334848401274,500
table1,max,Ackley,GD,1.9,2.2233858344651765,1.1702030707711455,8.83,8.8134207284341,0.9981223928011438,0.017,0.019151499944156967,1.1265588202445274,22.320334848401274,500
table1,max,Ackley,SignGD,2.2,2.416226777250922,1.098284898750419,9.55,10.066435760837878,1.054077043019673,0.032,0.03527633025788236,1.1023853205588239,22.320334848401274,500
table1,max,Ackley,SPSA,2.19,2.414565159762674,1.1025411688414035,9.55,10.067763397809403,1.0542160625978432,0.002,0.0076277576842112465,3.8138788421056233,22.320334848401274,500
table1,max,Ackley,optimLBFGS,1.66,2.04312956789167,1.2308009445130543,7.71,8.800794725829565,1.1414779151529917,0.0,0.0021639717085054143,nan,22.320334848401274,500
table1,max,Ackley,BOBYQA,0.25,2.3306644845855704,9.322657938342282,1.19,9.030350394405241,7.588529743197682,0.002,0.0334151387414895,16.70756937074475,22.320334848401274,500
table1,max,Griewank,SMCO,2.5,0.6635717285162125,0.265428691406485,6.7,1.0954471841701832,0.163499579726893,0.016,0.032826107664383014,2.0516317290239385,181.10750183469847,500
table1,max,Griewank,SMCO_R,1.1,0.19884166112886603,0.1807651464807873,3.6,0.4099582839950813,0.1138773011097448,0.015,0.03291750663798303,2.1945004425322017,181.10750183469847,500
table1,max,Griewank,SMCO_BR,2.2,0.24282709946690006,0.11037595430313639,8.5,0.41018275299221896,0.04825679446967282,0.016,0.06481634393299464,4.051021495812165,181.10750183469847,500
table1,max,Griewank,GD,469.6,125.6036656111392,0.2674694753218467,618.5,177.07947137201333,0.28630472331772566,0.033,0.024389854260953144,0.7390864927561558,181.10750183469847,500
table1,max,Griewank,SignGD,471.1,125.6000733179228,0.2666102171893925,618.5,177.0794643522088,0.2863047119680013,0.027,0.025523281650384887,0.9453067277920328,181.10750183469847,500
table1,max,Griewank,SPSA,472.0,126.07143763895341,0.2671005034723589,618.9,177.78794673853415,0.2872644154767073,0.013,0.025327072593267077,1.9482363533282367,181.10750183469847,500
table1,max,Griewank,optimLBFGS,447.6,122.18718207609439,0.27298298050959424,618.5,177.07946435568977,0.2863047119736294,0.0005,0.0021546274588909,4.3092549177818,181.10750183469847,500
table1,max,Griewank,BOBYQA,204.4,125.54229577989472,0.6141990987274693,575.1,177.07946435220663,0.3079107361366834,0.002,0.04413090112153441,22.065450560767204,181.10750183469847,500
table1,max,Michalewicz,SMCO,0.25,2.368158922636814e-40,9.472635690547256e-40,0.41,3.8744151317471106e-45,9.449793004261245e-45,0.017,0.018264655171078628,1.0743914806516839,-0.0,500
table1,max,Michalewicz,SMCO_R,0.17,6.820165719984403e-40,4.011862188226119e-39,0.41,1.2666971397870813e-58,3.0895052189928813e-58,0.016,0.018410912314080635,1.1506820196300396,-0.0,500
table1,max,Michalewicz,SMCO_BR,0.15,1.2387885502083904e-38,8.258590334722604e-38,0.41,2.732112058665184e-49,6.663687947963864e-49,0.016,0.0369816081157187,2.3113505072324187,-0.0,500
table1,max,Michalewicz,GD,0.85,9.282031793690863e-06,1.0920037404342192e-05,1.21,7.009962014447757e-06,5.793357036733684e-06,0.011,0.013767574234399945,1.2515976576727224,-0.0,500
table1,max,Michalewicz,SignGD,0.65,3.7654784709292506e-41,5.793043801429616e-41,1.21,5.095665717376968e-46,4.2112939813032795e-46,0.024,0.012084606497199274,0.5035252707166364,-0.0,500
table1,max,Michalewicz,SPSA,0.94,0.0015964370592460118,0.0016983372970702255,1.21,0.00892280068120753,0.007374215439014487,0.002,0.018126326843048445,9.063163421524223,-0.0,500
table1,max,Michalewicz,optimLBFGS,0.77,3.3824979356205436e-06,4.392854461844862e-06,1.21,1.6891362412777192e-05,1.39598036469233e-05,0.001,0.0012023314147954806,1.2023314147954804,-0.0,500
table1,max,Michalewicz,BOBYQA,0.58,7.37236862332652e-21,1.2710980385045726e-20,1.21,8.587745850448767e-22,7.097310620205593e-22,0.002,0.05907299477269407,29.536497386347037,-0.0,500
