table,direction,function,algo,paper_rmse,rerun_rmse,rmse_ratio,paper_ae99,rerun_ae99,ae99_ratio,paper_time,rerun_time,time_ratio,rerun_best_opt,n_replications
table2,min,Michalewicz,SA,52.76,100.12393320443618,1.897724283632225,54.53,106.10051980791994,1.9457274859328797,0.36,3025.699237660307,8404.720104611964,-198.88612591998418,10
table2,min,Michalewicz,DEoptim,47.41,150.7286000939835,3.1792575425856042,48.91,152.23121487489135,3.112476280410782,43.5,173.15589542719536,3.980595297176905,-198.88612591998418,10
table2,min,Michalewicz,GA,49.28,160.85214185037168,3.2640450862494252,52.3,163.14061257190752,3.1193233761358994,0.61,1.2924565589870327,2.1187812442410374,-198.88612591998418,10
table2,min,Michalewicz,PSO,43.13,133.63134197422045,3.098338557250648,45.36,150.27005967586723,3.3128320034362266,6.19,0.6228455961216242,0.10062125947037547,-198.88612591998418,10
table2,max,Rastrigin,SMCO,7328.0,1745.2334754009003,0.2381595899837473,7648.0,1785.341386905281,0.23343898887359846,34.7,28.575080767582403,0.8234893592963228,8070.6580387676495,10
table2,max,Rastrigin,SMCO_R,4419.0,1743.091896526452,0.3944539254416049,4939.0,1783.1226093221812,0.36102907659894334,33.3,28.543819244304906,0.8571717490782255,8070.6580387676495,10
table2,max,Rastrigin,SMCO_BR,4512.0,1743.0842048485326,0.38632185391146556,5043.0,1783.0999965439505,0.3535792180337003,34.7,57.11711520629469,1.6460263748211725,8070.6580387676495,10
table2,max,Rastrigin,GenSA,2605.0,1.087253918688505e-09,4.173719457537447e-13,2975.0,2.7761780074797575e-09,9.331690781444562e-13,275.9,11.07006598849548,0.04012347223086438,8070.6580387676495,10
table2,max,Rastrigin,SA,5653.0,2354.907689038722,0.4165766299378599,7180.0,2491.1276877277182,0.3469537169537212,0.3,711.0038255894033,2370.0127519646776,8070.6580387676495,10
table2,max,Rastrigin,DEoptim,7978.0,3623.389431926098,0.4541726537886811,8191.0,3685.8217135502455,0.4499843381211385,31.8,150.34203860490234,4.727737063047243,8070.6580387676495,10
table2,max,Rastrigin,GA,8977.0,3887.0443983241007,0.4330003785589953,9310.0,3944.7076365593402,0.4237065130568572,0.5,0.8909358942939434,1.7818717885878868,8070.6580387676495,10
table2,max,Rastrigin,PSO,998.0,2173.807809875729,2.178164138152033,1719.0,2194.286681866047,1.2764902163269616,5.0,0.26630167349940165,0.05326033469988033,8070.6580387676495,10
table2,max,Ackley,SMCO,0.119,0.895209751113083,7.522771017757,0.125,0.936290308374967,7.490322466999736,31.6,45.14328128629713,1.4285848508321877,22.299947611938396,10
table2,max,Ackley,SMCO_R,0.105,0.34214353661775665,3.2585098725500634,0.11,0.3874765978630857,3.522514526028052,30.8,44.59702607920626,1.4479553921820214,22.299947611938396,10
table2,max,Ackley,SMCO_BR,0.03,0.31018476577247933,10.339492192415978,0.034,0.33069227188613043,9.726243290768542,31.7,89.33690906250267,2.8181990240537123,22.299947611938396,10
table2,max,Ackley,GenSA,0.004,0.002109239147166994,0.5273097867917484,0.007,0.004137681023802742,0.5910972891146774,273.5,12.079415388201596,0.04416605260768408,22.299947611938396,10
table2,max,Ackley,SA,0.488,0.2677189907777154,0.5486044892985971,0.505,0.30867102705148297,0.61122975653759,0.3,110.53451934879995,368.44839782933315,22.299947611938396,10
table2,max,Ackley,DEoptim,0.421,0.7068515658074749,1.678982341585451,0.432,0.7375461426035413,1.7072827375081976,32.6,166.5430362279003,5.108682092880377,22.299947611938396,10
table2,max,Ackley,GA,0.45,0.7555693617088524,1.6790430260196718,0.489,0.7960667105442076,1.627948283321488,0.5,1.0198282669938634,2.039656533987727,22.299947611938396,10
table2,max,Ackley,PSO,0.429,0.2562985377035457,0.5974324888194539,0.448,0.30287820842196367,0.6760674295133118,5.2,0.39120304670068434,0.07523135513474699,22.299947611938396,10
table2,max,Griewank,SMCO,192.0,454.18272023297806,2.3655350012134275,199.0,470.2951933349115,2.3632924288186508,38.0,35.83951361019863,0.9431450950052271,18001.0,10
table2,max,Griewank,SMCO_R,278.0,704.824005830052,2.5353381504678127,287.0,733.3465453162507,2.55521444361063,36.2,35.60947660998208,0.9836871991707756,18001.0,10
table2,max,Griewank,SMCO_BR,601.0,705.4849033294345,1.1738517526280108,627.0,721.8022007170401,1.1511996821643384,37.4,72.44624555088812,1.9370653890611798,18001.0,10
table2,max,Griewank,GenSA,0.0,0.0,nan,0.0,0.0,nan,312.7,13.57693954872666,0.04341841876791385,18001.0,10
table2,max,Griewank,SA,32221.0,8228.17589448884,0.255366869261936,36635.0,10490.101289589613,0.2863409660049028,0.3,147.60465548952342,492.01551829841145,18001.0,10
table2,max,Griewank,DEoptim,36012.0,9938.267602648582,0.2759709986295841,36465.0,10148.025919262487,0.2782949655632109,33.7,163.89418160808273,4.863328831100377,18001.0,10
table2,max,Griewank,GA,45978.0,10543.55686066934,0.22931743139478314,46953.0,10835.05259897489,0.23076379781856088,0.5,0.9540984785999171,1.9081969571998343,18001.0,10
table2,max,Griewank,PSO,20792.0,0.0,0.0,23940.0,0.0,0.0,5.2,0.31729735240805895,0.06101872161693441,18001.0,10
table2,max,Michalewicz,SMCO,36.67,4.989333111571391e-07,1.3606035210175596e-08,38.25,7.730093618597593e-07,2.02093950813009e-08,42.48,69.12343783508986,1.627199572389121,-1.2380772588518035e-278,10
table2,max,Michalewicz,SMCO_R,20.91,1.1818805577886535e-13,5.652226483924694e-15,22.16,2.200709303420974e-13,9.930998661646995e-15,42.47,51.90063169441419,1.2220539603111418,-1.2380772588518035e-278,10
table2,max,Michalewicz,SMCO_BR,25.43,8.613070099233207e-14,3.386972119242315e-15,26.87,1.1526200698354447e-13,4.289616932770542e-15,42.49,105.37081971799489,2.4798969102846526,-1.2380772588518035e-278,10
table2,max,Michalewicz,GenSA,4.65,9.042143561700879e-07,1.9445470025163178e-07,8.98,2.590466979912702e-06,2.884707104579846e-07,814.1,14.619480046397076,0.017957843073820264,-1.2380772588518035e-278,10
table2,max,Michalewicz,SA,55.48,5.974509965224533e-09,1.0768763455703918e-10,57.14,9.31275309456903e-09,1.6298132822136907e-10,0.37,3059.016485958104,8267.612124211093,-1.2380772588518035e-278,10
table2,max,Michalewicz,DEoptim,49.83,8.086720648114849,0.1622861859946789,50.98,8.623831550847395,0.16916107396719096,43.8,173.7625760480878,3.967182101554516,-1.2380772588518035e-278,10
table2,max,Michalewicz,GA,49.86,11.165968509339368,0.22394642016324445,51.2,12.485009486116374,0.2438478415257104,0.61,1.2850322718149982,2.1066102816639316,-1.2380772588518035e-278,10
table2,max,Michalewicz,PSO,46.5,0.0024296577410575886,5.225070410876535e-05,48.88,0.00701818539931566,0.0001435798976946739,6.23,0.5171999872080051,0.08301765444751284,-1.2380772588518035e-278,10
