source,label,name,dim,algo,strategy,reference_best_opt,fopt_mean,gap_to_reference
table3,table3_EmpiricalWelfare_d20,EmpiricalWelfare,20,SMCO_BR_EVO,rand1bin,2652.9475224981034,2287.528760706929,365.41876179117435
table3,table3_EmpiricalWelfare_d5,EmpiricalWelfare,5,SMCO_EVO,rand1bin,1432.9313130217945,1346.684281144965,86.2470318768294
table3,table3_EmpiricalWelfare_d5,EmpiricalWelfare,5,SMCO_R_EVO,rand1bin,1432.9313130217945,1345.3264957172305,87.604817304564
table3,table3_EmpiricalWelfare_d5,EmpiricalWelfare,5,SMCO_BR_EVO,rand1bin,1432.9313130217945,1338.865333947741,94.06597907405353
table3,table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,SMCO_EVO,rand1bin,3680.298547110485,3183.3399436192135,496.95860349127133
table3,table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,SMCO_R_EVO,rand1bin,3680.298547110485,3274.102596768948,406.1959503415369
table3,table3_EmpiricalWelfare_d50,EmpiricalWelfare,50,SMCO_BR_EVO,rand1bin,3680.298547110485,3072.7310365390877,607.5675105713972
table3,table3_MaximumScore_d10,MaximumScore,10,SMCO_EVO,rand1bin,0.47,0.4293600000000001,0.0406399999999999
table3,table3_MaximumScore_d10,MaximumScore,10,SMCO_R_EVO,rand1bin,0.47,0.42971999999999994,0.04028000000000004
table3,table3_MaximumScore_d10,MaximumScore,10,SMCO_BR_EVO,rand1bin,0.47,0.42495999999999995,0.045040000000000024
table3,table3_MaximumScore_d20,MaximumScore,20,SMCO_EVO,rand1bin,0.47,0.43768,0.03231999999999996
table3,table3_MaximumScore_d20,MaximumScore,20,SMCO_R_EVO,rand1bin,0.47,0.43432000000000004,0.035679999999999934
table3,table3_MaximumScore_d20,MaximumScore,20,SMCO_BR_EVO,rand1bin,0.47,0.4276,0.04239999999999999
table3,table3_MaximumScore_d5,MaximumScore,5,SMCO_EVO,rand1bin,0.472,0.41272000000000003,0.059279999999999944
table3,table3_MaximumScore_d5,MaximumScore,5,SMCO_R_EVO,rand1bin,0.472,0.41346000000000005,0.058539999999999925
table3,table3_MaximumScore_d5,MaximumScore,5,SMCO_BR_EVO,rand1bin,0.472,0.40982,0.06217999999999996
table3,table3_MaximumScore_d50,MaximumScore,50,SMCO_EVO,rand1bin,0.498,0.4234,0.0746
table3,table3_MaximumScore_d50,MaximumScore,50,SMCO_R_EVO,rand1bin,0.498,0.4218,0.07619999999999999
table3,table3_MaximumScore_d50,MaximumScore,50,SMCO_BR_EVO,rand1bin,0.498,0.4176,0.08039999999999997
r_synced,Ackley_10d,Ackley,10,SMCO_EVO,rand1bin,1.674216321134736e-13,0.23200580025066725,0.23200580025049983
r_synced,Ackley_10d,Ackley,10,SMCO_R_EVO,rand1bin,1.674216321134736e-13,0.053925837261269025,0.0539258372611016
r_synced,Ackley_10d,Ackley,10,SMCO_BR_EVO,rand1bin,1.674216321134736e-13,0.056147309137877154,0.05614730913770973
r_synced,Bukin6_2d,Bukin6,2,SMCO_EVO,rand1bin,0.000215995131049862,0.17984799679107386,0.179632001660024
r_synced,Bukin6_2d,Bukin6,2,SMCO_R_EVO,rand1bin,0.000215995131049862,0.10977000732230187,0.109554012191252
r_synced,Bukin6_2d,Bukin6,2,SMCO_BR_EVO,rand1bin,0.000215995131049862,0.12111174016357462,0.12089574503252476
