label,algo,baseline_strategy,strategy,baseline_gap,strategy_gap,gap_improvement_vs_baseline,winner
table2_Griewank_d200_max,SMCO_R_EVO,rand1bin,current-to-best1bin,257.7415069764429,257.1324942370993,0.6090127393435978,current-to-best1bin
table2_Griewank_d200_max,SMCO_R_EVO,rand1bin,best1bin,257.7415069764429,257.1324942370993,0.6090127393435978,best1bin
table2_Griewank_d200_max,SMCO_R_EVO,rand1bin,sobol,257.7415069764429,258.1823941302209,-0.44088715377802146,rand1bin
table2_Griewank_d200_max,SMCO_BR_EVO,rand1bin,current-to-best1bin,995.5177100236833,995.4777681715241,0.03994185215924517,current-to-best1bin
table2_Griewank_d200_max,SMCO_BR_EVO,rand1bin,best1bin,995.5177100236833,995.4777681715241,0.03994185215924517,best1bin
table2_Griewank_d200_max,SMCO_BR_EVO,rand1bin,sobol,995.5177100236833,994.3187440198344,1.1989660038489092,sobol
table2_Griewank_d200_min,SMCO_EVO,rand1bin,current-to-best1bin,0.47516809196116094,0.47150003047109645,0.0036680614900644892,current-to-best1bin
table2_Griewank_d200_min,SMCO_EVO,rand1bin,best1bin,0.47516809196116094,0.4765035815267038,-0.0013354895655428578,rand1bin
table2_Griewank_d200_min,SMCO_EVO,rand1bin,sobol,0.47516809196116094,0.49617227315930634,-0.0210041811981454,rand1bin
table2_Griewank_d200_min,SMCO_R_EVO,rand1bin,current-to-best1bin,0.020959895977576887,0.0221919738173198,-0.0012320778397429122,rand1bin
table2_Griewank_d200_min,SMCO_R_EVO,rand1bin,best1bin,0.020959895977576887,0.0184985362628457,0.002461359714731187,best1bin
table2_Griewank_d200_min,SMCO_R_EVO,rand1bin,sobol,0.020959895977576887,0.02794187105790355,-0.006981975080326663,rand1bin
table2_Griewank_d200_min,SMCO_BR_EVO,rand1bin,current-to-best1bin,0.02341102769059164,0.022630766617690146,0.0007802610729014947,current-to-best1bin
table2_Griewank_d200_min,SMCO_BR_EVO,rand1bin,best1bin,0.02341102769059164,0.021104815658081838,0.0023062120325098023,best1bin
table2_Griewank_d200_min,SMCO_BR_EVO,rand1bin,sobol,0.02341102769059164,0.026875348179940528,-0.0034643204893488877,rand1bin
table2_Michalewicz_d200_max,SMCO_EVO,rand1bin,current-to-best1bin,4.99091020891326e-07,7.647702340998889e-07,-2.6567921320856284e-07,rand1bin
table2_Michalewicz_d200_max,SMCO_EVO,rand1bin,best1bin,4.99091020891326e-07,7.479330696370475e-07,-2.4884204874572147e-07,rand1bin
table2_Michalewicz_d200_max,SMCO_EVO,rand1bin,sobol,4.99091020891326e-07,6.7750352211164e-07,-1.78412501220314e-07,rand1bin
table2_Michalewicz_d200_max,SMCO_R_EVO,rand1bin,current-to-best1bin,1.0111825766816888e-13,1.2775422946195339e-13,-2.6635971793784508e-14,rand1bin
table2_Michalewicz_d200_max,SMCO_R_EVO,rand1bin,best1bin,1.0111825766816888e-13,8.001022562467606e-14,2.1108032043492816e-14,best1bin
table2_Michalewicz_d200_max,SMCO_R_EVO,rand1bin,sobol,1.0111825766816888e-13,1.091374580107978e-13,-8.019200342628916e-15,rand1bin
