section,group,subgroup,n_cases,evo_wins,base_wins,ties,evo_win_rate,mean_rel_improvement_pct,median_rel_improvement_pct,mean_time_ratio,median_time_ratio
expB,pair_dimension,SMCO_BR_vs_SMCO_BR_EVO:100D,60,35,25,0,0.5833333333333334,0.2880741825884365,0.15080793974013584,0.9951679151300166,1.0024379086311093
expB,pair_dimension,SMCO_BR_vs_SMCO_BR_EVO:200D,40,28,12,0,0.7,0.25513484452749724,0.05292838789995061,0.9836180245944453,0.9895535283733918
expB,pair_dimension,SMCO_BR_vs_SMCO_BR_EVO:500D,55,38,17,0,0.6909090909090909,0.38590658912447984,0.04158518383050027,1.0154033380392748,1.0088154989626237
expB,pair_dimension,SMCO_BR_vs_SMCO_BR_EVO:1000D,20,15,5,0,0.75,1.0087212812841968,0.2011549316229347,1.0219094224278986,1.0263553551326121
expB,pair_dimension,SMCO_BR_vs_SMCO_BR_EVO:2000D,12,10,2,0,0.8333333333333334,1.6073995015577143,0.48233271297173475,1.0230719180062842,1.0042336953710038
expB,pair_dimension,SMCO_BR_vs_SMCO_BR_EVO:5000D,6,4,2,0,0.6666666666666666,5.917343748236141,1.0520373514484889,1.0246631956121914,1.0298284101733528
expC,convergence,Ackley:100D,,,,,,,,3.64,
expC,convergence,Ackley:200D,,,,,,,,2.716417910447761,
expC,convergence,Ackley:500D,,,,,,,,2.3205128205128207,
expC,convergence,Rastrigin:100D,,,,,,,,0.984375,
expC,convergence,Rastrigin:200D,,,,,,,,1.0,
expC,convergence,Rastrigin:500D,,,,,,,,1.0178571428571428,
expC,convergence,Rosenbrock:100D,,,,,,,,0.9918032786885246,
expC,convergence,Rosenbrock:200D,,,,,,,,1.0,
