strategy,algo,func,dim,rep,fopt,time,iterations,seed,source
rand1bin,PSO,Rosenbrock,3000,0,-49197904.7542722,5.07500000000437,300,3021,main
rand1bin,SMCO_BR_EVO,Ackley,3000,1,-0.0795757283585599,8083.818,204,1003024,main
rand1bin,DEoptim,Ackley,3000,1,-21.1120866190269,0.725999999995111,300,1003024,main
rand1bin,GA,Ackley,3000,1,-14.804163893937,5.21100000000297,300,1003024,main
rand1bin,PSO,Ackley,3000,1,-18.1762498380799,5.50600000000122,300,1003024,main
rand1bin,SMCO_BR_EVO,Ackley,3000,0,-0.0798782298503942,8207.901,204,3021,main
rand1bin,DEoptim,Ackley,3000,0,-21.1303678362303,0.692000000002736,300,3021,main
rand1bin,GA,Ackley,3000,0,-14.5694470645359,5.40800000000309,300,3021,main
rand1bin,PSO,Ackley,3000,0,-18.4220700558245,5.69000000000233,300,3021,main
rand1bin,SMCO_R,Rastrigin,5000,1,-43001.2497155108,21007.113,221,1005024,main
rand1bin,SMCO_R,Rastrigin,5000,0,-42335.0254457666,21024.964,221,5021,main
rand1bin,SMCO_BR_EVO,Rastrigin,3000,0,-25142.4892135518,8413.999,464,3021,main
rand1bin,DEoptim,Rastrigin,3000,0,-51768.6963757249,0.692000000002736,300,3021,main
rand1bin,GA,Rastrigin,3000,0,-28883.9384293432,4.89199999999983,300,3021,main
rand1bin,SMCO_BR_EVO,Rastrigin,3000,1,-25530.5573894994,8417.752,464,1003024,main
rand1bin,PSO,Rastrigin,3000,0,-31457.8598730014,5.56899999999587,300,3021,main
rand1bin,DEoptim,Rastrigin,3000,1,-51625.4039745546,0.688999999998487,300,1003024,main
rand1bin,GA,Rastrigin,3000,1,-28737.3541231846,4.92199999999866,300,1003024,main
rand1bin,PSO,Rastrigin,3000,1,-33654.7785924949,5.68600000000151,300,1003024,main
rand1bin,SMCO_BR,Rosenbrock,5000,1,-76019.760754975,16493.815,146,1005024,main
rand1bin,SMCO_R,Ackley,5000,1,-3.48580921553377,24576.696,221,1005024,main
rand1bin,SMCO_R,Ackley,5000,0,-3.46896531215115,24625.381,221,5021,main
rand1bin,SMCO_BR,Rosenbrock,5000,0,-76666.7185355593,17239.486,146,5021,main
rand1bin,SMCO_BR,Rastrigin,5000,1,-43297.2375602777,22871.406,146,1005024,main
rand1bin,SMCO_BR,Rastrigin,5000,0,-42593.4116532624,22916.224,146,5021,main
rand1bin,SMCO_BR,Ackley,5000,1,-11.8473284223443,23964.501,146,1005024,main
rand1bin,SMCO_BR,Ackley,5000,0,-11.6432504727588,24002.992,146,5021,main
rand1bin,SMCO_EVO,Rosenbrock,5000,1,-1024.83447371743,27910.916,217,1005024,main
rand1bin,SMCO_EVO,Rosenbrock,5000,0,-1048.73621549282,28340.681,217,5021,main
rand1bin,SMCO_EVO,Rastrigin,5000,1,-43104.6828304018,37349.297,959,1005024,main
rand1bin,SMCO_EVO,Rastrigin,5000,0,-42438.3769091849,37368.621,959,5021,main
rand1bin,SMCO_R_EVO,Rosenbrock,5000,1,-106.939104004458,28308.384,330,1005024,main
rand1bin,SMCO_R_EVO,Rosenbrock,5000,0,-106.313605992166,28583.507,330,5021,main
rand1bin,SMCO_EVO,Ackley,5000,1,-0.331912233030352,37989.315,959,1005024,main
