strategy,algo,func,dim,rep,fopt,time,iterations,seed,shard
rand1bin,SMCO_R,Rastrigin,200,6,-452.17377584972246,45.68397333100438,165,1016789110,213
rand1bin,ADAM,Rastrigin,200,6,-1589.9343439154443,39.4901879876852,7699,1016789110,213
rand1bin,SMCO_EVO,Rastrigin,200,6,-457.699936505081,44.2962905280292,315,1016789110,213
rand1bin,optimNM,Rastrigin,200,8,-3338.6656372610487,1.5743426140397787,4500,483844954,213
rand1bin,optimLBFGS,Rastrigin,200,8,-1263.590438443009,2.6674288157373667,233,483844954,213
rand1bin,GenSA,Rastrigin,200,7,-0.9949590571050068,24.067518951371312,300,101710889,213
rand1bin,GA,Rastrigin,200,8,-1795.9896711875003,1.2463762015104294,300,483844954,213
rand1bin,PSO,Rastrigin,200,8,-2015.115095854454,0.2619046494364738,300,483844954,213
rand1bin,SA,Rastrigin,200,5,-138.29922324796644,58.84808553010225,300,625018708,213
rand1bin,SignGD,Rastrigin,200,8,-1551.493760477616,12.290228655561805,2513,483844954,213
rand1bin,SMCO_R_EVO,Rastrigin,200,7,-316.6776637322637,39.52797170728445,315,101710889,213
rand1bin,BOBYQA,Rastrigin,200,4,-2293.924931247071,83.5135452952236,4500,1673381394,213
rand1bin,SMCO_R_EVO,Rastrigin,200,6,-457.1794221355069,54.33989013358951,315,1016789110,213
rand1bin,SMCO,Rastrigin,200,7,-326.08071999882713,45.13334450311959,315,101710889,213
rand1bin,SMCO_BR,Rastrigin,200,7,-316.5225891541568,42.27479135431349,90,101710889,213
rand1bin,BOBYQA,Rastrigin,200,5,-2242.394388727763,67.68931163102388,4500,625018708,213
rand1bin,SPSA,Rastrigin,200,9,-2740.24272063071,0.3832408357411623,6736,1821966834,213
rand1bin,SMCO_R,Rastrigin,200,7,-320.63858053008653,47.164321616292,165,101710889,213
rand1bin,ADAM,Rastrigin,200,7,-1434.7223678772334,40.10400362871587,7693,101710889,213
rand1bin,SMCO_EVO,Rastrigin,200,7,-325.2380635012273,45.47142622992396,315,101710889,213
rand1bin,optimLBFGS,Rastrigin,200,9,-1280.5047048085294,3.4388587288558483,245,1821966834,213
rand1bin,optimNM,Rastrigin,200,9,-3367.8810975141805,1.5806863810867071,4500,1821966834,213
rand1bin,SMCO_BR_EVO,Rastrigin,200,7,-306.3710050633599,48.68591751530767,165,101710889,213
rand1bin,SMCO,Rastrigin,200,8,-381.2130802493921,34.32159102335572,315,483844954,213
rand1bin,PSO,Rastrigin,200,9,-2304.113211002046,0.3389040641486645,300,1821966834,213
rand1bin,GA,Rastrigin,200,9,-1760.5990678391536,1.2181583642959597,300,1821966834,213
rand1bin,SignGD,Rastrigin,200,9,-1548.9978407997187,11.010447127744555,2513,1821966834,213
rand1bin,GD,Rastrigin,200,8,-2559.083970990626,26.48890682682395,4573,483844954,213
rand1bin,GenSA,Rastrigin,200,8,-1.9899181141900044,26.16481233946979,300,483844954,213
rand1bin,SMCO_BR,Rastrigin,200,8,-374.5048464736806,43.60177016444504,90,483844954,213
rand1bin,GD,Rastrigin,200,9,-2491.3662558155856,21.51890462078154,3456,1821966834,213
rand1bin,BOBYQA,Rastrigin,200,6,-2239.900162552889,69.41340740025043,4500,1016789110,213
rand1bin,ADAM,Rastrigin,200,8,-1544.167225178839,35.86132047697902,7689,483844954,213
rand1bin,SMCO_R,Rastrigin,200,8,-376.5143351074207,48.55504100583494,165,483844954,213
rand1bin,SMCO_EVO,Rastrigin,200,8,-377.8991825626565,47.50106414221227,315,483844954,213
rand1bin,SPSA,Ackley,200,0,-21.04193224539705,0.3158216811716556,2767,336993081,213
rand1bin,SMCO_R_EVO,Rastrigin,200,8,-374.3894314507238,45.46567522734404,315,483844954,213
rand1bin,optimLBFGS,Ackley,200,0,-19.465962390507123,2.009476015344262,194,336993081,213
rand1bin,optimNM,Ackley,200,0,-21.076409224950307,2.1195941660553217,4500,336993081,213
rand1bin,SA,Rastrigin,200,6,-120.39000056799271,74.37714042887092,300,1016789110,213
rand1bin,SMCO_BR_EVO,Rastrigin,200,8,-380.9948296153109,47.57658219151199,165,483844954,213
rand1bin,GenSA,Rastrigin,200,9,-0.9949590571072804,24.1080471072346,300,1821966834,213
rand1bin,PSO,Ackley,200,0,-20.45483686042464,0.7541603613644838,300,336993081,213
rand1bin,GA,Ackley,200,0,-11.254469279125162,1.5532765500247478,300,336993081,213
rand1bin,SMCO_BR,Rastrigin,200,9,-361.9137564551154,40.38029733672738,90,1821966834,213
rand1bin,SMCO_R,Rastrigin,200,9,-359.5020308465246,44.29481905326247,165,1821966834,213
rand1bin,SMCO_EVO,Rastrigin,200,9,-356.9035991343226,39.85640766099095,315,1821966834,213
rand1bin,SA,Rastrigin,200,7,-149.2437376109092,72.31073394604027,300,101710889,213
rand1bin,ADAM,Rastrigin,200,9,-1541.1823337678093,42.34556189738214,7691,1821966834,213
rand1bin,SignGD,Ackley,200,0,-19.47766606616987,21.176754850894213,2513,336993081,213
rand1bin,SMCO,Rastrigin,200,9,-355.9306704621601,51.199018793180585,315,1821966834,213
rand1bin,SMCO_R_EVO,Rastrigin,200,9,-356.5129348050002,44.70383791998029,315,1821966834,213
rand1bin,SPSA,Ackley,200,1,-21.13291675779928,0.2599403411149978,1979,504935661,213
rand1bin,optimLBFGS,Ackley,200,1,-19.46407092835813,2.6846774239093065,204,504935661,213
rand1bin,BOBYQA,Rastrigin,200,7,-2068.8124692450456,81.24753196164966,4500,101710889,213
rand1bin,optimNM,Ackley,200,1,-21.101336892908048,2.1653815526515245,4500,504935661,213
rand1bin,DEoptim,Rastrigin,200,0,-2073.368894291504,182.51796101406217,300,647279673,213
rand1bin,SMCO_BR_EVO,Rastrigin,200,9,-361.7614614035697,52.49793630838394,165,1821966834,213
rand1bin,GenSA,Ackley,200,0,-1.9977083542954688e-08,31.63928192295134,300,336993081,213
